"label","score"
0,2823454.94565747
0,5310400.4179391
0,4638177.32903585
0,2858767.57175491
0,3570641.45929856
0,2728298.65908712
0,4100818.38959866
0,3546599.17165131
0,3181831.19423068
0,3429137.7383386
0,3159078.88029366
0,2300897.36379878
0,3985524.67319735
0,2712889.10821649
0,4849474.72515574
0,2880993.6880364
0,2553645.745336
0,6219506.50001973
0,7182781.42302113
0,3066911.0791365
0,3242935.00948358
0,3963794.83715917
0,4263194.77597396
0,4620999.59353061
0,2862960.25450883
0,3149154.47469096
0,3872373.06105852
0,2659445.36398193
0,3502564.14867887
0,2797126.81277383
0,2748831.20546002
0,4397137.57427306
0,3808868.07886743
0,3293723.5662817
0,3538070.28545368
0,3381151.12932151
0,3520095.05685763
0,4790841.4418177
0,2890831.22743636
0,3910397.20486076
0,5039845.14059196
0,2970372.48839648
0,3547029.16432492
0,3094450.26644517
0,2738122.75993628
0,3111035.08069974
0,3426639.44644484
0,2595896.59698946
0,4291824.76882612
0,3747910.54683016
0,3098428.03684728
0,2253358.23680792
0,5145988.62668346
0,2775623.7271687
0,3559159.08048009
0,3416716.64030526
0,3199714.4648406
0,3213975.48987263
0,4705902.7141836
0,2495614.08001673
0,3993363.18885387
0,2985863.11752041
0,3075497.25098779
0,3060880.35206849
0,3142757.11476024
0,3417757.955396
0,2845354.54974556
0,2777444.04675151
0,2765852.86233729
0,2585302.65781061
0,2570205.58742652
0,3410418.76303693
0,3191516.01744189
0,3116084.51900893
0,2475544.60256982
0,3578842.05508835
0,3875478.39932299
0,2552879.4749949
0,4474148.18431155
0,2691027.26492462
0,3446405.87621439
0,3417248.64731118
0,3604436.8444143
0,3021557.33371539
0,4246356.43134142
0,3393599.39626223
0,3676223.35562316
0,2965148.25062001
0,2854026.46932245
0,3151784.20618239
0,5078312.57780033
0,2437025.75477264
0,3252672.95727061
0,2396191.73295766
0,5321287.10231658
0,2979354.6859686
0,3491506.69115759
0,2729905.40508304
0,2574495.25569925
0,2674007.21553079
0,3585953.90540019
0,2552983.48586989
0,2940516.05752808
0,3126907.1293613
0,3532799.3526841
0,3978409.17570746
0,2605876.82687109
0,4094173.59129668
0,3537010.7532901
0,4970443.19144829
0,2859912.27322274
0,2587990.39294197
0,4924065.39420623
0,4419871.29674573
0,2944649.01272864
0,3764932.42906384
0,2906863.18984349
0,2375452.06810931
0,3310463.00035961
0,2757843.92487637
0,3513556.82575078
0,4348229.2766775
0,3243023.09721151
0,4306207.2237483
0,2743417.25162397
0,2818662.83557416
0,3199311.53583424
0,2872601.80223312
0,3341912.20955968
0,4643997.86695717
0,3422595.47775606
0,3190917.86862036
0,3024406.47567483
0,2839971.3550842
0,3601308.02466144
0,3963640.19713405
0,3225735.4402127
0,2578518.28442553
0,2959527.43748183
0,4117871.31943263
0,3184964.96650267
0,2553633.93982054
0,4108381.00995438
0,2936218.4027494
0,3306929.288271
0,2563234.28251522
0,2610193.17604249
0,2465628.86270834
0,5599318.32342069
0,2532211.79588673
0,3164115.46474657
0,4031204.48283669
0,2660306.8326594
0,3028984.05220295
0,2971545.91550422
0,3443099.20227574
0,2935410.13875122
0,2730827.90120152
0,3539596.06729269
0,3042237.64518728
0,3473948.33277935
0,3526016.11111647
0,2076182.85439604
0,2951090.83152447
0,5262027.62713489
0,3560043.71677855
0,3477593.79281995
0,4010462.85248842
0,6220505.39321084
0,3945767.62377753
0,3046443.63334713
0,3847873.62736514
0,3679881.76964958
0,2763948.54388542
0,2689283.98076973
0,2906844.09882606
0,2559434.95904765
0,3241831.85022267
0,2386907.91275373
0,3200314.90987895
0,3461580.31139102
0,2256638.24393777
0,3517205.44135433
0,2699970.01792828
0,2938565.43196024
0,2819985.34895893
0,3662176.46122829
0,2101797.77649562
0,3067423.46623015
0,3898847.03152506
0,3891590.06099775
0,2379967.00873661
0,2973384.65229294
0,2780493.95171969
0,2393101.90506121
0,3451203.28942115
0,3109852.74845807
0,4122230.86361907
0,2911206.95775366
0,3891455.8116906
0,2707853.44932336
0,3253480.29773601
0,2906052.54159288
0,4235725.99077562
0,2243500.84170152
0,4270747.13279177
0,3378651.87753888
0,2754523.74183525
0,2582395.87166064
0,4068819.88684548
0,2599629.15063908
0,2816586.23039153
0,3031589.74417673
0,2685181.27952433
0,2277508.71008514
0,4562976.24116077
0,2970222.97090688
0,3017972.11854679
0,4248304.03222598
0,2967159.73906285
0,4486676.11856371
0,2853059.28587754
0,3410897.33654695
0,3459059.52910409
0,3254282.50548611
0,3055516.40143467
0,3565712.12281545
0,3194135.60688511
0,2991911.98725587
0,2494585.37409388
0,2939122.87010123
0,3367634.53766123
0,2655844.16370833
0,3090392.00099046
0,3702006.28311958
0,2851545.16940206
0,2238641.31060353
0,2416724.77674374
0,3377292.37463042
0,3885850.18926472
0,6877202.06037405
0,3715185.91683685
0,4039690.1613973
0,3534734.27741476
0,4728119.67780251
0,3497954.40003196
0,4102645.18458169
0,2936311.57708344
0,2561425.55857703
0,4131869.68085383
1,4523633.39666974
1,2743651.59964812
1,3944053.49717817
1,3414237.97162641
1,3012172.85639475
1,5024756.40617388
1,3054341.6473023
1,3237215.59674838
1,2876703.39662047
1,2241860.51417443
1,4890698.60758226
1,4670666.9994345
1,6104319.48272851
1,3289574.55548823
1,3455289.61044725
1,3595517.64653535
1,4404878.9639903
1,3621444.8103224
1,6547662.56187322
1,3350154.02087548
1,5043008.34514524
1,3275317.27571931
1,3617531.11741335
1,4173056.25824494
1,3372442.25915942
1,4515499.59098841
1,3500276.40067284
1,3495096.0375275
1,4300692.69753211
1,2874918.32293065
1,2766451.08047822
1,2798233.76592565
1,4766245.8601626
1,5804692.6553454
1,3665964.3498513
1,5549298.17888399
1,3366636.56157526
1,2748402.4384604
1,3557586.9982299
1,3274113.50808471
1,2474257.15356281
1,2968650.12475696
1,5198537.15160433
1,2761639.42913595
1,3856255.72499236
1,3972548.70739922
1,2779348.37525583
1,5425622.05492716
1,3768476.5122612
1,2738164.55274723
1,4208619.5656688
1,3439427.09512718
1,3507692.6809904
1,2664066.60674215
1,2970952.14428028
1,3081262.08354528
1,2744457.10725798
1,3134079.93428474
1,3735887.5595038
1,4652094.1379983
1,3671024.5601858
1,5773048.64584419
1,3431714.50376819
1,4984787.39015642
1,3608241.08791869
1,4834432.38841841
1,2653651.86510038
1,4189682.1809722
1,3015678.58238704
1,3768648.74057431
1,2406217.98936622
1,3997706.9877594
1,3219911.71772932
1,3512485.56917766
1,3654892.86509914
1,2846107.28649025
1,3692275.5923193
1,3913880.03466996
1,3840682.46514127
1,4855039.96732374
1,2943696.82152825
1,4143426.6798682
1,3767800.5843606
1,6222831.83157943
1,3563905.70998835
1,6226188.83617051
1,3601626.49574486
1,4124740.08836032
1,4432683.96358229
1,5507064.10670566
1,3868453.78523014
1,3646682.27497276
1,5113653.166545
1,5310342.49623009
1,2733062.23899281
1,3513059.11018447
1,3393147.18560495
1,5514753.35662496
1,2735112.40660033
1,2263965.98777032
1,4511137.95457604
1,3078648.97431802
1,2782280.95887572
1,2911272.09285048
1,5306367.46979233
1,3382203.02204059
1,2107720.09614295
1,3118280.13794301
1,4344868.08969764
1,3209053.82706877
1,3211086.38753252
1,4601985.55085687
1,3210687.81849268
1,4144271.38382262
1,3620587.09400024
1,5653742.96650979
1,4181084.05642108
1,3794150.83807334
1,5054826.11079288
1,2636587.57886468
1,4157426.09273764
1,3903143.92142692
1,3640390.68632439
1,4905837.75276996
1,4005900.50640836
1,2983192.30470275
1,5600803.72204113
1,3909430.71353687
1,3381980.23153133
1,5360755.11821485
