#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3060000.trees ../Simulation/Slim(primary)/trees/r3060001.trees ../Simulation/Slim(primary)/trees/r3060002.trees ../Simulation/Slim(primary)/trees/r3060003.trees ../Simulation/Slim(primary)/trees/r3060004.trees ../Simulation/Slim(primary)/trees/r3060005.trees ../Simulation/Slim(primary)/trees/r3060006.trees ../Simulation/Slim(primary)/trees/r3060007.trees ../Simulation/Slim(primary)/trees/r3060008.trees ../Simulation/Slim(primary)/trees/r3060009.trees ../Simulation/Slim(primary)/trees/r3060010.trees ../Simulation/Slim(primary)/trees/r3060011.trees ../Simulation/Slim(primary)/trees/r3060012.trees ../Simulation/Slim(primary)/trees/r3060013.trees ../Simulation/Slim(primary)/trees/r3060014.trees ../Simulation/Slim(primary)/trees/r3060015.trees ../Simulation/Slim(primary)/trees/r3060016.trees ../Simulation/Slim(primary)/trees/r3060017.trees ../Simulation/Slim(primary)/trees/r3060018.trees ../Simulation/Slim(primary)/trees/r3060019.trees ../Simulation/Slim(primary)/trees/r3060020.trees ../Simulation/Slim(primary)/trees/r3060021.trees ../Simulation/Slim(primary)/trees/r3060022.trees ../Simulation/Slim(primary)/trees/r3060023.trees ../Simulation/Slim(primary)/trees/r3060024.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/725002401.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,ZngE,TajD,FayH,FulD,FerL,bsfs,Colless,btree,Omega,path
0,100001.0,50,269,1.0986958479678974,-0.6587447980360178,-0.24238614410404144,0.50548158729414,-1.6411678569680792,-2.980783225284624,0.15688362723730268,-0.5982682595047386,-0.5159629739122887,r3060000.trees
0,100001.0,50,318,0.509550440577452,-0.32206103696185256,-0.11436213025414099,0.43328925731327583,-0.7709247174488146,-0.7435247778401672,0.1855040627362056,-1.1703195147135768,-0.6902877454921282,r3060001.trees
0,100001.0,50,465,0.3926268279661853,-0.875881715987951,-0.17522321787318876,0.9767918955258401,-0.9642890959195076,-3.288764493761029,0.227045566830084,-2.022926739204301,-1.17629235754137,r3060002.trees
0,100001.0,50,364,-0.14310490602227846,-0.7679615629149729,-0.08796685950080795,1.1422031729042166,-0.28858828423306054,-1.9955588315346515,0.19050620248099237,-1.4028051970990365,-0.903495427248988,r3060003.trees
0,100001.0,50,348,0.03129316408935322,-0.9872596227528797,-0.14232531763476566,1.1754693439454988,-0.6163890862231746,-3.3591426777473834,0.19065379316283476,-1.4597634620871043,-1.0164095620862332,r3060004.trees
0,100001.0,50,379,0.15903106371579334,-0.4628309667501108,-0.08622754640430902,0.34222858421387475,-0.45390828167884234,-1.1724998090784182,0.16524943310657597,-0.8629307341742498,-0.8267473386982874,r3060005.trees
0,100001.0,50,331,1.189993424545453,-1.467849636260349,-0.36703667373462007,-0.15942224737100394,-2.221185589610115,-4.677061557320421,0.16615900091379834,-1.5567715589382667,-1.4037267543564436,r3060006.trees
0,100001.0,50,417,1.2813971463283742,0.030509413626694078,-0.1689988855914184,-0.34391296074885574,-1.4438241658237712,-0.6792155561016249,0.2199546485260771,-1.8094711475358083,-0.5175708652128999,r3060007.trees
0,100001.0,50,394,-0.25409210655586,-0.7443775714207944,-0.06961160498085738,1.8198163460349415,-0.1484369851337349,-2.950628554762627,0.15923052894627238,-1.0284854253366926,-0.6166401880844666,r3060008.trees
0,100001.0,50,369,0.7448573399278443,-0.08730660420957176,-0.11315316760486738,-0.2412129008289007,-0.9013431838405301,-0.742460017240686,0.13787444802482396,-0.16731287003765677,-0.161748501712217,r3060009.trees
