#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3040025.trees ../Simulation/Slim(primary)/trees/r3040026.trees ../Simulation/Slim(primary)/trees/r3040027.trees ../Simulation/Slim(primary)/trees/r3040028.trees ../Simulation/Slim(primary)/trees/r3040029.trees ../Simulation/Slim(primary)/trees/r3040030.trees ../Simulation/Slim(primary)/trees/r3040031.trees ../Simulation/Slim(primary)/trees/r3040032.trees ../Simulation/Slim(primary)/trees/r3040033.trees ../Simulation/Slim(primary)/trees/r3040034.trees ../Simulation/Slim(primary)/trees/r3040035.trees ../Simulation/Slim(primary)/trees/r3040036.trees ../Simulation/Slim(primary)/trees/r3040037.trees ../Simulation/Slim(primary)/trees/r3040038.trees ../Simulation/Slim(primary)/trees/r3040039.trees ../Simulation/Slim(primary)/trees/r3040040.trees ../Simulation/Slim(primary)/trees/r3040041.trees ../Simulation/Slim(primary)/trees/r3040042.trees ../Simulation/Slim(primary)/trees/r3040043.trees ../Simulation/Slim(primary)/trees/r3040044.trees ../Simulation/Slim(primary)/trees/r3040045.trees ../Simulation/Slim(primary)/trees/r3040046.trees ../Simulation/Slim(primary)/trees/r3040047.trees ../Simulation/Slim(primary)/trees/r3040048.trees ../Simulation/Slim(primary)/trees/r3040049.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/993066930.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,TajD,FulD,FerL,ZngE,bsfs,FayH,btree,Colless,Omega,path
0,100001.0,50,503,0.48917131082404786,0.0059681597836871506,-0.1542624354204194,0.3883720244911808,0.7761296616666516,0.015881812240978697,0.6661011794695844,0.10361330461832975,0.771670385123379,r3040025.trees
0,100001.0,50,403,0.1838076235577667,-0.3516821143032986,-0.5277262334996591,0.5574561731664116,0.02619506081898806,-0.04974453142420806,0.06081076758152092,0.1257946631033366,-0.04448357632902168,r3040026.trees
0,100001.0,50,360,-0.043124373191942886,0.739235446088131,-0.5399230290916945,0.45089394657103327,-0.4625302177762853,-0.06716892290860786,-0.09947708954133269,0.12508450585203026,-0.3008501590953172,r3040027.trees
0,100001.0,50,506,-0.29803238551906813,0.5138216510701815,0.058257740632874484,-0.2052975045008101,-0.46643512339886767,-0.013899193150505341,-0.24857486942665172,0.1380320476814579,-0.0021750029399112015,r3040028.trees
0,100001.0,50,417,0.010474888251635686,0.1533259830749536,-0.36154045633422016,0.32233218632087673,-0.35436139155039953,-0.042120145867403064,0.08599785575564124,0.13091817186644772,0.12464837305489779,r3040029.trees
0,100001.0,50,352,0.43715760619483846,-0.05194854170010977,0.11846936102981975,0.1215188912178667,0.7889596026212815,0.044650068059193686,0.501144065979572,0.10823692534338578,0.2726796193655793,r3040030.trees
0,100001.0,50,420,0.15615800356073842,0.587167193238075,0.04293856414700846,0.04301382306321515,0.2893012338050909,0.0159926700297494,-0.03887986496255513,0.12989065682770282,0.08897096840114169,r3040031.trees
0,100001.0,50,487,-0.2686463545813746,-0.34217125444047936,-0.9061202652997203,0.6555890547269181,-0.7399427271735105,-0.1258942843101089,0.05216263299798235,0.12675886143931256,-0.1097961001733262,r3040032.trees
0,100001.0,50,389,0.4353036246818307,-0.43612054549310986,-0.5654416946254278,0.7202219928549963,0.20957887057085814,-0.0366819400536863,0.09137016095156834,0.12128851540616248,0.05644057223641802,r3040033.trees
0,100001.0,50,429,0.4522386505545728,-0.5300334214262561,-0.10544570021951627,0.32606656772311127,0.6143271985238639,0.019080965976528138,0.35278247536352664,0.1076100769978321,0.23972052274354455,r3040034.trees
0,100001.0,50,509,0.17854482932605675,-0.0038185776184221725,-0.00589903025868624,0.09756164267710717,0.25611233952182455,0.011754234107486859,-0.3273586513912397,0.13872641106651865,-0.07241275660303634,r3040035.trees
0,100001.0,50,406,0.5189113591499745,-0.7016794957095039,0.21241126555629328,0.08172751555701778,1.6092133989204542,0.061429520851237936,0.6449018440090027,0.10677231786569376,0.2940243787237035,r3040036.trees
0,100001.0,50,422,0.09234368391153736,-0.7649549475978933,-0.5069912377748301,0.4921314025093357,-0.30782373451153866,-0.053632136223345304,0.49182480815306867,0.10255587949465501,0.4409746747643851,r3040037.trees
0,100001.0,50,494,0.5037558731466054,-1.2243055194324337,0.3326392659116,-0.031087531614918052,0.9384866854437631,0.0744665378664471,0.5293825767626847,0.10991080105511593,0.5970343044172508,r3040038.trees
0,100001.0,50,503,-0.16178865572539478,0.18282022432639497,-0.30409494958469924,0.18295713388823867,-0.8047687967154413,-0.04722926074705243,-0.33056660624879036,0.13473264953649852,0.01286020136410774,r3040039.trees
0,100001.0,50,505,-0.026782850422739316,0.8443105957680096,0.01733009278003203,-0.029055078675461678,-0.23869290185326877,0.00018051946657006307,-0.3569862412936543,0.1445303928022822,0.16369129230430732,r3040040.trees
