#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3010225.trees ../Simulation/Slim(primary)/trees/r3010226.trees ../Simulation/Slim(primary)/trees/r3010227.trees ../Simulation/Slim(primary)/trees/r3010228.trees ../Simulation/Slim(primary)/trees/r3010229.trees ../Simulation/Slim(primary)/trees/r3010230.trees ../Simulation/Slim(primary)/trees/r3010231.trees ../Simulation/Slim(primary)/trees/r3010232.trees ../Simulation/Slim(primary)/trees/r3010233.trees ../Simulation/Slim(primary)/trees/r3010234.trees ../Simulation/Slim(primary)/trees/r3010235.trees ../Simulation/Slim(primary)/trees/r3010236.trees ../Simulation/Slim(primary)/trees/r3010237.trees ../Simulation/Slim(primary)/trees/r3010238.trees ../Simulation/Slim(primary)/trees/r3010239.trees ../Simulation/Slim(primary)/trees/r3010240.trees ../Simulation/Slim(primary)/trees/r3010241.trees ../Simulation/Slim(primary)/trees/r3010242.trees ../Simulation/Slim(primary)/trees/r3010243.trees ../Simulation/Slim(primary)/trees/r3010244.trees ../Simulation/Slim(primary)/trees/r3010245.trees ../Simulation/Slim(primary)/trees/r3010246.trees ../Simulation/Slim(primary)/trees/r3010247.trees ../Simulation/Slim(primary)/trees/r3010248.trees ../Simulation/Slim(primary)/trees/r3010249.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/621156265.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,bsfs,ZngE,FerL,FulD,TajD,FayH,Colless,Omega,btree,path
0,100001.0,50,460,-0.42147501661779835,0.9314349819709893,-1.0202093807424024,-0.007740614536679081,0.07146977472675087,-0.1157546626495302,0.17630529369108047,-0.5974524910677209,-1.0859387916894874,r3010225.trees
0,100001.0,50,416,-0.4797822024189327,-0.06122041636099998,0.021222076498598943,0.8024398424835213,-0.0825222334923207,-0.0032471842700537556,0.15636698466368795,-0.19162170023685793,-0.7032487701458504,r3010226.trees
0,100001.0,50,409,-2.8999809979831155,0.09054520127850667,-0.4912043029989384,1.3069101946930188,-0.6585191397471098,-0.10422890036823591,0.1651257472686044,-0.7028808228175132,-1.0629004567157276,r3010227.trees
0,100001.0,50,426,0.3036806657224246,-0.12498795588307877,0.1632487519442027,-0.37147408946798216,0.03507919266335266,0.021791825311703168,0.12315400843881856,0.2258144168895122,0.2551088942647688,r3010228.trees
0,100001.0,50,422,-0.026324288022607837,0.47955206174315895,-0.43225329109625754,-0.13317677090650792,0.1948321436859174,-0.03761931847000095,0.12112150415721844,-0.12967596378051297,-0.06783274360335298,r3010229.trees
0,100001.0,50,490,0.23908103958602375,-0.214298139778208,0.23947214398829192,0.06328618269037119,-0.008333810893895673,0.027735381119917364,0.12038121259432735,0.2620482640846616,0.2901712033685063,r3010230.trees
0,100001.0,50,433,-1.790818700763592,-0.24293374881161472,-0.05108949693440767,0.8813375852016045,-0.5568948443180766,-0.04492938850116636,0.15496748149809375,-0.2552718187441023,-0.6237127670730209,r3010231.trees
0,100001.0,50,370,0.08850096877869376,-0.12764652451909314,0.1718678382749725,1.230459273366574,0.04453581420086754,0.023524234749554215,0.16129671046500793,0.028590540776090176,-0.8603544798537934,r3010232.trees
0,100001.0,50,408,-0.3024600210129097,-0.6880049765922711,0.5335414658715332,0.33817812600501934,-0.4267266747602717,0.0334569449405895,0.1120857433882644,0.4827264478358242,0.5596394885992432,r3010233.trees
0,100001.0,50,451,0.24964495308368456,-0.025476542401180392,0.09934180100510402,0.12353590649355084,0.11921786968170538,0.020080914100065954,0.15364152417723845,0.48427225893177056,-0.7376576241589223,r3010234.trees
0,100001.0,50,402,-0.2567237318784657,0.5913316370171351,-0.6476597651480126,0.28181238437698186,0.045804534054405155,-0.07360968944869456,0.16070556427699287,-0.4194956083136228,-0.7287918260842906,r3010235.trees
