#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3040050.trees ../Simulation/Slim(primary)/trees/r3040051.trees ../Simulation/Slim(primary)/trees/r3040052.trees ../Simulation/Slim(primary)/trees/r3040053.trees ../Simulation/Slim(primary)/trees/r3040054.trees ../Simulation/Slim(primary)/trees/r3040055.trees ../Simulation/Slim(primary)/trees/r3040056.trees ../Simulation/Slim(primary)/trees/r3040057.trees ../Simulation/Slim(primary)/trees/r3040058.trees ../Simulation/Slim(primary)/trees/r3040059.trees ../Simulation/Slim(primary)/trees/r3040060.trees ../Simulation/Slim(primary)/trees/r3040061.trees ../Simulation/Slim(primary)/trees/r3040062.trees ../Simulation/Slim(primary)/trees/r3040063.trees ../Simulation/Slim(primary)/trees/r3040064.trees ../Simulation/Slim(primary)/trees/r3040065.trees ../Simulation/Slim(primary)/trees/r3040066.trees ../Simulation/Slim(primary)/trees/r3040067.trees ../Simulation/Slim(primary)/trees/r3040068.trees ../Simulation/Slim(primary)/trees/r3040069.trees ../Simulation/Slim(primary)/trees/r3040070.trees ../Simulation/Slim(primary)/trees/r3040071.trees ../Simulation/Slim(primary)/trees/r3040072.trees ../Simulation/Slim(primary)/trees/r3040073.trees ../Simulation/Slim(primary)/trees/r3040074.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/475999367.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,TajD,ZngE,FayH,bsfs,FulD,FerL,Colless,btree,Omega,path
0,100001.0,50,483,0.1490238688572789,0.027688455080049145,0.017057414969642148,0.4793224663092549,0.5109084026496504,0.05632397027245817,0.11187157789945247,0.3662678089047902,0.09834949556379878,r3040050.trees
0,100001.0,50,461,0.6479663306172301,0.6934657158382804,-0.0031715981561365454,0.6279839722846575,0.4030278036414683,-0.40886474345087764,0.13539405123751627,-0.1811644061084491,0.2154082091040991,r3040051.trees
0,100001.0,50,478,-0.0025111937895791487,0.006671007621716824,-0.001250317813972796,0.1626974959842834,-0.4726033682637581,-0.009089162271844977,0.11517338642774183,0.3932564865897973,0.2347207631379609,r3040052.trees
0,100001.0,50,420,-0.29523286567120427,-0.09526342360680412,-0.02835100780537778,-0.8009085856204695,0.8340215748492935,-0.06527597137157833,0.11479134664618537,0.16331372945713515,0.37954760174630575,r3040053.trees
0,100001.0,50,514,0.2324784888596192,0.060398429887405944,0.024284587776277126,0.47230012155988255,-0.20892633232909982,0.06831455710538248,0.10901273774816048,0.518374034541449,0.2894714756999698,r3040054.trees
0,100001.0,50,550,0.051654254442088696,0.38817261127879416,-0.045055845620439794,-0.3473639929700737,0.04736135239765902,-0.4120906469204601,0.1529894658285255,-0.6817947178947807,-0.26190676960416637,r3040055.trees
0,100001.0,50,436,-0.701364406039577,0.048445267023801565,-0.1044667953896759,-3.3073892179630406,1.8380245234603116,-0.4686283191263611,0.14751640301090851,-0.6352323772661598,-0.3629040765473771,r3040056.trees
0,100001.0,50,494,-0.04472111180451617,0.1216216876598895,-0.02263728071717969,-0.4728921013982545,0.48624008216710396,-0.16507971591094445,0.15339982146704836,-0.7200169960401167,-0.2805544036591297,r3040057.trees
0,100001.0,50,549,0.16948236617640974,0.6680194083774923,-0.06630487340371598,-0.08404942981455049,-0.21671916273859432,-0.6616064042271519,0.1328781512605042,-0.35835055603487076,0.10180772916845195,r3040058.trees
0,100001.0,50,446,0.11768167120347134,0.48401974888700483,-0.04894101089911385,-0.043818342281794875,0.1286106527244915,-0.4827125667314632,0.13164198606271776,-0.0649475416436655,-0.11167385231940392,r3040059.trees
