#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3040200.trees ../Simulation/Slim(primary)/trees/r3040201.trees ../Simulation/Slim(primary)/trees/r3040202.trees ../Simulation/Slim(primary)/trees/r3040203.trees ../Simulation/Slim(primary)/trees/r3040204.trees ../Simulation/Slim(primary)/trees/r3040205.trees ../Simulation/Slim(primary)/trees/r3040206.trees ../Simulation/Slim(primary)/trees/r3040207.trees ../Simulation/Slim(primary)/trees/r3040208.trees ../Simulation/Slim(primary)/trees/r3040209.trees ../Simulation/Slim(primary)/trees/r3040210.trees ../Simulation/Slim(primary)/trees/r3040211.trees ../Simulation/Slim(primary)/trees/r3040212.trees ../Simulation/Slim(primary)/trees/r3040213.trees ../Simulation/Slim(primary)/trees/r3040214.trees ../Simulation/Slim(primary)/trees/r3040215.trees ../Simulation/Slim(primary)/trees/r3040216.trees ../Simulation/Slim(primary)/trees/r3040217.trees ../Simulation/Slim(primary)/trees/r3040218.trees ../Simulation/Slim(primary)/trees/r3040219.trees ../Simulation/Slim(primary)/trees/r3040220.trees ../Simulation/Slim(primary)/trees/r3040221.trees ../Simulation/Slim(primary)/trees/r3040222.trees ../Simulation/Slim(primary)/trees/r3040223.trees ../Simulation/Slim(primary)/trees/r3040224.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/268393347.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,FerL,TajD,FulD,ZngE,bsfs,FayH,Colless,btree,Omega,path
0,100001.0,50,391,-0.24881729559013194,0.17195606091773938,-0.2235547279110028,0.3068225376533929,0.23881200914554107,-0.017508519515516106,0.14881881714434408,-0.6213547468975635,-0.21069263820595407,r3040200.trees
0,100001.0,50,446,-0.07232900299676114,0.28096553655846823,0.8594693425297018,0.20861744987891612,0.485400490772501,0.011046555523175605,0.14672386367482318,-0.625871409433883,-0.17905224667918015,r3040201.trees
0,100001.0,50,375,0.05255587373372819,0.19230218664784005,-0.5268209920455478,0.05313708979646267,0.4501508372231745,0.019679562627231455,0.11628735263739003,0.14335553036134632,-0.04003902840970902,r3040202.trees
0,100001.0,50,467,-0.09897492777836503,0.3230705837037791,0.13341108283262476,0.2538219826472583,0.4373399870387216,0.01083129261991179,0.12140856342537015,0.1220417269445848,0.23197548921702277,r3040203.trees
0,100001.0,50,542,-0.3996976945697375,0.3953542184017005,-0.20429496771216582,0.5552357813405701,0.07731763367068127,-0.019640297889647752,0.11918124392614189,0.1337793697714991,0.14995712387250995,r3040204.trees
0,100001.0,50,416,0.21240887273102443,0.024021969152258536,-0.01640437724125234,-0.17378851745735363,0.14185791976496187,0.026854213913344596,0.11226978596316575,0.3199354473195883,0.38878063826821874,r3040205.trees
0,100001.0,50,497,-0.2654505858427656,-0.04905018988501834,0.4634303419780355,0.20739750968106693,-0.20644641687395573,-0.03480376990869101,0.12179417221434029,0.04159571587395824,0.1334398822707732,r3040206.trees
0,100001.0,50,498,-0.5077694168520954,-0.279388905831029,0.09865066509690452,0.300721545540825,-0.8723528818966805,-0.07951555438773807,0.12338882921589689,0.0346165841930431,0.05640116549509257,r3040207.trees
0,100001.0,50,377,-0.4558160443626829,0.12646846859200467,-0.14889663377664744,0.46471187423407256,-0.2919897300606761,-0.04527789159929547,0.13183204316209243,-0.20617275538998217,0.07080662711605512,r3040208.trees
0,100001.0,50,420,0.3063510620472675,-0.0041893906753535225,0.9398163098255301,-0.27071197314510803,0.28863920031872264,0.03601365965975244,0.11370390261367706,0.3259303250246675,0.25917729739560563,r3040209.trees
0,100001.0,50,367,0.4735919501829758,0.424711545041236,-0.143949311626327,-0.19599898957901746,1.78384982737724,0.08593997819591687,0.10001590564283266,0.7019156814630119,0.43939036468862136,r3040210.trees
0,100001.0,50,474,-0.17358715121156482,0.4239022247965902,-0.011004732322715026,0.37141133623583583,0.21870596102970044,0.00903986660915193,0.13032560442017183,-0.07648128513784719,0.052143178242816314,r3040211.trees
0,100001.0,50,465,-0.5818063073249673,0.02381363803196786,-0.011205301458238242,0.5224325228822803,-0.2617735217374466,-0.06718463372410868,0.1473503602624482,-0.5274478403604046,-0.224078446166379,r3040212.trees
0,100001.0,50,450,-0.008736964498218038,0.28640943445467415,0.5262540282353089,0.1556922298471532,0.09834776562548493,0.018954970370684644,0.11214513738456276,0.28405052216897747,0.5067457962469178,r3040213.trees
0,100001.0,50,420,-0.6179842557616521,-0.37543535047223686,1.327730338071731,0.34781850658315033,-1.629997916619626,-0.09945366294518371,0.14213550284978857,-0.7614473054891945,-0.8139976656699661,r3040214.trees
0,100001.0,50,427,0.15421562703291586,-0.21174980434821417,-0.20486839241863727,-0.24457615254165493,0.010457066218499551,0.003487691255158693,0.1535157166314802,-0.3506415021218906,0.10058795410669262,r3040215.trees
0,100001.0,50,436,-0.5781095042967228,-0.197846943235113,0.37695569994766126,0.4045871292585166,-1.000443565328535,-0.08228464073397962,0.13509995835068722,-0.34020389640502696,-0.3000136563287315,r3040216.trees
0,100001.0,50,451,0.35871266429646487,-0.06036954952403018,0.8791923485666697,-0.34569850083657583,-0.022815632980160205,0.03825256902954398,0.11977149834292691,0.49769142772891384,0.3791020476711615,r3040217.trees
0,100001.0,50,444,-0.5600299021588094,0.23691039062882066,-0.5567420995924538,0.6134133778093404,0.03432426985726354,-0.0497777474724584,0.141390306122449,-0.20206874200071445,0.14213976351497712,r3040218.trees
0,100001.0,50,428,-0.6392271032673895,0.6171063470048831,-0.4543527015672133,0.8791629354149479,0.34528528895322036,-0.032649226032643294,0.1379077271934415,-0.28497420317199307,0.2339760828179747,r3040219.trees
0,100001.0,50,391,-0.5909037045705476,0.04844393899216475,0.1172163292034767,0.5429058502675571,-0.358413432239053,-0.06672585755173258,0.12959833614974653,-0.09493885837605757,0.21524481907053478,r3040220.trees
0,100001.0,50,438,0.09460824532923914,0.2803840001451193,0.2587365795810052,0.06193728858222364,0.6010500460989554,0.030777365049314657,0.1370355834641549,-0.2358366135162884,0.011999024070172202,r3040221.trees
