#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3000350.trees ../Simulation/Slim(primary)/trees/r3000351.trees ../Simulation/Slim(primary)/trees/r3000352.trees ../Simulation/Slim(primary)/trees/r3000353.trees ../Simulation/Slim(primary)/trees/r3000354.trees ../Simulation/Slim(primary)/trees/r3000355.trees ../Simulation/Slim(primary)/trees/r3000356.trees ../Simulation/Slim(primary)/trees/r3000357.trees ../Simulation/Slim(primary)/trees/r3000358.trees ../Simulation/Slim(primary)/trees/r3000359.trees ../Simulation/Slim(primary)/trees/r3000360.trees ../Simulation/Slim(primary)/trees/r3000361.trees ../Simulation/Slim(primary)/trees/r3000362.trees ../Simulation/Slim(primary)/trees/r3000363.trees ../Simulation/Slim(primary)/trees/r3000364.trees ../Simulation/Slim(primary)/trees/r3000365.trees ../Simulation/Slim(primary)/trees/r3000366.trees ../Simulation/Slim(primary)/trees/r3000367.trees ../Simulation/Slim(primary)/trees/r3000368.trees ../Simulation/Slim(primary)/trees/r3000369.trees ../Simulation/Slim(primary)/trees/r3000370.trees ../Simulation/Slim(primary)/trees/r3000371.trees ../Simulation/Slim(primary)/trees/r3000372.trees ../Simulation/Slim(primary)/trees/r3000373.trees ../Simulation/Slim(primary)/trees/r3000374.trees ../Simulation/Slim(primary)/trees/r3000375.trees ../Simulation/Slim(primary)/trees/r3000376.trees ../Simulation/Slim(primary)/trees/r3000377.trees ../Simulation/Slim(primary)/trees/r3000378.trees ../Simulation/Slim(primary)/trees/r3000379.trees ../Simulation/Slim(primary)/trees/r3000380.trees ../Simulation/Slim(primary)/trees/r3000381.trees ../Simulation/Slim(primary)/trees/r3000382.trees ../Simulation/Slim(primary)/trees/r3000383.trees ../Simulation/Slim(primary)/trees/r3000384.trees ../Simulation/Slim(primary)/trees/r3000385.trees ../Simulation/Slim(primary)/trees/r3000386.trees ../Simulation/Slim(primary)/trees/r3000387.trees ../Simulation/Slim(primary)/trees/r3000388.trees ../Simulation/Slim(primary)/trees/r3000389.trees ../Simulation/Slim(primary)/trees/r3000390.trees ../Simulation/Slim(primary)/trees/r3000391.trees ../Simulation/Slim(primary)/trees/r3000392.trees ../Simulation/Slim(primary)/trees/r3000393.trees ../Simulation/Slim(primary)/trees/r3000394.trees ../Simulation/Slim(primary)/trees/r3000395.trees ../Simulation/Slim(primary)/trees/r3000396.trees ../Simulation/Slim(primary)/trees/r3000397.trees ../Simulation/Slim(primary)/trees/r3000398.trees ../Simulation/Slim(primary)/trees/r3000399.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/732555059.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,ZngE,TajD,FerL,FayH,FulD,bsfs,Omega,btree,Colless,path
0,100001.0,50,438,0.05623038001663344,0.5914000017193201,0.2844303752331475,0.07496971386260914,-0.4853935023103928,1.3872639740646748,0.7277418028085898,0.9662137334572038,0.10257936507936509,r3000350.trees
0,100001.0,50,409,-0.6046189319912513,-0.5325763101927099,0.37605043330152077,0.007390070968040187,0.03964926600376641,-0.6480022333453647,-0.3812116439402999,-0.03314850144888643,0.12757663306286368,r3000351.trees
0,100001.0,50,435,-0.12532894173298642,-0.26245586784748864,-0.011722020387931865,-0.019710232694032555,1.1686744951535841,-0.8915192783475309,-0.25610690972851186,-0.4029290687955444,0.149477648202138,r3000352.trees
0,100001.0,50,400,-0.024431719695785416,0.30323307749375744,0.20646155860286955,0.04566856678124872,-0.07050204707142668,0.41681277169340747,0.6105561292843066,0.38105110962922306,0.12340154641091408,r3000353.trees
0,100001.0,50,491,-0.0735562036751957,0.16777574223238376,0.18285784047511455,0.03332463349339603,-0.8191199020395508,0.20448987031349014,0.1751186775182372,0.16365639694345285,0.11494734880253471,r3000354.trees
0,100001.0,50,381,-0.13204551049975688,0.033966996906545546,0.1706624193706122,0.022631446834999795,0.47857654883103984,0.24965848654694406,0.018417884539245352,0.0699382936228444,0.12427248677248678,r3000355.trees
0,100001.0,50,470,0.22449222379653683,0.3238560760550205,-0.06504809517095901,0.014900244380110034,-0.42453430480599397,0.6140371832441535,-0.030833406045988023,0.05184447346409435,0.1268075801749271,r3000356.trees
0,100001.0,50,510,-0.29923221925737037,0.001688490372539936,0.34221945708527063,0.040562554684589976,0.280455149297078,0.4433688273518009,-0.04208055801466282,0.2366319117783856,0.11929057337220603,r3000357.trees
0,100001.0,50,415,0.3349785831886389,0.11014446863135967,-0.3172528275552562,-0.029913614442048687,-0.3296964353027916,0.24401330335021412,0.3611855599729176,0.10762547952191422,0.12106595511767926,r3000358.trees
0,100001.0,50,475,0.3595163924241378,0.00811561707411054,-0.4052349556435669,-0.04737172413118616,-0.7668013182660125,-0.0779956677675859,0.3293954096138874,0.2343415154158048,0.12400717043574186,r3000359.trees
0,100001.0,50,440,0.5255581189775446,-0.3209056851872344,-0.7886288806228867,-0.11579554244514567,0.3099421512552592,-1.2669784750422484,-0.06718345590171987,-0.2228117856789531,0.1316751700680272,r3000360.trees
0,100001.0,50,431,-0.09345069528111213,0.32800388575875083,0.29989921859633345,0.05842646944361503,-0.7834581143462285,0.9709243163315114,0.6097427898541943,0.7441836703640838,0.10415742383910087,r3000361.trees
0,100001.0,50,525,-0.2641606175533803,-0.14989870077251344,0.21274492885561436,0.014681907639610456,0.03707954586722569,-0.13047790722911087,0.2721054331087537,0.22731162292178636,0.11606154089542794,r3000362.trees
0,100001.0,50,475,0.10265510492316277,-0.0744144884581358,-0.16096371988512614,-0.02423322442425175,-0.36115566067310423,-0.1214240253834842,-0.06171169740853202,0.01382484452294508,0.12815102676584653,r3000363.trees
0,100001.0,50,358,0.052257630229078825,-0.1537018987382563,-0.150064247600325,-0.02857840701624064,0.017787667874737824,-0.5674402386040709,-0.5621692867012479,-0.4653408186430595,0.1386105340339729,r3000364.trees
0,100001.0,50,461,-0.4325373996382879,-0.16992996344539268,0.3931320885910411,0.034667838505760495,0.917361972135674,-0.046747127375461134,0.13565612082056927,0.4324161166244634,0.11598411686103013,r3000365.trees
0,100001.0,50,442,0.23491198143475014,-0.35138212076039443,-0.47507042162815666,-0.08078444171815422,0.8634833669621864,-1.0465863010247856,-0.5756712973996917,-0.2899704688158359,0.13916106215213359,r3000366.trees
0,100001.0,50,496,0.5106829411540297,0.2849093448921603,-0.4142909741804746,-0.029108189268147688,-0.3061157947827373,0.19258798174805172,0.33924460668843687,0.2253835718813239,0.11976053047481619,r3000367.trees
0,100001.0,50,473,0.17039722192972062,0.28789966963871844,-0.024546373281754522,0.01718282726205327,-0.9127708222281681,0.6044198853886594,0.21864278422633623,-0.10028283506749018,0.13415950136399737,r3000368.trees
0,100001.0,50,379,0.29965574703434494,0.013375849056520004,-0.33404366399299734,-0.038720410203257824,-0.4388564386998606,-0.29834054520335873,0.3253949955230065,0.35301420739648987,0.11444721773601527,r3000369.trees
0,100001.0,50,406,-0.2141909464922942,-0.035631991789354334,0.22337228425472871,0.023997856148384764,-0.9205194221204612,0.12452975781186788,0.4176500206518872,0.6937916224568795,0.1038855432883536,r3000370.trees
