#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3020050.trees ../Simulation/Slim(primary)/trees/r3020051.trees ../Simulation/Slim(primary)/trees/r3020052.trees ../Simulation/Slim(primary)/trees/r3020053.trees ../Simulation/Slim(primary)/trees/r3020054.trees ../Simulation/Slim(primary)/trees/r3020055.trees ../Simulation/Slim(primary)/trees/r3020056.trees ../Simulation/Slim(primary)/trees/r3020057.trees ../Simulation/Slim(primary)/trees/r3020058.trees ../Simulation/Slim(primary)/trees/r3020059.trees ../Simulation/Slim(primary)/trees/r3020060.trees ../Simulation/Slim(primary)/trees/r3020061.trees ../Simulation/Slim(primary)/trees/r3020062.trees ../Simulation/Slim(primary)/trees/r3020063.trees ../Simulation/Slim(primary)/trees/r3020064.trees ../Simulation/Slim(primary)/trees/r3020065.trees ../Simulation/Slim(primary)/trees/r3020066.trees ../Simulation/Slim(primary)/trees/r3020067.trees ../Simulation/Slim(primary)/trees/r3020068.trees ../Simulation/Slim(primary)/trees/r3020069.trees ../Simulation/Slim(primary)/trees/r3020070.trees ../Simulation/Slim(primary)/trees/r3020071.trees ../Simulation/Slim(primary)/trees/r3020072.trees ../Simulation/Slim(primary)/trees/r3020073.trees ../Simulation/Slim(primary)/trees/r3020074.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/820046260.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,FerL,bsfs,TajD,ZngE,FulD,FayH,btree,Omega,Colless,path
0,100001.0,50,480,-0.5854297312990664,-0.0329714811023621,0.05662432380787821,0.5426137701763255,-0.2682101915743899,-0.06529404175302972,-0.3508618571918515,-0.0754295090341742,0.13718820861678005,r3020050.trees
0,100001.0,50,396,-0.40510832158380494,-0.32122886197125206,0.049534659540680384,0.3806401894038956,-0.26230025497010523,-0.044595304335071216,-0.3136943175545253,-0.3157963846034451,0.1368817797389226,r3020051.trees
0,100001.0,50,345,-0.5762427503061341,-0.3719928665878136,-0.1491430113339151,0.4280457129369351,-0.5436606426830028,-0.07895419782918187,-0.8276643371974219,-0.33022652089868715,0.15781098153547132,r3020052.trees
0,100001.0,50,396,0.09966483853716397,-0.6056203549666264,-0.3202599792194919,-0.2526594621918259,0.6350224901230814,-0.010549701943485007,-1.3632756198656792,-0.4769186803394638,0.18051039096957464,r3020053.trees
0,100001.0,50,393,-0.5064619653803024,-0.8140993664043981,-0.04835022438932042,0.41894583723016815,0.8909897759199803,-0.06346403182327112,-0.38923087709922743,-0.3132990940570469,0.13108823411021214,r3020054.trees
0,100001.0,50,385,-0.9289437992512825,-3.3684521721957554,-0.8386121283478211,0.3814380200302577,1.3237952363314716,-0.1688430118684012,-1.6334471724236237,-1.2643000637947786,0.1976284378782188,r3020055.trees
0,100001.0,50,348,-0.31059200419640903,-1.3023580970412605,-0.5697112856819687,-0.021462112007763323,1.5580398098481665,-0.07676811956443849,-1.9210325223479185,-0.8359047766579591,0.22426870748299318,r3020056.trees
0,100001.0,50,386,-1.347243544221501,-1.2678219166361533,-0.15450899612288121,1.101044897905405,0.468149494843674,-0.17067996494681698,-1.2542713470528926,-0.7235800570708703,0.18226735138499844,r3020057.trees
0,100001.0,50,476,-0.8772129885117501,-3.2695768774130007,-0.7222731505458376,0.39565033927251925,1.5321150452095427,-0.15415926509416375,-1.2215149668921887,-1.185545700528097,0.15849551741226292,r3020058.trees
0,100001.0,50,337,-0.3264873014211013,-1.061737294573234,-0.5431010129369875,0.006271242770716519,0.22372000229878697,-0.07683170366241973,-0.954072948963236,-0.18268648702520826,0.16541383219954647,r3020059.trees
