#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3050025.trees ../Simulation/Slim(primary)/trees/r3050026.trees ../Simulation/Slim(primary)/trees/r3050027.trees ../Simulation/Slim(primary)/trees/r3050028.trees ../Simulation/Slim(primary)/trees/r3050029.trees ../Simulation/Slim(primary)/trees/r3050030.trees ../Simulation/Slim(primary)/trees/r3050031.trees ../Simulation/Slim(primary)/trees/r3050032.trees ../Simulation/Slim(primary)/trees/r3050033.trees ../Simulation/Slim(primary)/trees/r3050034.trees ../Simulation/Slim(primary)/trees/r3050035.trees ../Simulation/Slim(primary)/trees/r3050036.trees ../Simulation/Slim(primary)/trees/r3050037.trees ../Simulation/Slim(primary)/trees/r3050038.trees ../Simulation/Slim(primary)/trees/r3050039.trees ../Simulation/Slim(primary)/trees/r3050040.trees ../Simulation/Slim(primary)/trees/r3050041.trees ../Simulation/Slim(primary)/trees/r3050042.trees ../Simulation/Slim(primary)/trees/r3050043.trees ../Simulation/Slim(primary)/trees/r3050044.trees ../Simulation/Slim(primary)/trees/r3050045.trees ../Simulation/Slim(primary)/trees/r3050046.trees ../Simulation/Slim(primary)/trees/r3050047.trees ../Simulation/Slim(primary)/trees/r3050048.trees ../Simulation/Slim(primary)/trees/r3050049.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/146523337.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,TajD,FulD,FayH,FerL,bsfs,ZngE,Omega,btree,Colless,path
0,100001.0,50,405,-0.13029710979958223,0.14567004745844517,-0.0869143824646752,-0.6562108595851734,-0.6198503647123965,0.5079195771176104,-0.29108620041765193,-1.0553125031262072,0.1764664882346381,r3050025.trees
0,100001.0,50,476,0.25048764124753736,-0.46073676896382526,-0.046357021783101436,-0.539615430592099,0.183870118480021,0.6026858159918531,-0.34437813301603326,-0.8814349705826997,0.166140642303433,r3050026.trees
0,100001.0,50,410,-0.24714196760914978,-0.5463899332357972,-0.13889883951960486,-1.0259942158330086,-0.8279834724951916,0.7717288346022101,-0.6949455266688702,-0.6573015880337497,0.16341276394951043,r3050027.trees
0,100001.0,50,410,-0.2821117269187569,-0.4019111637441654,-0.017758755737666367,0.01639335111401655,-0.20378464637602103,-0.16003957213059075,-0.09236175018681467,-0.640106557750732,0.14513777861374966,r3050028.trees
0,100001.0,50,558,-0.07265023539965593,0.7969185498237563,-0.019802687330496005,-0.12485031154015655,-0.08551315523495835,0.07188096518805558,-0.013517301509402644,-0.28463182388092845,0.14434335681175126,r3050029.trees
0,100001.0,50,440,-0.11920809363065638,0.34361338996564494,-0.06499684842046254,-0.478569533896826,-0.41033212469505753,0.35795735607573703,-0.8368954773333276,-1.1675578626433163,0.17950824397555634,r3050030.trees
0,100001.0,50,288,-0.4649562734338697,0.20456317691715944,-0.14132346842752577,-0.9111071515787112,-1.4294097978946925,0.5589067091859901,-0.8102268644167586,-0.6601830988509629,0.15423044217687076,r3050031.trees
0,100001.0,50,393,-0.4493649110494381,0.9663337929688531,-0.021312227342141152,0.08497050160211334,-1.212375010874477,-0.3063972826044555,-0.09733030312334626,-0.2637742700676576,0.12931034482758622,r3050032.trees
0,100001.0,50,399,-0.7309089023446826,1.1250622751397235,-0.15592006606658473,-0.8841120745658059,-3.1343562094643582,0.39763120128969104,-0.906771012800703,-1.9344603742194455,0.2040238935080205,r3050033.trees
0,100001.0,50,381,-0.33963315443595754,0.5951283787277882,-0.06902901547361666,-0.38159689997976864,-0.9459811416749381,0.15920834356228286,-0.6355123987469458,-0.8723224111365426,0.16541538895350885,r3050034.trees
0,100001.0,50,374,-0.5478846429169432,0.8260513012095789,-0.1953176630711074,-1.3224450982924558,-1.8383869087783404,0.8763432870559531,-0.25781444009893556,-1.0206754653895567,0.17270830984327434,r3050035.trees
0,100001.0,50,434,-0.24011704398255582,-0.11815414293030643,-0.058364511058660105,-0.3512137279052729,-0.6195250649155449,0.18383614491284805,-0.3817120378523123,-0.7153324417551957,0.14865446178471386,r3050036.trees
0,100001.0,50,392,0.1022355480607388,-0.004777470348062779,-0.060110968319109864,-0.5668490525652822,-0.3844598646409372,0.5495882553065126,-0.15677825016681704,-0.3614919623082156,0.1329518293804008,r3050037.trees
0,100001.0,50,452,0.24202267620539142,-0.34297502149754466,-0.049642857386961295,-0.5620346287743346,-0.12448755784123963,0.6178531531542775,0.14051534446110822,-0.23733775220417028,0.13993852749433108,r3050038.trees
0,100001.0,50,385,-0.6730119127115106,0.05495734453885633,-0.2134683769317646,-1.4024526006103584,-2.603329205382435,0.881883904506378,-0.9777921473517942,-2.084134919273844,0.23291446208112873,r3050039.trees
0,100001.0,50,471,-0.23001309060452108,1.3315244996848679,-0.023621967311198616,-0.06401391067795652,-0.5867202006245923,-0.06280829909653866,-0.5778554471967585,-0.424644730097023,0.1511362786872991,r3050040.trees
0,100001.0,50,412,0.35970775677411604,-0.12838726470881404,0.004647624148802998,-0.17269816435405042,0.3672450915005131,0.3371281202373612,-0.08347258281695678,-0.3199973392899515,0.12843679138321995,r3050041.trees
0,100001.0,50,408,-0.821889958297872,0.4107694167500983,-0.21801644551959093,-1.3546402534261541,-2.811418368185249,0.7630412103203685,-0.9123689230348346,-1.4053676285994585,0.19672104510594046,r3050042.trees
0,100001.0,50,465,0.19432933596570454,-0.3936558293230431,0.010529368666229744,-0.02560996471109433,0.296962676034188,0.12292691262238079,0.0591580063113607,-0.4774476188929514,0.15015705735846252,r3050043.trees
0,100001.0,50,411,0.03558836291647843,-0.19275381232678226,-0.09084532867278917,-0.7872532396434793,-0.11568248973693197,0.7084523843752164,-0.001224985029190719,-0.48461678719022216,0.1391687925170068,r3050044.trees
0,100001.0,50,487,0.600160040678375,-0.15953927946095234,-0.018289961560197552,-0.5086872837864455,0.2465734919232268,0.7564810898847185,0.1668323426206168,-0.13206794950982237,0.1256509780945871,r3050045.trees
0,100001.0,50,416,0.009984639671262499,-0.1944139902248985,-0.11564846777796468,-0.9815754423035193,-0.44352232776018663,0.8655902826656411,-0.26242117109406066,-0.7321773028015691,0.1595039856433371,r3050046.trees
0,100001.0,50,445,-0.19996845206540673,0.43595390564878234,-0.0651535934803394,-0.43237311628355274,-0.7901780766491425,0.27572248956703477,-0.25321756124154443,-1.3400501703102776,0.18707893785533536,r3050047.trees
0,100001.0,50,414,-0.6932897717966999,0.8579672415989974,-0.1276442335146539,-0.6683835984552076,-1.7761128880687396,0.2278671102291004,-1.1902337342987304,-2.3566185311593113,0.2565507684555303,r3050048.trees
0,100001.0,50,467,-0.6550190837447134,0.4824975155930132,-0.1340679758066785,-0.746788129355388,-1.8760560109083237,0.31610699837323786,-0.606730049501682,-1.008325365098309,0.1763633630247679,r3050049.trees
