#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3030125.trees ../Simulation/Slim(primary)/trees/r3030126.trees ../Simulation/Slim(primary)/trees/r3030127.trees ../Simulation/Slim(primary)/trees/r3030128.trees ../Simulation/Slim(primary)/trees/r3030129.trees ../Simulation/Slim(primary)/trees/r3030130.trees ../Simulation/Slim(primary)/trees/r3030131.trees ../Simulation/Slim(primary)/trees/r3030132.trees ../Simulation/Slim(primary)/trees/r3030133.trees ../Simulation/Slim(primary)/trees/r3030134.trees ../Simulation/Slim(primary)/trees/r3030135.trees ../Simulation/Slim(primary)/trees/r3030136.trees ../Simulation/Slim(primary)/trees/r3030137.trees ../Simulation/Slim(primary)/trees/r3030138.trees ../Simulation/Slim(primary)/trees/r3030139.trees ../Simulation/Slim(primary)/trees/r3030140.trees ../Simulation/Slim(primary)/trees/r3030141.trees ../Simulation/Slim(primary)/trees/r3030142.trees ../Simulation/Slim(primary)/trees/r3030143.trees ../Simulation/Slim(primary)/trees/r3030144.trees ../Simulation/Slim(primary)/trees/r3030145.trees ../Simulation/Slim(primary)/trees/r3030146.trees ../Simulation/Slim(primary)/trees/r3030147.trees ../Simulation/Slim(primary)/trees/r3030148.trees ../Simulation/Slim(primary)/trees/r3030149.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/578969550.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,ZngE,FulD,FayH,TajD,bsfs,FerL,btree,Colless,Omega,path
0,100001.0,50,265,0.21930635486241634,0.7296370509993028,-0.17011280192953868,-0.9993919709895314,-3.1161183156688606,-0.8364545051131373,-1.5126688462242321,0.1955009276437848,-1.4029112123092498,r3030125.trees
0,100001.0,50,380,0.16855271786567436,1.618097867581394,-0.19638937604161918,-1.241849536391771,-4.4485047244215865,-0.923363811161906,-1.6036279432098661,0.18833790826272032,-1.0540372068122497,r3030126.trees
0,100001.0,50,306,0.8664630093916409,0.9170039909853542,-0.1935117335985685,-0.5398552902473627,-1.7946519597833839,-1.3063089065226652,-2.423984697329314,0.22082774715725706,-0.9776357693623559,r3030127.trees
0,100001.0,50,339,0.8541212441439572,0.37752801933555513,-0.25269933049628623,-0.9774300720241379,-4.309891110188004,-1.5495940401336998,-2.1004313921922666,0.19910826172574292,-0.7522693503250205,r3030128.trees
0,100001.0,50,288,0.789163579271366,1.5892777729877139,-0.22650939771959486,-0.8489502953585596,-3.848885540376101,-1.3994141452519717,-1.4827146124554205,0.18801401157477915,-0.9562449376219543,r3030129.trees
0,100001.0,50,334,0.9238464258747197,1.096481829456034,-0.16767783165426375,-0.30166563718012357,-1.6237137010484564,-1.2318327480032598,-2.282487644749007,0.23891110498253354,-1.4626500521250223,r3030130.trees
0,100001.0,50,357,0.8432599903613348,0.10993616050965559,-0.11455857540743641,-0.0014039515632276731,-0.7690399989587124,-0.9631556149076685,-0.8924081813817405,0.15280495759947815,-0.4006688628863545,r3030131.trees
0,100001.0,50,435,0.4312791389160366,1.7476264709393057,-0.24076138510150671,-1.307071497626527,-5.066479720684378,-1.2622956353176056,-1.6157005012654675,0.1830057176244731,-1.3509966528168054,r3030132.trees
0,100001.0,50,425,1.455249236738287,0.7506839601911144,-0.3177388921945408,-0.8667857245582694,-4.365123948257245,-2.170814344403589,-2.3593885979897107,0.2372991749891446,-1.1486747358435063,r3030133.trees
0,100001.0,50,383,0.429610060191097,1.0000007826788457,-0.16842951784252735,-0.788899561735122,-3.209348844975993,-0.9546235554032274,-1.6840493197496884,0.19404856914832974,-0.6141951632480371,r3030134.trees
