#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3020200.trees ../Simulation/Slim(primary)/trees/r3020201.trees ../Simulation/Slim(primary)/trees/r3020202.trees ../Simulation/Slim(primary)/trees/r3020203.trees ../Simulation/Slim(primary)/trees/r3020204.trees ../Simulation/Slim(primary)/trees/r3020205.trees ../Simulation/Slim(primary)/trees/r3020206.trees ../Simulation/Slim(primary)/trees/r3020207.trees ../Simulation/Slim(primary)/trees/r3020208.trees ../Simulation/Slim(primary)/trees/r3020209.trees ../Simulation/Slim(primary)/trees/r3020210.trees ../Simulation/Slim(primary)/trees/r3020211.trees ../Simulation/Slim(primary)/trees/r3020212.trees ../Simulation/Slim(primary)/trees/r3020213.trees ../Simulation/Slim(primary)/trees/r3020214.trees ../Simulation/Slim(primary)/trees/r3020215.trees ../Simulation/Slim(primary)/trees/r3020216.trees ../Simulation/Slim(primary)/trees/r3020217.trees ../Simulation/Slim(primary)/trees/r3020218.trees ../Simulation/Slim(primary)/trees/r3020219.trees ../Simulation/Slim(primary)/trees/r3020220.trees ../Simulation/Slim(primary)/trees/r3020221.trees ../Simulation/Slim(primary)/trees/r3020222.trees ../Simulation/Slim(primary)/trees/r3020223.trees ../Simulation/Slim(primary)/trees/r3020224.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/476436525.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,FerL,FayH,TajD,bsfs,ZngE,FulD,Omega,Colless,btree,path
0,100001.0,50,546,-0.21197902463460566,-0.06106733933522583,-0.5169439492059744,-1.4898641333357308,-0.08173957197356602,1.5115959776920813,-0.6749863336721679,0.1614308159812148,-0.6863644567533942,r3020200.trees
0,100001.0,50,486,-0.4179010663206886,-0.03370255699218902,0.22532451671726617,0.10096854277358534,0.48298771829286324,-0.4885972518258153,-0.058751631042738915,0.14976669059583633,-0.20360835730685325,r3020201.trees
0,100001.0,50,380,-0.7054819833781675,-0.07555693726148645,0.11718352987107739,-0.030780682550946167,0.678743373620027,-0.134749530119577,-0.28503100441731327,0.15654090583601862,-0.7060578075446904,r3020202.trees
0,100001.0,50,405,-0.2526906574865858,-0.013416985645750975,0.23691292002364003,0.08905641556545736,0.3438063973235744,0.8403634916700603,-0.32213147992116586,0.18378743249877272,-1.3732145551852295,r3020203.trees
0,100001.0,50,362,-0.4182163237731632,-0.08905066575384123,-0.56307470034087,-1.699320946332568,0.07615380537721228,1.6571444564604987,-0.08439125504160996,0.1419359410430839,-0.3988316046956199,r3020204.trees
0,100001.0,50,458,-0.5246265211470312,-0.08363631655064503,-0.30870364048367394,-0.5031394093438403,0.3003891291861655,-0.4787207142530895,-0.7029849748304211,0.19406462585034012,-1.5264476723822304,r3020205.trees
0,100001.0,50,377,-0.7857823886770271,-0.18309146628706008,-1.2850020241242188,-4.766039059410412,0.025761535119713717,2.245965711951647,-0.801986940380886,0.2269568321155623,-1.995216658769962,r3020206.trees
0,100001.0,50,417,-1.1138214987420838,-0.18704227820679506,-0.788006774308581,-4.167567187426828,0.569398101076907,2.07124762353822,-0.9459487907037009,0.23680414574206646,-2.3523354052522323,r3020207.trees
0,100001.0,50,506,-0.5008666396983764,-0.08401571817475402,-0.35582206031944624,-1.1595754715444284,0.25511218779551914,0.4259172409330177,-0.5285770603779031,0.16557286815140995,-0.9968812808210381,r3020208.trees
0,100001.0,50,406,-0.1915329643333976,-0.049235116305819546,-0.37976149783803975,-0.4851381483683841,-0.028185056061298164,0.06426024672884363,-0.6996932918844111,0.1634454274320566,-0.8060331419869657,r3020209.trees
0,100001.0,50,321,-0.6954346132687277,-0.0689327233574039,0.198364807119368,0.0832019284989424,0.7113368550733328,-0.2001519072919061,-0.5512624546160267,0.15376318312559922,-0.814163136348252,r3020210.trees
