#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3050200.trees ../Simulation/Slim(primary)/trees/r3050201.trees ../Simulation/Slim(primary)/trees/r3050202.trees ../Simulation/Slim(primary)/trees/r3050203.trees ../Simulation/Slim(primary)/trees/r3050204.trees ../Simulation/Slim(primary)/trees/r3050205.trees ../Simulation/Slim(primary)/trees/r3050206.trees ../Simulation/Slim(primary)/trees/r3050207.trees ../Simulation/Slim(primary)/trees/r3050208.trees ../Simulation/Slim(primary)/trees/r3050209.trees ../Simulation/Slim(primary)/trees/r3050210.trees ../Simulation/Slim(primary)/trees/r3050211.trees ../Simulation/Slim(primary)/trees/r3050212.trees ../Simulation/Slim(primary)/trees/r3050213.trees ../Simulation/Slim(primary)/trees/r3050214.trees ../Simulation/Slim(primary)/trees/r3050215.trees ../Simulation/Slim(primary)/trees/r3050216.trees ../Simulation/Slim(primary)/trees/r3050217.trees ../Simulation/Slim(primary)/trees/r3050218.trees ../Simulation/Slim(primary)/trees/r3050219.trees ../Simulation/Slim(primary)/trees/r3050220.trees ../Simulation/Slim(primary)/trees/r3050221.trees ../Simulation/Slim(primary)/trees/r3050222.trees ../Simulation/Slim(primary)/trees/r3050223.trees ../Simulation/Slim(primary)/trees/r3050224.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/379714718.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,FerL,TajD,FulD,ZngE,bsfs,FayH,Colless,btree,Omega,path
0,100001.0,50,451,-0.1950514020930334,-0.4619469730257443,0.4849368135719985,-0.06775693085260705,-0.8595098149028395,-0.055331079492724596,0.16840215618411108,-1.0253161684157348,-0.4311136476386696,r3050200.trees
0,100001.0,50,438,-0.03879127446005582,0.1548344831744256,-0.18097665062754834,0.11401282924323593,0.12367231359873355,0.006214067191820535,0.11436549928613421,0.21949591531913346,0.2976168408677885,r3050201.trees
0,100001.0,50,452,-0.10887381587430192,0.08340962248694234,-0.310192671100193,0.13856638606813976,0.13846543811652862,-0.007067290156217511,0.1440732206861239,-0.36051597126498464,-0.15271018240677306,r3050202.trees
0,100001.0,50,399,-0.461057620650101,0.04650452295412969,-0.09953881271845684,0.42812403381454167,-0.18102049983219828,-0.05143728578723388,0.1487685983484303,-0.2963381091112181,-0.15384599513920288,r3050203.trees
0,100001.0,50,470,-0.635063277592927,0.2672499312638613,0.4584082901629738,0.6950151663779375,-0.023975784005313146,-0.056490174330185695,0.1564625850340136,-0.788826533158459,-0.6684990712061125,r3050204.trees
0,100001.0,50,464,-1.4138894503287154,-0.6734976146120045,0.7624100275928708,0.8914695714729676,-2.8079627523171804,-0.21430920416987612,0.22219172479118227,-1.6879145757986933,-0.9234418829687789,r3050205.trees
0,100001.0,50,373,-0.39193874333208,-0.28739391256007896,0.44028787141743353,0.1952433293694404,-0.5692537274650146,-0.06662683949004866,0.1853277674706246,-1.2147864219385964,-0.26695221477646486,r3050206.trees
0,100001.0,50,392,-1.1455702351126538,-0.008076344727130022,-0.04254495739813015,0.9998867626019222,-0.6229983236496134,-0.13647955412684812,0.1621489086432119,-1.2596843455143678,-0.3488672251962916,r3050207.trees
0,100001.0,50,406,-0.9304634632771848,-0.45520916770543624,1.0490399155781491,0.5805614944401436,-1.9176522027651686,-0.14212387180287764,0.17020884787035834,-1.1075975312611857,-0.6154469182237937,r3050208.trees
0,100001.0,50,412,-0.03899092047420566,0.7700726044017926,-0.27216901325193915,0.4318301355316392,1.5364871040166048,0.04915661731987925,0.13037729542684126,-0.2765562735077352,-0.024839325401933687,r3050209.trees
0,100001.0,50,402,-0.8213190283689549,0.1568776642737455,0.1713105561268264,0.8008878750392247,-0.48534500081405285,-0.08644643967439705,0.13387059369202226,-0.3278084029087881,-0.24500332543641257,r3050210.trees
0,100001.0,50,375,0.24191045930960428,-0.26085495978237927,1.2492392779129198,-0.34656198536735955,-0.37766311362588695,0.01049276451291746,0.16672234369938452,-0.98190750742859,-0.41253193861448456,r3050211.trees
0,100001.0,50,382,-0.8111664082747462,-1.050960062714004,1.6699566245803763,0.1686806026272626,-4.2040780431776605,-0.1697197646260982,0.2054556922106591,-1.735851634557317,-0.9722836918421554,r3050212.trees
0,100001.0,50,382,-0.1661400773988091,-0.23680758474357078,0.042474108783546786,0.02342792837682772,-0.40806000410979065,-0.036267476270903036,0.14868082368082366,-0.6377493639451566,-0.3368593122971013,r3050213.trees
0,100001.0,50,381,-0.9403347177687764,-1.0493148680684865,2.3045552172134336,0.2827457928975857,-4.659761439977274,-0.184943155236428,0.17984951556380127,-1.6075764731293634,-0.813284842785181,r3050214.trees
0,100001.0,50,462,-0.33114262226265523,-0.018981018643627893,1.1327947070868063,0.28052494370824566,-0.4036383985525521,-0.04051287897584206,0.1296651257187958,-0.024981168548425952,-0.3339259461110425,r3050215.trees
0,100001.0,50,461,-0.6751861177583613,0.26977326753873554,-0.2720357925071769,0.7314513631073692,-0.12833570024535657,-0.06108073215709631,0.1446780282793746,-0.5071920048992965,-0.3819570883730696,r3050216.trees
0,100001.0,50,485,-0.8064896542125689,0.17085391321595764,0.1895912239686463,0.7955476363595327,-0.12218238095808072,-0.08345910621175469,0.14850170837565796,-0.49739882351106257,-0.16891747286887732,r3050217.trees
0,100001.0,50,348,-1.1717752035636497,-0.2797905380523286,1.0479458553112766,0.8825308394190983,-2.6029176481729794,-0.1588844795992279,0.15048797296696456,-0.7445294880834687,-0.5189342713678721,r3050218.trees
0,100001.0,50,334,-0.5068604918674279,-1.0907914453921863,0.9636536635979595,-0.11778248819216804,-3.680419254887856,-0.13661814041774506,0.20555150631681243,-1.8827771577006498,-1.219412650520624,r3050219.trees
0,100001.0,50,461,-0.8741689712091074,-0.07294123452934241,0.08156894833258967,0.7287381025881485,-0.9300122492418035,-0.1085448338932738,0.17471928530448325,-1.1087281530106474,-0.6784458862733966,r3050220.trees
0,100001.0,50,326,-0.09722725710813017,0.05967793546175514,0.11532467471702182,0.11590624862886299,0.11473223187920453,-0.007398774269523551,0.1380108434351184,-0.3119350540286865,0.4555109991550708,r3050221.trees
0,100001.0,50,414,-0.7886720527581996,0.1654923717988776,0.6433301103616642,0.7767922544020972,-0.07909587085656118,-0.08193115295380776,0.16989795918367345,-0.8673633779966539,-0.6056645130794852,r3050222.trees
0,100001.0,50,391,-1.0481048473667292,-0.32156697481440527,0.5715777386894494,0.7526690638402772,-1.281392355159975,-0.14682279956820074,0.20230660570239026,-1.5819566134676488,-0.4943411282504771,r3050223.trees
0,100001.0,50,360,-0.6786017660349652,-0.8307518179813653,1.1913453425114524,0.16633239924534637,-2.3712885874509677,-0.1387100651321216,0.18624968505920886,-1.1040138391816274,-0.5944039592079932,r3050224.trees
