#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3050000.trees ../Simulation/Slim(primary)/trees/r3050001.trees ../Simulation/Slim(primary)/trees/r3050002.trees ../Simulation/Slim(primary)/trees/r3050003.trees ../Simulation/Slim(primary)/trees/r3050004.trees ../Simulation/Slim(primary)/trees/r3050005.trees ../Simulation/Slim(primary)/trees/r3050006.trees ../Simulation/Slim(primary)/trees/r3050007.trees ../Simulation/Slim(primary)/trees/r3050008.trees ../Simulation/Slim(primary)/trees/r3050009.trees ../Simulation/Slim(primary)/trees/r3050010.trees ../Simulation/Slim(primary)/trees/r3050011.trees ../Simulation/Slim(primary)/trees/r3050012.trees ../Simulation/Slim(primary)/trees/r3050013.trees ../Simulation/Slim(primary)/trees/r3050014.trees ../Simulation/Slim(primary)/trees/r3050015.trees ../Simulation/Slim(primary)/trees/r3050016.trees ../Simulation/Slim(primary)/trees/r3050017.trees ../Simulation/Slim(primary)/trees/r3050018.trees ../Simulation/Slim(primary)/trees/r3050019.trees ../Simulation/Slim(primary)/trees/r3050020.trees ../Simulation/Slim(primary)/trees/r3050021.trees ../Simulation/Slim(primary)/trees/r3050022.trees ../Simulation/Slim(primary)/trees/r3050023.trees ../Simulation/Slim(primary)/trees/r3050024.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/940828059.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,ZngE,bsfs,FulD,FayH,TajD,FerL,Colless,Omega,btree,path
0,100001.0,50,424,0.4627576861580218,-1.3395744431279215,1.4239585476435375,-0.09722408679935257,-0.2482927226367675,-0.6741923560541203,0.15224631519274376,-0.5873952594599279,-0.6285659330552461,r3050000.trees
0,100001.0,50,387,-0.08761240349599467,-0.7451534805918684,1.5295082712549493,-0.014504341592353349,-0.1886883398267381,-0.01113021614153554,0.1408034912078039,-0.3022685480041291,-0.43121940691779664,r3050001.trees
0,100001.0,50,376,0.49152736266070296,0.3123530285008215,-0.1799046613126488,-0.022151289431291004,0.3179423106048422,-0.37371533868915274,0.12746819507023588,-0.14893146528076207,-0.0910226782117516,r3050002.trees
0,100001.0,50,399,-0.3427973218137327,-1.027132897434729,0.828189284143801,-0.03487273612693824,-0.5816544914633653,0.04854164648810175,0.15398279730740463,0.04914316862633886,-0.5360384214235792,r3050003.trees
0,100001.0,50,364,-0.24064399216646656,0.24724717327611873,-0.19932583066580964,0.02176901396507336,-0.0776341335454316,0.22892769524372814,0.12886017716439094,0.0011613236640288596,-0.020650411520644976,r3050004.trees
0,100001.0,50,383,-0.298861314724248,-1.3048914305667196,1.0386498641939619,-0.04696626240991101,-0.6256900117941437,-0.027349847517755793,0.1747926981443465,-0.5581072966847095,-1.1303345501277915,r3050005.trees
0,100001.0,50,300,0.4422656712762915,-0.174378421837795,0.8038631421921291,-0.0343602078933328,0.18461955034947744,-0.3965421288208228,0.17710622710622712,-0.36521732994821743,-1.2042826256001538,r3050006.trees
0,100001.0,50,495,0.38325647167780175,-0.6454493483867232,0.41870775566173674,-0.08601415150873364,-0.24616579200962269,-0.5822881563880787,0.1549486846761826,-0.5953289727225601,-0.800414755888613,r3050007.trees
0,100001.0,50,411,0.24823897651524496,-0.3165436803869589,-0.1567214582532288,-0.049177757969124755,-0.11171778336952536,-0.34900764522822764,0.19479291716686675,-0.4957612097004906,-1.3328009786028552,r3050008.trees
0,100001.0,50,346,0.8171939183024726,-4.695404979833888,1.329473440411116,-0.28816296521051293,-1.2673542796676298,-1.678031900732609,0.22574874105486353,-1.1476562115774638,-2.0525418158553985,r3050009.trees
0,100001.0,50,328,0.38072819349293374,-0.6599529496185833,0.2749068180998105,-0.07170268609060701,-0.1427337711154927,-0.5184840163862232,0.1466357669828495,-0.7504779795480649,-0.6536744361940857,r3050010.trees
0,100001.0,50,417,0.03932941123669721,0.07976333421381751,0.15332598307495385,-0.013783597051782346,-0.060617233629179514,-0.08057954385636965,0.12995877698905647,-0.053605680852422025,-0.22046295689343143,r3050011.trees
0,100001.0,50,460,0.4997828100637012,-0.10946621727912018,0.539920858375314,-0.06587496623862542,0.011378227758976366,-0.5633193234575241,0.17345238095238094,-0.46305510520925497,-1.0604431443015887,r3050012.trees
