#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3040225.trees ../Simulation/Slim(primary)/trees/r3040226.trees ../Simulation/Slim(primary)/trees/r3040227.trees ../Simulation/Slim(primary)/trees/r3040228.trees ../Simulation/Slim(primary)/trees/r3040229.trees ../Simulation/Slim(primary)/trees/r3040230.trees ../Simulation/Slim(primary)/trees/r3040231.trees ../Simulation/Slim(primary)/trees/r3040232.trees ../Simulation/Slim(primary)/trees/r3040233.trees ../Simulation/Slim(primary)/trees/r3040234.trees ../Simulation/Slim(primary)/trees/r3040235.trees ../Simulation/Slim(primary)/trees/r3040236.trees ../Simulation/Slim(primary)/trees/r3040237.trees ../Simulation/Slim(primary)/trees/r3040238.trees ../Simulation/Slim(primary)/trees/r3040239.trees ../Simulation/Slim(primary)/trees/r3040240.trees ../Simulation/Slim(primary)/trees/r3040241.trees ../Simulation/Slim(primary)/trees/r3040242.trees ../Simulation/Slim(primary)/trees/r3040243.trees ../Simulation/Slim(primary)/trees/r3040244.trees ../Simulation/Slim(primary)/trees/r3040245.trees ../Simulation/Slim(primary)/trees/r3040246.trees ../Simulation/Slim(primary)/trees/r3040247.trees ../Simulation/Slim(primary)/trees/r3040248.trees ../Simulation/Slim(primary)/trees/r3040249.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/914191467.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,FayH,FerL,FulD,ZngE,bsfs,TajD,btree,Colless,Omega,path
0,100001.0,50,390,-0.07417141525509988,-0.5928927803130987,-0.3675267969530481,0.4914129095826402,-0.27208035085137083,-0.054706204816053206,-1.1326356681502452,0.18189589665653494,-0.16242367090881496,r3040225.trees
0,100001.0,50,378,0.002358864348254369,0.15327692627009437,0.07773280552684567,-0.25124799160928535,-0.12336238055829704,-0.2266359766928984,-0.46216672356407157,0.15680865369403574,-0.08760262947091103,r3040226.trees
0,100001.0,50,421,-0.009730003708647643,0.0841826314793525,0.507598096937997,-0.21956377909018754,-0.4560650041281413,-0.2822228446282697,-0.11464221490773192,0.12727068849517828,-0.2663485217541617,r3040227.trees
0,100001.0,50,397,-0.08398910926395527,-0.4169359394614464,0.4759644780588246,0.11027629350698753,-1.1502196757293575,-0.4943415789500385,-1.1966511442011931,0.17503557545467166,-0.9059631999371631,r3040228.trees
0,100001.0,50,451,0.016464552612246476,0.08920666790526507,-0.6649751634957886,-0.03448711698918915,0.09116141134806162,0.08459311487367005,0.07772376673230649,0.11716996443247349,0.19285450312964011,r3040229.trees
0,100001.0,50,401,-0.07077840293218109,-0.47982068124933214,0.10609167635732328,0.31804891150320136,-0.6075897908735123,-0.19859409929478433,-0.48189973879514514,0.14744158532978408,-0.3854995115017019,r3040230.trees
0,100001.0,50,464,0.022981713021442786,0.20792826540907186,0.31526140551283793,-0.19433783747456487,0.17867706096739175,-0.02326790697037659,-0.19004576106412643,0.13919989292013102,0.03204414535432745,r3040231.trees
0,100001.0,50,380,-0.06269599287642931,-0.21330116037596675,0.8780067441076503,-0.08900333664697327,-1.026236759298737,-0.5348598032310746,-1.1322178332497022,0.19220936782356254,-0.9090040775875031,r3040232.trees
0,100001.0,50,412,-0.09399348521044779,-0.7045539471200577,0.8061941008215041,0.5401692410282933,-0.9311706176494348,-0.14992518377629413,-1.153844809105191,0.18065101688343732,-0.7601134200067534,r3040233.trees
0,100001.0,50,375,-0.006484798668927525,0.02960954939253565,0.10466710393968488,-0.09976234851984353,-0.1305276997439246,-0.14309531739329645,-1.1211176488357109,0.17224572755931641,-0.1544012109124759,r3040234.trees
0,100001.0,50,331,-0.06160141704655117,-0.3553572147348342,0.42134329608355947,0.1691735962078568,-0.7449216492988116,-0.2760129815891665,-0.8568794622283616,0.16290249433106577,-0.5363614772164758,r3040235.trees
0,100001.0,50,414,0.027930333304842472,0.2897607342036655,-0.5371741114436682,-0.30145356450914623,-0.10990519832493864,-0.09189697170123856,0.06752468098089172,0.12058323329331733,0.22572882845622724,r3040236.trees
0,100001.0,50,339,0.007832084927842316,0.32923883144549143,0.2466443030588594,-0.5192400050377919,-0.4368353318439318,-0.44794756593281015,0.180848790800353,0.12392638619693688,-0.017690306677237873,r3040237.trees
0,100001.0,50,380,0.009803470391650344,0.324178118230757,0.5274372645674564,-0.49584347371153736,-0.4980142753311156,-0.41040366328365313,0.10320397137150883,0.11557460062676757,0.2430713550040202,r3040238.trees
0,100001.0,50,516,-0.07271507225406344,-0.5334461114967626,-0.450785899852146,0.3959717727098866,-0.3877955938861918,-0.1388139441434535,-0.09140854930441566,0.12420255183413077,-0.031453573914953174,r3040239.trees
0,100001.0,50,441,0.029013343533942734,-0.055782165603074314,-0.773274038762144,0.31259490511564975,0.6000620013249847,0.5102868764393264,0.3430422589955732,0.11999450435195913,0.4717119689292922,r3040240.trees
