#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3040175.trees ../Simulation/Slim(primary)/trees/r3040176.trees ../Simulation/Slim(primary)/trees/r3040177.trees ../Simulation/Slim(primary)/trees/r3040178.trees ../Simulation/Slim(primary)/trees/r3040179.trees ../Simulation/Slim(primary)/trees/r3040180.trees ../Simulation/Slim(primary)/trees/r3040181.trees ../Simulation/Slim(primary)/trees/r3040182.trees ../Simulation/Slim(primary)/trees/r3040183.trees ../Simulation/Slim(primary)/trees/r3040184.trees ../Simulation/Slim(primary)/trees/r3040185.trees ../Simulation/Slim(primary)/trees/r3040186.trees ../Simulation/Slim(primary)/trees/r3040187.trees ../Simulation/Slim(primary)/trees/r3040188.trees ../Simulation/Slim(primary)/trees/r3040189.trees ../Simulation/Slim(primary)/trees/r3040190.trees ../Simulation/Slim(primary)/trees/r3040191.trees ../Simulation/Slim(primary)/trees/r3040192.trees ../Simulation/Slim(primary)/trees/r3040193.trees ../Simulation/Slim(primary)/trees/r3040194.trees ../Simulation/Slim(primary)/trees/r3040195.trees ../Simulation/Slim(primary)/trees/r3040196.trees ../Simulation/Slim(primary)/trees/r3040197.trees ../Simulation/Slim(primary)/trees/r3040198.trees ../Simulation/Slim(primary)/trees/r3040199.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/740171833.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,bsfs,FulD,TajD,FerL,ZngE,FayH,Omega,Colless,btree,path
0,100001.0,50,482,0.5818154765697146,-0.373031712144653,0.5325801734264148,-0.18163847294894703,0.4347183891755747,0.015670770980931985,0.04145207713139704,0.12963301912693329,-0.016067051388036057,r3040175.trees
0,100001.0,50,450,-0.8109466047278017,0.22990900454019522,-0.5147301057932046,-0.031793039504883824,-0.23816714950572335,-0.03968837620370193,-0.17219826747080338,0.13038183015141538,-0.11968822715884508,r3040176.trees
0,100001.0,50,482,-0.5151061662769687,-0.003998759938224753,-0.06557956482001855,-0.878727715337244,0.7365932831955112,-0.10850450233511645,-0.18944300621935858,0.15068251970391683,-0.457233868712224,r3040177.trees
0,100001.0,50,542,-0.4058868007329304,0.04198473266428231,-0.21470461309769165,-0.19411586948776938,0.05908674415676454,-0.037891510327537986,-0.020367426838056087,0.11543784180338802,0.26564554699129755,r3040178.trees
0,100001.0,50,459,-0.12504481442144036,0.3222701372170082,-0.06322805525708329,0.25166373570419404,-0.2533360195325776,0.02537310821156848,0.38956485553742093,0.12060965690624074,0.2895345708961678,r3040179.trees
0,100001.0,50,425,-0.16004469504162636,0.6112738978303472,0.011469217281429906,0.12628752013846634,-0.10478235320404836,0.015764578426377133,0.7154271325982913,0.10575499629903774,0.7275213252576613,r3040180.trees
0,100001.0,50,451,0.03637046218684294,1.437721023142452,-0.1848148340393547,0.622131256251724,-0.6409680988744075,0.06075187807902129,0.18117954152020305,0.12386621315192745,-0.08836888476352076,r3040181.trees
0,100001.0,50,452,-0.34210903268796244,-0.015151517524033131,-0.14978662352327649,-0.25266477255608666,0.1440992780402743,-0.04036423754127191,-0.013348075641676543,0.1286761655881865,0.04715052249313907,r3040182.trees
0,100001.0,50,499,-0.48219798597606184,0.5672170865604207,-0.1699164183265487,-0.03191111925219525,-0.05992518101670309,-0.015623560819413204,-0.018212628006103,0.13338382227891157,-0.2788393696648182,r3040183.trees
0,100001.0,50,463,-1.2394913147247422,-0.9892667529360752,-0.5193662564082132,-1.3027408098635673,0.8737045561637489,-0.1904065301276616,-0.8162810594613221,0.17199909520458428,-1.077660613812797,r3040184.trees
0,100001.0,50,486,-0.10866405363810833,-0.45809628692973614,0.0823310135350767,-0.41192342068697047,0.40378462979533075,-0.04297058647633251,0.4132430950706365,0.11090446030629,0.5153442191534612,r3040185.trees
0,100001.0,50,459,0.995227807558562,-0.6785703536015888,0.28835093480269497,0.3734936388410952,-0.17840121443476048,0.06432660429166566,0.49693611897486495,0.11655328798185942,0.428044477524866,r3040186.trees
0,100001.0,50,441,-0.36216716141589284,-0.06777215761012716,-0.33244849016593325,0.12883843515395874,-0.2847447643821173,-0.007948231878657307,-0.07466095357231949,0.1354032604032604,-0.18990126681311434,r3040187.trees
