#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3030225.trees ../Simulation/Slim(primary)/trees/r3030226.trees ../Simulation/Slim(primary)/trees/r3030227.trees ../Simulation/Slim(primary)/trees/r3030228.trees ../Simulation/Slim(primary)/trees/r3030229.trees ../Simulation/Slim(primary)/trees/r3030230.trees ../Simulation/Slim(primary)/trees/r3030231.trees ../Simulation/Slim(primary)/trees/r3030232.trees ../Simulation/Slim(primary)/trees/r3030233.trees ../Simulation/Slim(primary)/trees/r3030234.trees ../Simulation/Slim(primary)/trees/r3030235.trees ../Simulation/Slim(primary)/trees/r3030236.trees ../Simulation/Slim(primary)/trees/r3030237.trees ../Simulation/Slim(primary)/trees/r3030238.trees ../Simulation/Slim(primary)/trees/r3030239.trees ../Simulation/Slim(primary)/trees/r3030240.trees ../Simulation/Slim(primary)/trees/r3030241.trees ../Simulation/Slim(primary)/trees/r3030242.trees ../Simulation/Slim(primary)/trees/r3030243.trees ../Simulation/Slim(primary)/trees/r3030244.trees ../Simulation/Slim(primary)/trees/r3030245.trees ../Simulation/Slim(primary)/trees/r3030246.trees ../Simulation/Slim(primary)/trees/r3030247.trees ../Simulation/Slim(primary)/trees/r3030248.trees ../Simulation/Slim(primary)/trees/r3030249.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/727233492.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,ZngE,FulD,TajD,FerL,bsfs,FayH,Colless,Omega,btree,path
0,100001.0,50,240,-0.31842040739985106,2.620646377125639,-1.3139997086001924,-0.40555962108274757,-4.424250634302987,-0.14087321784220544,0.2091008969959665,-1.1088432023977652,-2.0814375455955143,r3030225.trees
0,100001.0,50,451,1.059258013770667,1.109174743980227,-0.7027915107299715,-1.622508213720932,-3.193456134578597,-0.24112820230895743,0.18988884213479207,-1.0987707601209722,-1.7855557054040665,r3030226.trees
0,100001.0,50,401,0.8875712220062872,1.398474208122673,-0.960429110556299,-1.578268764949509,-3.63438369306024,-0.25426829639760573,0.20603054886550892,-1.3634940039518666,-2.2309238737274626,r3030227.trees
0,100001.0,50,349,1.0468877325941537,0.31496642840273725,-1.2293014059288618,-1.9178362208671138,-4.324371196687175,-0.3139729736545203,0.17822448979591837,-0.999339710985077,-1.3132757341365395,r3030228.trees
0,100001.0,50,321,0.20424092803787203,1.5499380036368486,-1.0844078622874875,-0.8704187727151065,-4.012665460554547,-0.17954080312630694,0.22811686402956247,-0.9022166904945894,-2.179787476887827,r3030229.trees
0,100001.0,50,329,0.8170970009948484,1.6124010453870115,-1.0029585725195034,-1.5222364472977559,-4.392224242903596,-0.2513557505762589,0.1732246855576763,-0.8241459529801198,-1.2995778998815382,r3030230.trees
0,100001.0,50,296,0.6089701965715746,0.2600689961253522,-0.2717225852656844,-0.8548524542499801,-0.8061409074612133,-0.12100390512653637,0.1886094281462585,-0.0827576404654744,-1.7017321775381262,r3030231.trees
0,100001.0,50,318,0.031958378431951276,1.2700375109564095,-0.8313580125693132,-0.5249952938441228,-2.615660394034999,-0.12071499173969384,0.14621722475397927,-0.5644590339868917,-0.7070632065138188,r3030232.trees
0,100001.0,50,351,0.010041451139670773,2.6125422424820908,-0.7544812179460034,-0.4552602387592169,-4.101119188902537,-0.10687693309437,0.20765197104482822,-1.2736754624325375,-1.8905490384472905,r3030233.trees
0,100001.0,50,303,0.9943087842260713,1.9338861809471726,-0.9400451253879359,-1.687291368862672,-4.644113278976107,-0.26699315767361126,0.1675533461247747,-1.1045755014875667,-1.5311184384072316,r3030234.trees
