#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3050100.trees ../Simulation/Slim(primary)/trees/r3050101.trees ../Simulation/Slim(primary)/trees/r3050102.trees ../Simulation/Slim(primary)/trees/r3050103.trees ../Simulation/Slim(primary)/trees/r3050104.trees ../Simulation/Slim(primary)/trees/r3050105.trees ../Simulation/Slim(primary)/trees/r3050106.trees ../Simulation/Slim(primary)/trees/r3050107.trees ../Simulation/Slim(primary)/trees/r3050108.trees ../Simulation/Slim(primary)/trees/r3050109.trees ../Simulation/Slim(primary)/trees/r3050110.trees ../Simulation/Slim(primary)/trees/r3050111.trees ../Simulation/Slim(primary)/trees/r3050112.trees ../Simulation/Slim(primary)/trees/r3050113.trees ../Simulation/Slim(primary)/trees/r3050114.trees ../Simulation/Slim(primary)/trees/r3050115.trees ../Simulation/Slim(primary)/trees/r3050116.trees ../Simulation/Slim(primary)/trees/r3050117.trees ../Simulation/Slim(primary)/trees/r3050118.trees ../Simulation/Slim(primary)/trees/r3050119.trees ../Simulation/Slim(primary)/trees/r3050120.trees ../Simulation/Slim(primary)/trees/r3050121.trees ../Simulation/Slim(primary)/trees/r3050122.trees ../Simulation/Slim(primary)/trees/r3050123.trees ../Simulation/Slim(primary)/trees/r3050124.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/101857167.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,FerL,FayH,ZngE,bsfs,FulD,TajD,btree,Omega,Colless,path
0,100001.0,50,429,-0.1767224240240476,0.00780084046317631,0.367567389048543,1.0535294654584897,-0.04662071382549769,0.4116207081841535,-0.9781667611758158,-0.16171183800975364,0.15154033041788142,r3050100.trees
0,100001.0,50,510,-0.66939047638357,-0.08302513437235888,0.5579728386316373,-0.6739520656854009,0.6293287987258795,-0.05612485724709033,-0.544445125082797,-0.3214811393288662,0.14268880140888843,r3050101.trees
0,100001.0,50,448,-0.372429992116547,-0.058799903945093525,0.217620734525422,-0.5654052505171555,0.31177819719643424,-0.21070029765527634,-1.0295031230535743,-0.3024510275637829,0.15854227405247814,r3050102.trees
0,100001.0,50,478,-0.8185654102598147,-0.08917520951182221,0.7744533888353996,-0.41285198291462,-0.2555423378337285,0.10965177132242815,-0.5754605045024715,-0.43681948004066173,0.14693705765134338,r3050103.trees
0,100001.0,50,401,-1.3470361585203983,-0.18141808395551076,1.0206153683123358,-1.365616354193394,0.06916646116402782,-0.3100931776621319,-1.1150552097489348,-0.46628813326681445,0.17484734857798542,r3050104.trees
0,100001.0,50,367,-0.8316856078867284,-0.11933858398655536,0.5772075691476637,-0.7869072271241039,-0.46652840373920645,-0.29401442192659416,-1.0100636178131703,-0.7496522356709207,0.1696459605740106,r3050105.trees
0,100001.0,50,374,0.13340249862476064,-0.0024292792383081136,-0.25174940668510376,-0.42917826787331964,0.5094687554796428,-0.2614097433727518,-0.7148594259285944,-0.6248317199025235,0.15776310524209686,r3050106.trees
0,100001.0,50,362,0.5853504797050632,0.04316307415939539,-0.7075267520194826,-0.46087949261302624,1.8206461227012438,-0.3773835222531667,-0.18748109469761476,-0.08491614653030989,0.1335143031571603,r3050107.trees
0,100001.0,50,441,-0.5198149968202526,-0.07591403742293698,0.34944148022108723,-1.0037098669644968,0.8728970172592266,-0.2056638372382066,-0.6940126461345544,-0.46099224013631346,0.15304583371810263,r3050108.trees
0,100001.0,50,443,-0.6288556701271995,-0.11164131068096873,0.2760880714900432,-2.4377233499728956,1.0213346112331347,-0.5325937083330188,-0.9766697330870583,-0.32050860654485325,0.16036702639170852,r3050109.trees
