#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3060025.trees ../Simulation/Slim(primary)/trees/r3060026.trees ../Simulation/Slim(primary)/trees/r3060027.trees ../Simulation/Slim(primary)/trees/r3060028.trees ../Simulation/Slim(primary)/trees/r3060029.trees ../Simulation/Slim(primary)/trees/r3060030.trees ../Simulation/Slim(primary)/trees/r3060031.trees ../Simulation/Slim(primary)/trees/r3060032.trees ../Simulation/Slim(primary)/trees/r3060033.trees ../Simulation/Slim(primary)/trees/r3060034.trees ../Simulation/Slim(primary)/trees/r3060035.trees ../Simulation/Slim(primary)/trees/r3060036.trees ../Simulation/Slim(primary)/trees/r3060037.trees ../Simulation/Slim(primary)/trees/r3060038.trees ../Simulation/Slim(primary)/trees/r3060039.trees ../Simulation/Slim(primary)/trees/r3060040.trees ../Simulation/Slim(primary)/trees/r3060041.trees ../Simulation/Slim(primary)/trees/r3060042.trees ../Simulation/Slim(primary)/trees/r3060043.trees ../Simulation/Slim(primary)/trees/r3060044.trees ../Simulation/Slim(primary)/trees/r3060045.trees ../Simulation/Slim(primary)/trees/r3060046.trees ../Simulation/Slim(primary)/trees/r3060047.trees ../Simulation/Slim(primary)/trees/r3060048.trees ../Simulation/Slim(primary)/trees/r3060049.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/597614046.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,FulD,TajD,FayH,ZngE,FerL,bsfs,btree,Colless,Omega,path
0,100001.0,50,464,-0.5470966513557952,0.3119762319628627,-0.034661779329047515,0.5794094657357187,-0.47687303799121195,0.2751722578778204,-0.2727631036107016,0.13377396413110698,-0.216257166671239,r3060025.trees
0,100001.0,50,394,0.12885082661026645,-0.7893166097148014,-0.24936229534516954,1.0275302856668662,-1.6371419580705426,-2.3342448409231285,-1.8079254143251415,0.20061832680091904,-1.2819216821307418,r3060026.trees
0,100001.0,50,330,-0.19475101183784677,-0.11522944901786247,-0.12425233962423993,0.7959378416390951,-0.976249432438467,-0.5605966967010849,-0.7006067566403176,0.14479993386243387,-0.5189250111187127,r3060027.trees
0,100001.0,50,249,0.9274663314528335,-0.18483399493789662,-0.08925659283797688,0.4626956406665012,-0.6368792943043169,-0.5792534467314224,-1.1691367598901266,0.16860827664399095,-0.642317916650915,r3060028.trees
0,100001.0,50,414,0.1425101374745537,-0.47082641591016877,-0.28011089817610557,1.5850996095579384,-2.0856609786595977,-2.265023638034773,-1.9214864325504988,0.20155822069087376,-1.2210585480867258,r3060029.trees
0,100001.0,50,472,0.6309226205800542,-0.6086515519703055,-0.1881743431530507,0.7651604623850015,-1.2316097646929622,-2.059682559413458,-1.6504765979621114,0.18448331713637836,-1.1540112203435116,r3060030.trees
0,100001.0,50,430,0.6003736504366385,-0.6480536706331234,-0.23567144663950526,1.0743379216917195,-1.6074123391077089,-3.470407763882317,-1.2378960991068166,0.17044158703944004,-0.9307181367044638,r3060031.trees
0,100001.0,50,388,0.6777174550398738,-0.7588149447996482,-0.18441396844431607,0.5789101095007342,-1.10729759812194,-3.61436508060448,-1.0755705667492823,0.17008692365835223,-0.4405808297107289,r3060032.trees
0,100001.0,50,404,2.976436195207128,-0.8396381579878529,-0.17989376652740255,0.46272918315887046,-1.0224558368392684,-4.899733199237157,-2.3479982857188944,0.23883553421368547,-1.0095269474801971,r3060033.trees
0,100001.0,50,306,2.4141147558501164,-1.5973141986336044,-0.28955547015211147,0.48414540584911137,-1.4909288211645775,-4.9362809168259325,-2.179384850973267,0.211749612125552,-0.6810576446052041,r3060034.trees
0,100001.0,50,381,0.4008753288998743,-0.4369023958763189,-0.18512044820027446,0.9159774868414587,-1.30234648931049,-2.6642972689335593,-0.9062710022661941,0.15573656363130048,-0.5332426661499009,r3060035.trees
