#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3030175.trees ../Simulation/Slim(primary)/trees/r3030176.trees ../Simulation/Slim(primary)/trees/r3030177.trees ../Simulation/Slim(primary)/trees/r3030178.trees ../Simulation/Slim(primary)/trees/r3030179.trees ../Simulation/Slim(primary)/trees/r3030180.trees ../Simulation/Slim(primary)/trees/r3030181.trees ../Simulation/Slim(primary)/trees/r3030182.trees ../Simulation/Slim(primary)/trees/r3030183.trees ../Simulation/Slim(primary)/trees/r3030184.trees ../Simulation/Slim(primary)/trees/r3030185.trees ../Simulation/Slim(primary)/trees/r3030186.trees ../Simulation/Slim(primary)/trees/r3030187.trees ../Simulation/Slim(primary)/trees/r3030188.trees ../Simulation/Slim(primary)/trees/r3030189.trees ../Simulation/Slim(primary)/trees/r3030190.trees ../Simulation/Slim(primary)/trees/r3030191.trees ../Simulation/Slim(primary)/trees/r3030192.trees ../Simulation/Slim(primary)/trees/r3030193.trees ../Simulation/Slim(primary)/trees/r3030194.trees ../Simulation/Slim(primary)/trees/r3030195.trees ../Simulation/Slim(primary)/trees/r3030196.trees ../Simulation/Slim(primary)/trees/r3030197.trees ../Simulation/Slim(primary)/trees/r3030198.trees ../Simulation/Slim(primary)/trees/r3030199.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/484614069.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,ZngE,bsfs,FerL,TajD,FulD,FayH,btree,Omega,Colless,path
0,100001.0,50,410,1.3670253166814996,-3.9851624199253814,-1.9881019258395012,-0.7275191334372451,0.9345174540534299,-0.286512318914187,-2.23779873974537,-1.2148506231614526,0.21404978176241596,r3030175.trees
0,100001.0,50,384,1.2737397028696187,-2.750514173056187,-1.8604508297449425,-0.6915172282589342,-0.43747079660809296,-0.2691275752247304,-1.8172357235358827,-1.0399049604512733,0.21680839002267574,r3030176.trees
0,100001.0,50,331,1.5168060282818683,0.019344763107972705,-1.453509905686754,0.47258195156573585,-0.6061649731052834,-0.139919719633568,-0.07026458604972786,-0.3881579960447013,0.12199397302780761,r3030177.trees
0,100001.0,50,326,0.11781267585674043,-3.868697958393425,-0.7558571496151588,-1.0571813701765527,1.8841356979507997,-0.163954350829694,-1.9827956281149068,-0.8247900868744594,0.21823661437364064,r3030178.trees
0,100001.0,50,339,0.6633001754533733,-3.6880604108693817,-1.1553023751639278,-0.6772700826962501,1.380969844123553,-0.18480133215237088,-1.4430640312164498,-0.770048037597249,0.17245114606352097,r3030179.trees
0,100001.0,50,365,0.08349911106150877,-4.233633345352274,-0.6484013017995779,-0.9399626459570162,2.5085057159184028,-0.14272981756100456,-1.4762239922343319,-0.9201553671714573,0.18967342181627897,r3030180.trees
0,100001.0,50,320,0.020326556414189234,-4.821063204266637,-0.9478448757647805,-1.5734585215583596,2.1193845081375207,-0.2229958742622384,-2.298111724390225,-1.2239407616021851,0.23725646721273544,r3030181.trees
0,100001.0,50,321,0.44036956581774295,-4.0209794207654275,-1.0301581000885045,-0.8975561575116355,2.6092029497253053,-0.1854869082708769,-1.7583963548488901,-1.2529380789965003,0.19511375978963014,r3030182.trees
0,100001.0,50,477,1.4522121630657068,-0.26317357274631864,-1.4554328821032407,0.3404137003292422,-0.4666824408899962,-0.14841341859949386,-0.702312477511635,-0.6735006352893551,0.1454936723292669,r3030183.trees
0,100001.0,50,345,0.6534896395125094,-2.153296560093516,-1.1540345358804238,-0.6940897395192679,0.7425816348257769,-0.1857734312513513,-1.1331063850902674,-0.997498152550649,0.16525618183781451,r3030184.trees
