#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3020175.trees ../Simulation/Slim(primary)/trees/r3020176.trees ../Simulation/Slim(primary)/trees/r3020177.trees ../Simulation/Slim(primary)/trees/r3020178.trees ../Simulation/Slim(primary)/trees/r3020179.trees ../Simulation/Slim(primary)/trees/r3020180.trees ../Simulation/Slim(primary)/trees/r3020181.trees ../Simulation/Slim(primary)/trees/r3020182.trees ../Simulation/Slim(primary)/trees/r3020183.trees ../Simulation/Slim(primary)/trees/r3020184.trees ../Simulation/Slim(primary)/trees/r3020185.trees ../Simulation/Slim(primary)/trees/r3020186.trees ../Simulation/Slim(primary)/trees/r3020187.trees ../Simulation/Slim(primary)/trees/r3020188.trees ../Simulation/Slim(primary)/trees/r3020189.trees ../Simulation/Slim(primary)/trees/r3020190.trees ../Simulation/Slim(primary)/trees/r3020191.trees ../Simulation/Slim(primary)/trees/r3020192.trees ../Simulation/Slim(primary)/trees/r3020193.trees ../Simulation/Slim(primary)/trees/r3020194.trees ../Simulation/Slim(primary)/trees/r3020195.trees ../Simulation/Slim(primary)/trees/r3020196.trees ../Simulation/Slim(primary)/trees/r3020197.trees ../Simulation/Slim(primary)/trees/r3020198.trees ../Simulation/Slim(primary)/trees/r3020199.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/271702210.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,FerL,FayH,ZngE,TajD,FulD,bsfs,Omega,Colless,btree,path
0,100001.0,50,485,-0.807740598405916,-0.13675235429742216,0.4025989330388776,-0.590988675110751,0.43409940689321563,-2.169307735800915,-0.5921920381504747,0.17615531789638933,-1.2680172482391114,r3020175.trees
0,100001.0,50,350,-0.8859048846298218,-0.13002635837284882,0.5941436164989427,-0.35333593385198536,0.43147886680440034,-1.7887279941629846,-0.6847620196788096,0.15028643036161832,-0.8182765141957082,r3020176.trees
0,100001.0,50,324,-1.029777890580689,-0.19368247325072566,0.37915520759521404,-1.015731770688892,-0.04621219400841309,-2.8972786038241223,-0.36456842960744607,0.19688748515279128,-1.5789369339937902,r3020177.trees
0,100001.0,50,437,-0.6729534735386051,-0.0803265590085615,0.5853565530279352,-0.008914517313073836,0.43636532064784345,-0.9106291982940484,-0.30186884089656835,0.1525592164576674,-1.1871764355298609,r3020178.trees
0,100001.0,50,327,-0.2570030964736534,-0.051023291976180954,0.07479758695949167,-0.291983805771057,1.461420062996629,-0.6494634421124499,-0.8280612601778147,0.18614664175529366,-1.4537295036115185,r3020179.trees
0,100001.0,50,373,-0.6822824204639433,-0.09143759515772104,0.5210288477490859,-0.14908708368159693,0.6386788144808296,-0.9391090090717193,-0.20661056454223264,0.13225502967144304,-0.36687243997882557,r3020180.trees
0,100001.0,50,391,-1.8045496982101545,-0.29577046139630137,0.97838385258963,-1.1688737311571924,1.4803005576613946,-4.697593013059235,-1.5900581488901262,0.2326357294510161,-2.15477635571449,r3020181.trees
0,100001.0,50,374,-1.948816263599684,-0.27848209617735065,1.360406695522389,-0.6736454439910903,-0.08412351776398772,-2.2158372562254622,-0.47653741119993215,0.19990723562152135,-1.7120710839998061,r3020182.trees
0,100001.0,50,443,-0.5308812547900351,-0.08005305508476945,0.3381667586232792,-0.24625394665180178,0.4527776378338843,-0.9102150641074421,0.06664494603580286,0.18007455507455508,-1.2196082199113325,r3020183.trees
0,100001.0,50,369,-0.6607538376571865,-0.10302961127328808,0.39787816961906075,-0.35128160306974,1.2426847580247666,-1.8973230137302306,-0.010163872019745975,0.16428373675051414,-1.1892283348229762,r3020184.trees
0,100001.0,50,382,-0.37228481678320274,-0.047849727347178725,0.2992448042006871,-0.05239119859982906,0.31372119474968546,-0.48784441820752,-0.5796445771536243,0.166506457655526,-0.8346328966824519,r3020185.trees
0,100001.0,50,300,-0.10369054678209579,-0.04869666959382858,-0.17601822227609865,-0.5188141519540567,-0.4274272746486199,-0.8639163836325505,-0.41130813653080694,0.17702587791873506,-1.1180313787830387,r3020186.trees
0,100001.0,50,422,-1.033634618537892,-0.15394231640234168,0.6734219017865896,-0.45046981075595915,0.7442929189426378,-1.693529627898964,-0.5028607336225124,0.15281621123025482,-0.4669124211983318,r3020187.trees
0,100001.0,50,443,-0.3427214545071631,-0.0267250058205296,0.4030672042625716,0.19854462288580188,-0.08233480771835185,-0.0671814136891801,0.19780526095759146,0.13687258687258688,-0.24201002610030958,r3020188.trees
0,100001.0,50,462,-0.7018251214724205,-0.11088966260535375,0.409130101376919,-0.3988737624461365,1.229024775564488,-1.8464739433463961,-1.1360248470936398,0.18398268398268397,-1.7070768234851896,r3020189.trees
0,100001.0,50,433,-0.2896529571377118,-0.04373615877704235,0.18417505563186223,-0.1350073735853288,0.3339395694223209,-0.5338407630753033,-0.2606810987008246,0.14967403628117915,-1.00752684966053,r3020190.trees
0,100001.0,50,382,-1.0076277452670999,-0.13855378367657764,0.7431630895503312,-0.27122354154020717,-0.5775192305676262,-0.8591491070449718,-0.5718900630118066,0.2069877951180472,-1.7110454770262309,r3020191.trees
0,100001.0,50,425,0.4304520457034352,0.02497382560186661,-0.5699260161496434,-0.37281888727099555,0.3673062886990044,-0.4112359263757716,-0.16319165999463375,0.16147729362015076,-0.7362610912445308,r3020192.trees
0,100001.0,50,321,-0.39718825362647253,-0.10090487809935703,-0.04640381452354831,-0.7660080458394612,1.04333302942063,-2.3524960821953544,-0.9514595762699153,0.2691866429111327,-2.778974981532848,r3020193.trees
0,100001.0,50,474,-0.4259844593170081,-0.038032977010450865,0.46512956937983163,0.17717076291636927,-0.19861866205783046,0.05069794784350065,-0.25137337165978596,0.15390713577097506,-0.5732829881154083,r3020194.trees
0,100001.0,50,406,-0.4961265207404724,-0.03496117483246486,0.6113062697179943,0.3417254541062191,0.10073356779733701,0.25505587022292786,-0.13544727034615114,0.14859316507668155,-0.45867880814035455,r3020195.trees
0,100001.0,50,403,-1.173567548291428,-0.15536785926631022,0.9089619330829604,-0.23185455015413856,0.3464371736996303,-1.2793505444207376,-0.4962488439437579,0.19942302074203913,-1.5288964509874896,r3020196.trees
0,100001.0,50,391,-0.8110321955589563,-0.1156149648323548,0.5676307917913375,-0.2774908272003238,0.3443970339464632,-0.7378759936191435,-0.8590243646069456,0.17923044217687073,-1.2777517268104732,r3020197.trees
0,100001.0,50,467,-0.5616790015754377,-0.05275374563075863,0.594045509408523,0.1964409374453172,-0.21567534992776274,0.06818755318867654,0.18523113689024126,0.14419164795104644,-0.38169194816445384,r3020198.trees
0,100001.0,50,469,-0.28145020475541466,-0.0464232597223825,0.1495291357699369,-0.18807534228094708,0.46640397603024647,-0.4249736266960241,-0.4546434083955719,0.16584934944851726,-1.2936427003539939,r3020199.trees
