start,end,N,SS,TajD,FayH,bsfs,FulD,FerL,ZngE,btree,Colless,Omega,path
0,100001.0,50,298,-0.3674761159239598,0.0506339687678093,0.0317980905040112,-0.1107562410207424,0.6403052785126111,-0.7497831095519147,0.541085133007706,0.1065067248273355,0.0662368286346094,3000000
0,100001.0,50,407,0.2180675925996281,-0.0136662885286412,0.1159022290178977,-0.1259048058418314,-0.2437076920322316,0.32621139743889,0.2514287648471694,0.1177293668790267,-0.1053842263925191,3000001
0,100001.0,50,370,0.2684902484515101,-0.0237889622651681,0.0767772217371163,-0.9294161932728768,-0.3583199006486536,0.4524865609885604,0.2005545113870324,0.1221257508851493,0.2664357616640316,3000002
0,100001.0,50,420,0.4632937933461718,-0.0535822790740321,0.1920931482631223,-0.7528994497942544,-0.7250962920939211,0.8749075812554278,0.1325640540522309,0.1229562000238692,-0.0343546317443939,3000003
0,100001.0,50,425,-0.1105857148670785,-0.0433923199528455,0.0049586379434903,-0.4691540854655994,-0.3010482984500286,0.2067830703171717,-0.2631122064821149,0.1390864917395529,-0.1848037669514831,3000004
0,100001.0,50,439,0.0882486503406314,0.0122305652720973,0.1841127486062617,0.1156598798218611,0.0512567329006634,0.0006644195248423,0.1867950722901569,0.1227543503589281,0.2606786661089911,3000005
0,100001.0,50,408,0.1447593725422126,0.0075406424643436,0.1148949822112046,0.2655868352599401,-0.0216716082898542,0.0937394635894461,0.1642777810132233,0.11760552174086,0.1895666057478524,3000006
0,100001.0,50,450,-0.1741685230070739,-0.0171014954373675,-0.187772513426596,0.0652728802651316,-0.0417760822912753,-0.0533936135130159,-0.1810255187071549,0.1335379329396733,-0.0473130521089217,3000007
0,100001.0,50,568,0.0341865209841478,0.0144967013281685,0.2451507307929712,0.3331406634580514,0.1026377846222931,-0.072317625259095,-0.1695982338828626,0.1339738022868722,-0.0120731200367596,3000008
0,100001.0,50,414,-0.2551087984339536,-0.0948929811142618,-1.11425971256957,0.6791029655678865,-0.650233667206687,0.4382381476250702,-0.2304327410550326,0.1270353302611367,-0.3160129051077891,3000009
0,100001.0,50,391,0.0607147879422281,0.0283833227074425,0.1667458330447982,0.3822604847369606,0.2034698585688547,-0.1469997761218075,0.334663378251594,0.1083989433336786,0.1201553029264673,3000010
0,100001.0,50,399,0.321748196034635,0.0162175151502945,0.455795203453163,0.2715524260264466,-0.0527573536102991,0.2123286036386755,0.4311847703371238,0.116061765615337,0.2842561309345733,3000011
0,100001.0,50,522,-0.5372910171147482,-0.0970000721563644,-1.4259871907153845,1.334581312893993,-0.5039064270164141,0.1638299932179567,-0.8238213976445039,0.1633031925641543,-0.2013371328691401,3000012
0,100001.0,50,436,-0.7469647315422784,0.0076677140744201,-0.937121472744943,0.4449123894133659,0.5049809781718416,-0.8286525989224578,-0.0226163265188106,0.1258247017399925,-0.1858480525265656,3000013
0,100001.0,50,491,-0.097223557683001,-0.0106933151222102,-0.1558588679183003,0.4187511766667552,-0.0330812063356734,-0.0212841336599445,0.2939492882233865,0.1207598423984978,0.3068337090044314,3000014
0,100001.0,50,489,0.5661031687466055,0.0549490618285184,1.096821421356389,-0.9302362560497264,0.1307433009823799,0.178180891398366,0.8146985149176764,0.0954081632653061,0.6752158273610885,3000015
0,100001.0,50,348,0.0105466128055052,0.050492825638413,0.2784190994898554,0.8779145371323134,0.4184798348318305,-0.3612418563620733,0.0484779865580587,0.1281839440321583,0.121557560575376,3000016
