#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3020100.trees ../Simulation/Slim(primary)/trees/r3020101.trees ../Simulation/Slim(primary)/trees/r3020102.trees ../Simulation/Slim(primary)/trees/r3020103.trees ../Simulation/Slim(primary)/trees/r3020104.trees ../Simulation/Slim(primary)/trees/r3020105.trees ../Simulation/Slim(primary)/trees/r3020106.trees ../Simulation/Slim(primary)/trees/r3020107.trees ../Simulation/Slim(primary)/trees/r3020108.trees ../Simulation/Slim(primary)/trees/r3020109.trees ../Simulation/Slim(primary)/trees/r3020110.trees ../Simulation/Slim(primary)/trees/r3020111.trees ../Simulation/Slim(primary)/trees/r3020112.trees ../Simulation/Slim(primary)/trees/r3020113.trees ../Simulation/Slim(primary)/trees/r3020114.trees ../Simulation/Slim(primary)/trees/r3020115.trees ../Simulation/Slim(primary)/trees/r3020116.trees ../Simulation/Slim(primary)/trees/r3020117.trees ../Simulation/Slim(primary)/trees/r3020118.trees ../Simulation/Slim(primary)/trees/r3020119.trees ../Simulation/Slim(primary)/trees/r3020120.trees ../Simulation/Slim(primary)/trees/r3020121.trees ../Simulation/Slim(primary)/trees/r3020122.trees ../Simulation/Slim(primary)/trees/r3020123.trees ../Simulation/Slim(primary)/trees/r3020124.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/290461236.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,ZngE,FerL,bsfs,FulD,FayH,TajD,Omega,Colless,btree,path
0,100001.0,50,455,1.0187821216627215,-1.1733316409689518,-0.5783653980965369,-0.1019024473711171,-0.1402273312524649,-0.019221095757699307,-0.6927962965764982,0.1877511238413494,-1.2738049592334775,r3020100.trees
0,100001.0,50,376,-0.6149289046396894,0.24986967428720033,-2.5419400042089095,1.6308277254136556,-0.02397477351667301,-0.7675652449586238,-0.590845649229648,0.19220036080730635,-1.4703342514004856,r3020101.trees
0,100001.0,50,432,0.3971100043885865,-0.5973115903962464,-0.5096574215674567,-0.10345474573745143,-0.08785481563640592,-0.24490205261447903,-0.4940684134210682,0.16734296057604328,-1.0675117090834103,r3020102.trees
0,100001.0,50,377,-0.14204810488069075,-0.0499561203115248,-0.7703981476166835,0.7540842506782833,-0.03110503356405893,-0.3602278122006333,-0.46876147011539,0.1604950156163094,-0.6943795808454664,r3020103.trees
0,100001.0,50,499,0.7983425010059747,-0.9885640602558464,-0.5780882163312282,-0.2646744416738131,-0.12610493849779292,-0.13246917285734583,-0.5439929821251239,0.17800761608991422,-1.0263115699598462,r3020104.trees
0,100001.0,50,363,0.5478965065099543,-1.3099998011419838,-5.013119000816641,2.6626411012579134,-0.23698397850787603,-1.1637465443591082,-1.2439993627189667,0.20279591836734692,-1.8298603488210643,r3020105.trees
0,100001.0,50,388,0.3956814361210907,-0.6401800081830438,-0.6126169655016656,-0.08536835641817865,-0.09836108011992692,-0.32052337178586376,-0.4997122909233726,0.15868291761148903,-0.8694473894610638,r3020106.trees
0,100001.0,50,420,0.1121524463982247,-0.18439676807174052,-0.08496685653321151,0.30504789996811166,-0.028543981199401908,-0.09582058562211816,0.1816119147930612,0.20006143818784058,-1.7326053787944296,r3020107.trees
0,100001.0,50,372,-0.39731917094451463,-0.2234934360022712,-4.663676235548522,2.6384325230942003,-0.10691893550802328,-1.1500551175583795,-0.7602280510393096,0.19954212454212453,-1.7238539615364374,r3020108.trees
0,100001.0,50,467,0.7078998392302058,-1.2120739843354935,-4.061040086721769,1.3393460323685098,-0.191304632935665,-0.6862879018776847,-0.3375668810302352,0.17733990147783252,-1.3617641136946095,r3020109.trees
0,100001.0,50,416,0.7845412498762665,-0.8379884395088647,-0.3517137230172945,-0.12321014503143962,-0.09256910557855759,0.09676614242541232,-0.19342919183048213,0.20897500104336214,-1.8292775556246386,r3020110.trees
0,100001.0,50,424,0.3692185619481604,-0.3104066114561408,-0.034193091519730254,-0.00834452795168617,-0.023654914212671182,0.18800005493478716,0.21098963200771703,0.1244527066145607,0.11287819403496538,r3020111.trees
0,100001.0,50,447,0.31381756549319334,-0.1480599322291136,0.5712508559687315,0.4524268172468347,0.0073201781616745185,0.35604359406976865,-0.24041011816838578,0.15194309768106137,-0.48640866080818745,r3020112.trees
0,100001.0,50,427,0.3559351202523605,-0.3124486227254594,-0.04240175067159736,0.5583170047093898,-0.0259322894006017,0.15879865284734165,-0.049229492896241886,0.14409669340372966,-0.47613987163552735,r3020113.trees
0,100001.0,50,444,-0.2143447016534913,-0.04182901057325297,-1.6815472539046072,1.6456537759658099,-0.038856304329532465,-0.48572606931935064,-0.37020114376409735,0.21403362229847692,-2.0398465572477638,r3020114.trees
0,100001.0,50,399,0.5156931938859076,-0.7788702990144737,-1.0324255751152949,0.27155242602644747,-0.11497845814279829,-0.32349616194629865,-0.6972015532885527,0.18321056233144145,-1.3476181544482067,r3020115.trees
0,100001.0,50,429,0.5393953510275245,-0.8262359300144427,-1.125492322812511,0.8511457431473383,-0.12287701274488623,-0.3579497724523419,-0.5483134059298875,0.21143796060090703,-1.9020091394731296,r3020116.trees
0,100001.0,50,440,-0.24853015035707482,0.19737863540533185,-0.12470410843051682,0.7476682544902694,0.013177422214893646,-0.14609011114800893,0.15772343621704693,0.1531331438047856,-0.6550684296786345,r3020117.trees
0,100001.0,50,352,0.20817022605460805,-0.832329472104863,-3.8474273140589936,1.292956129840431,-0.1696376323125781,-1.0110851487814203,-1.4919526223586723,0.2432681405895692,-2.2918321955294996,r3020118.trees
0,100001.0,50,377,-0.0535967182794922,-2.0672744200581783e-05,-0.8750094996755865,1.7355852120423376,-0.007265605478240725,-0.10393187136705467,-0.2880659421337328,0.1565762668703845,-1.0562775346092292,r3020119.trees
0,100001.0,50,422,0.2575636952812156,-0.7477834974261701,-3.1319371071957147,0.9899844321003991,-0.1424108469457853,-0.7704561453269066,-1.4127703157115983,0.2244173237476809,-2.023309766210925,r3020120.trees
0,100001.0,50,415,1.2233643496932916,-0.9722398291679306,0.5566076721292947,-0.47244517217372406,-0.06505967014803572,0.7186328088401691,-0.14080352120775616,0.1253836900613904,-0.07351538754148354,r3020121.trees
0,100001.0,50,394,0.7259255102271759,-1.2559475026451292,-1.6283960713381225,-0.6978434273306857,-0.1997401328979114,-0.7263406058802643,-0.3542307648283638,0.19647162662533368,-1.5199106375289666,r3020122.trees
0,100001.0,50,518,0.8638348537741085,-1.1131699725211353,-0.8519971830579623,-0.00376267045807799,-0.14667359032063743,-0.21713747937351457,-0.27989671343447886,0.19264069264069267,-1.5631901483119828,r3020123.trees
0,100001.0,50,379,0.052123409730929444,-0.280726710987598,-0.7714337319446504,0.849933849107801,-0.05959111231972038,-0.3758595405252671,-0.742383176564729,0.21619391804340782,-2.242042681317604,r3020124.trees
