#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3050150.trees ../Simulation/Slim(primary)/trees/r3050151.trees ../Simulation/Slim(primary)/trees/r3050152.trees ../Simulation/Slim(primary)/trees/r3050153.trees ../Simulation/Slim(primary)/trees/r3050154.trees ../Simulation/Slim(primary)/trees/r3050155.trees ../Simulation/Slim(primary)/trees/r3050156.trees ../Simulation/Slim(primary)/trees/r3050157.trees ../Simulation/Slim(primary)/trees/r3050158.trees ../Simulation/Slim(primary)/trees/r3050159.trees ../Simulation/Slim(primary)/trees/r3050160.trees ../Simulation/Slim(primary)/trees/r3050161.trees ../Simulation/Slim(primary)/trees/r3050162.trees ../Simulation/Slim(primary)/trees/r3050163.trees ../Simulation/Slim(primary)/trees/r3050164.trees ../Simulation/Slim(primary)/trees/r3050165.trees ../Simulation/Slim(primary)/trees/r3050166.trees ../Simulation/Slim(primary)/trees/r3050167.trees ../Simulation/Slim(primary)/trees/r3050168.trees ../Simulation/Slim(primary)/trees/r3050169.trees ../Simulation/Slim(primary)/trees/r3050170.trees ../Simulation/Slim(primary)/trees/r3050171.trees ../Simulation/Slim(primary)/trees/r3050172.trees ../Simulation/Slim(primary)/trees/r3050173.trees ../Simulation/Slim(primary)/trees/r3050174.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/215946681.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,bsfs,FayH,TajD,ZngE,FerL,FulD,Colless,btree,Omega,path
0,100001.0,50,417,-0.7043099804034743,-0.0635325022745197,-0.2972333864307022,0.16286236861471218,-0.3609084309352853,0.5440137246508039,0.1594367412036585,-0.8950052509331258,-0.7780259752714327,r3050150.trees
0,100001.0,50,495,-4.068237384743715,-0.1091035966203168,-0.6048234476205383,0.18342239204768523,-0.5659897650801183,2.455257361141578,0.221336620772711,-2.151431558752615,-1.1239089242859246,r3050151.trees
0,100001.0,50,320,-1.498008905119688,-0.10330041327728082,-0.545755930671395,0.19796446739995524,-0.546695952910712,0.8258466978765069,0.1481871734200927,-0.6860582497870886,-0.7073389758486914,r3050152.trees
0,100001.0,50,441,0.03708489815244175,-0.043072065816423304,0.07689343706730263,0.3983340510340716,-0.4090361703612779,-1.109227315501199,0.15609903381642512,-0.5435262870639478,-0.3187175584217117,r3050153.trees
0,100001.0,50,484,0.619407175581641,-0.0026161071684339906,0.5480532786005279,0.5863216259421614,-0.34539234932223545,-0.6913758686663114,0.11864821686250258,0.11375233395766642,0.058087217306040634,r3050154.trees
0,100001.0,50,388,-1.1514630274562405,-0.0961414274269551,-0.2867295715641501,0.4141650303655283,-0.6413720089425455,0.33432883988374984,0.153140325897801,-0.675987712935505,-0.2808156438667597,r3050155.trees
0,100001.0,50,476,0.629918455584586,0.005277677766890202,0.5500000510231087,0.5297304575288496,-0.27976470580763635,-0.5852900073496609,0.157219432275528,-0.8643204588238681,-0.13422476751237025,r3050156.trees
0,100001.0,50,496,-0.47865548315825873,-0.10151787337602586,-0.12802503416319921,0.6204994671322162,-0.7831390968471468,0.5307814636430964,0.19488810016760327,-1.4737361954445325,-0.614281490962382,r3050157.trees
0,100001.0,50,463,-0.8076245380567878,-0.0778020860809673,-0.22789939482189786,0.34079066205438885,-0.523067037747502,0.7071461550416511,0.12874747889105392,-0.1677415009912295,-0.39743453621876473,r3050158.trees
0,100001.0,50,351,-0.9591142244513738,-0.16991950365993977,-0.22986110263456927,1.0155211624404752,-1.29417304784877,-0.4641992194620996,0.1960927683175181,-1.1773014239034643,-0.5438870645657731,r3050159.trees
