start,end,N,SS,FayH,FulD,TajD,FerL,ZngE,bsfs,Omega,Colless,btree,path
0,100001.0,50,442,0.0269077741376337,-0.1085896194638845,0.0485838424370689,0.1985872091968906,-0.1489946110661687,0.1489528950343399,0.4650036632223636,0.1072318462268628,0.6348719465752736,3110000
0,100001.0,50,498,0.0098241847124686,0.1284204307427457,0.1125756248643065,0.0166833119118574,0.0436116082994189,0.3206097126300224,0.0689575678481678,0.1174965356512975,0.125252132503947,3110001
0,100001.0,50,442,0.0329280257050543,0.5282857854359548,0.1826902381154409,0.1703776850195974,-0.0549622412639175,0.290979634201196,0.2135968406270813,0.1380691481137909,0.0201554635184952,3110002
0,100001.0,50,398,-0.0548081613918134,0.5037094785345906,0.3285423017125515,-0.6555552387582891,0.7441818195115976,-0.2963118789251461,-0.2368194405736483,0.1369213269723473,-0.3680587767544991,3110003
0,100001.0,50,444,0.0567519559418616,0.8781521829682332,0.1800866702031614,0.3731235005928955,-0.2340532273549873,1.119772592577576,0.0923787447511525,0.1442501623765084,-0.5375546421967502,3110004
0,100001.0,50,446,-0.0727906681287253,1.7232114304813142,-0.5026668456534559,-0.3184536318487528,0.019409763537481,-1.4289041374135485,-0.0596465294313575,0.1222957206138269,-0.1540143571949529,3110005
0,100001.0,50,353,-0.0144488170987619,-0.1030274980510602,0.1143916675496925,-0.188849114247484,0.2244415121850011,-0.0944996819700113,0.1339771375110504,0.1224489795918367,0.1748268536745369,3110006
0,100001.0,50,443,0.0355291648971729,0.5196666935279138,-0.2612425554583414,0.4540287637792479,-0.5330511801215684,-0.2800719185484217,0.3720053776015327,0.1038450913360267,0.3642553168255541,3110007
0,100001.0,50,388,-0.0746499666467693,0.181711677592139,-0.153173981379165,-0.5388966205718422,0.3932705325239903,-0.4740962233738232,-0.4529902376197998,0.1491551459293394,-0.2936388416061418,3110008
0,100001.0,50,354,0.0291880170752595,0.6820305910033987,-0.621452729852234,0.6111532488140593,-0.8558645370592377,-0.6627336041691222,-0.1110466271664958,0.1314285714285714,-0.1295394368804013,3110009
0,100001.0,50,470,-0.0352318218129506,0.6791439389052152,-0.5843391919653919,0.0468175172093302,-0.3431967012698489,-1.1792073398264808,-0.2997842427998771,0.1411987680644397,-0.400976132907104,3110010
0,100001.0,50,406,0.0566632222124079,-0.0816330375451272,0.2473414314228541,0.3321757402628753,-0.1634620672838407,0.7967321914596215,0.480369639699747,0.1074278873560597,0.626872094582987,3110011
0,100001.0,50,337,-0.0788965870224273,1.0575326222293011,-0.6635426038373696,-0.2730273212694104,-0.1026122255611297,-1.8896893765625655,-0.7769924732005508,0.1452744018955897,-0.6631126769099054,3110012
0,100001.0,50,432,-0.076676562556945,1.0624428064945308,-0.1823382824046717,-0.539819455813312,0.3790322412744076,-0.8840478802998786,-0.0415226417800715,0.1196641156462585,0.2573318126352833,3110013
0,100001.0,50,423,0.0044627585596715,0.3495817517960518,0.3093630173103241,-0.1446248501207966,0.2865751288972222,0.2455504106476665,0.2294040061527421,0.1269156539020102,-0.1449895963082122,3110014
0,100001.0,50,497,0.0573178619401963,-0.5805971598573938,0.775701098445384,0.0271854180176282,0.3774644557423411,1.6450787992293103,0.3977567278978829,0.1214675122385402,0.2833482645504304,3110015
0,100001.0,50,530,-0.0097018857399195,0.6771799150983256,-0.0713632088773956,-0.0400107312909526,-0.0018506439320038,-0.199448613428942,0.221329827070763,0.1362035335461198,0.0477446184483636,3110016
0,100001.0,50,350,0.019398276577557,0.1778787267874995,-0.3536464646356796,0.3711874879688049,-0.507512442251014,-0.5537304693106339,0.3690289470261545,0.1244886066314637,0.0419199800964895,3110017
0,100001.0,50,532,-0.0449443318662202,-0.1461583744184763,0.1311483520583763,-0.4579057743635481,0.4694749827098907,-0.1913866743517869,0.2790388447967638,0.120016611295681,0.23818975805487,3110018
0,100001.0,50,457,0.0014186660829462,0.0786811561846325,0.3283986057160977,-0.1816372704112063,0.3290122271173549,0.4971628199178025,0.0763356200615437,0.1162687563063503,0.2057116946184094,3110019
0,100001.0,50,403,-0.052811663921051,0.4934096553844568,-0.4260381922822143,-0.1944001782589159,-0.0495493681872763,-1.205824527351217,-0.3876041524503644,0.1440854119425548,-0.4505698652881346,3110020
0,100001.0,50,444,0.0563412610047321,-1.157395520199253,0.6136739942756524,0.1140712266727859,0.2171312360256889,1.0997655452258286,0.3981150619108511,0.1071735923284976,0.5250868233517748,3110021
0,100001.0,50,333,0.0146686358097275,1.2428436735939368,-0.4186681719126788,0.3694053368089748,-0.5392816373763796,-0.7476065033795081,-0.3009407381545498,0.1305648841815207,-0.2254142648592912,3110022
0,100001.0,50,466,0.0100067737172074,0.4905958053861995,0.1560037679298996,-0.0074255399383409,0.0871695980292967,0.0399574873965871,0.1477614674537527,0.1303827751196172,-0.0307385543992006,3110023
0,100001.0,50,457,-0.0565323656282384,1.0838772708716535,-0.4329034470689826,-0.2223861702006949,-0.0288039534234237,-1.0546757182291406,0.2912088170623241,0.1107579157317377,0.4452139596598366,3110024
0,100001.0,50,457,-0.0074036636203757,-0.5374067850751542,0.0243118916799027,-0.0768855984897021,0.079977638748629,-0.0255414415189216,-0.1836418004736989,0.1266188293499217,-0.1071673809245565,3110025
0,100001.0,50,369,-0.0366315302341594,0.961947363106506,-0.3632968361816936,-0.0946261241226958,-0.1044396073486428,-0.893297342364825,-0.6466545879953426,0.1751492007846083,-1.1694439894739928,3110026
0,100001.0,50,390,-0.0702918129160123,0.0879920444945809,-0.2058950774298619,-0.471174404292778,0.3067082705229411,-0.75439803552163,-0.2160810884846845,0.1598852040816326,-0.7922893706510066,3110027
0,100001.0,50,356,-0.0466430489218949,1.1584651332052809,-0.4634375847401233,-0.1198279228309451,-0.1339048014689556,-0.8303530664042277,-0.1867491278444334,0.1389620364274742,-0.2537725683732758,3110028
0,100001.0,50,435,-0.0844380468739629,0.0788825407334028,-0.5801079819088405,-0.3709762238723476,0.0254938930235227,-1.500640458782346,-0.2558571389096792,0.1426596705032724,-0.3950133238037756,3110029
0,100001.0,50,433,0.0344008909353662,0.2997271934361156,-0.0550481634232833,0.3228530484194531,-0.3114731684435914,0.1731260166446411,0.2636638602604084,0.1161691949507075,0.5030886712971695,3110030
0,100001.0,50,431,-0.020073570432418,0.2476477700344942,0.183845463066284,-0.2777922271339899,0.3385068457724328,-0.0129070902694463,0.1917343026698487,0.110792987407729,0.2383549969035824,3110031
0,100001.0,50,429,-0.0126734138705487,-0.1847386302828578,0.1895891106464759,-0.2186977866560798,0.2896623384902761,0.1329530507908981,0.4130878574479286,0.1136301294711433,0.7839013036641779,3110032
0,100001.0,50,495,0.0512878989051679,0.239012202237045,0.1299235547022187,0.3571482339317287,-0.2459679246258881,0.4510510492179819,0.6861776292580308,0.1049026209468559,0.7976624042417845,3110033
