#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3010025.trees ../Simulation/Slim(primary)/trees/r3010026.trees ../Simulation/Slim(primary)/trees/r3010027.trees ../Simulation/Slim(primary)/trees/r3010028.trees ../Simulation/Slim(primary)/trees/r3010029.trees ../Simulation/Slim(primary)/trees/r3010030.trees ../Simulation/Slim(primary)/trees/r3010031.trees ../Simulation/Slim(primary)/trees/r3010032.trees ../Simulation/Slim(primary)/trees/r3010033.trees ../Simulation/Slim(primary)/trees/r3010034.trees ../Simulation/Slim(primary)/trees/r3010035.trees ../Simulation/Slim(primary)/trees/r3010036.trees ../Simulation/Slim(primary)/trees/r3010037.trees ../Simulation/Slim(primary)/trees/r3010038.trees ../Simulation/Slim(primary)/trees/r3010039.trees ../Simulation/Slim(primary)/trees/r3010040.trees ../Simulation/Slim(primary)/trees/r3010041.trees ../Simulation/Slim(primary)/trees/r3010042.trees ../Simulation/Slim(primary)/trees/r3010043.trees ../Simulation/Slim(primary)/trees/r3010044.trees ../Simulation/Slim(primary)/trees/r3010045.trees ../Simulation/Slim(primary)/trees/r3010046.trees ../Simulation/Slim(primary)/trees/r3010047.trees ../Simulation/Slim(primary)/trees/r3010048.trees ../Simulation/Slim(primary)/trees/r3010049.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/980852194.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,ZngE,FayH,FerL,FulD,bsfs,TajD,btree,Colless,Omega,path
0,100001.0,50,310,-0.264498346603318,0.03644323225820958,0.3038859314133013,0.5768273488824959,0.10226219992783042,0.0032772226892629147,-0.0031264883624786207,0.12661943758395078,0.18592536901165418,r3010025.trees
0,100001.0,50,412,0.08408433537105056,-0.053050129613850014,-0.271712397443094,0.6983577894141592,-1.0361151683508325,-0.29840184655756274,-1.6771416650674857,0.19391733301507738,-0.92653444007344,r3010026.trees
0,100001.0,50,454,-0.04023469722636636,-0.09956933174206166,-0.3976302875865022,0.9169297950535119,-2.9541289053903452,-0.7522822453685553,-0.7007658943060724,0.1602442484531501,-0.45539921182438253,r3010027.trees
0,100001.0,50,312,0.39708562327213076,-0.1680850345220062,-0.9319919728202054,2.020655595489106,-4.2094164908666665,-0.8147849107307255,-1.3428509424764696,0.16844984262361662,-0.7587397844056463,r3010028.trees
0,100001.0,50,414,-0.490712096360001,0.0322944478837241,0.4161221038912338,0.39292012391810893,-0.2541148697979938,-0.24389510341420723,-0.7491119340154985,0.15844509232264334,-0.014944821420315743,r3010029.trees
0,100001.0,50,431,0.16601373374098363,0.04294427772836985,0.0865677447623237,-0.5084965451780357,0.6483370289777934,0.46823428603452927,0.3085492344438791,0.1148191517043976,0.5768008547324434,r3010030.trees
0,100001.0,50,393,-0.2151341985990047,-0.059158618154556315,-0.126594272180972,1.1170218270665964,-1.5731692259812584,-0.6318204429477878,-1.5944221467090949,0.19913234754979836,-0.45770013323684544,r3010031.trees
0,100001.0,50,411,-0.04717854107143674,-0.021388421719905043,-0.06329549884545521,1.0323462261740266,-0.6030521693721944,-0.19881313064445696,-0.19442359679030327,0.1292235126094637,0.00673003060526121,r3010032.trees
0,100001.0,50,399,-0.46789612191568375,0.05776854953066831,0.5104351147071207,0.7539710363948203,0.5772182932877402,-0.03970981708407391,-0.16424290242390438,0.13867676102699145,0.11875481985793485,r3010033.trees
0,100001.0,50,473,-0.10142261408506678,0.03028232374143331,0.1858213602183428,0.1839450715657507,0.25055355653009104,0.11894786839069905,-0.14701065328379415,0.1295213207234113,0.04710649907616227,r3010034.trees
