#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3030100.trees ../Simulation/Slim(primary)/trees/r3030101.trees ../Simulation/Slim(primary)/trees/r3030102.trees ../Simulation/Slim(primary)/trees/r3030103.trees ../Simulation/Slim(primary)/trees/r3030104.trees ../Simulation/Slim(primary)/trees/r3030105.trees ../Simulation/Slim(primary)/trees/r3030106.trees ../Simulation/Slim(primary)/trees/r3030107.trees ../Simulation/Slim(primary)/trees/r3030108.trees ../Simulation/Slim(primary)/trees/r3030109.trees ../Simulation/Slim(primary)/trees/r3030110.trees ../Simulation/Slim(primary)/trees/r3030111.trees ../Simulation/Slim(primary)/trees/r3030112.trees ../Simulation/Slim(primary)/trees/r3030113.trees ../Simulation/Slim(primary)/trees/r3030114.trees ../Simulation/Slim(primary)/trees/r3030115.trees ../Simulation/Slim(primary)/trees/r3030116.trees ../Simulation/Slim(primary)/trees/r3030117.trees ../Simulation/Slim(primary)/trees/r3030118.trees ../Simulation/Slim(primary)/trees/r3030119.trees ../Simulation/Slim(primary)/trees/r3030120.trees ../Simulation/Slim(primary)/trees/r3030121.trees ../Simulation/Slim(primary)/trees/r3030122.trees ../Simulation/Slim(primary)/trees/r3030123.trees ../Simulation/Slim(primary)/trees/r3030124.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/901800993.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,TajD,FerL,FulD,FayH,bsfs,ZngE,btree,Colless,Omega,path
0,100001.0,50,360,-1.1440581046456306,-1.279470576722407,2.0955651353580946,-0.2320090970364653,-4.547627555614552,0.5313323170916682,-3.062244543405114,0.27938953359121427,-1.3029690630893838,r3030100.trees
0,100001.0,50,452,-0.8963143351024659,-1.3017676314009345,1.2633601479726617,-0.21665801460937015,-4.147100484534852,0.6780233533512384,-2.179763992912124,0.2122458533975388,-1.1904122880841657,r3030101.trees
0,100001.0,50,381,-1.4188555271043815,-1.8243977093130372,1.29443935810828,-0.31570558072137983,-5.0121668652134295,0.8668897586287554,-2.277196469102289,0.2230640759297731,-1.190146273001115,r3030102.trees
0,100001.0,50,329,-0.3249132460338428,-1.0665127418679943,-0.005574112776379211,-0.14967372451593655,-0.9075565595603836,0.7670276302723862,-0.8269793690510754,0.15983072916666666,-0.17442611156343388,r3030103.trees
0,100001.0,50,303,-1.3954392272464662,-2.6900508158143155,1.8851181265038908,-0.4184360922120529,-5.28447137494395,1.6383522146824765,-2.6992879759174513,0.21959021703919665,-1.2949967189627187,r3030104.trees
0,100001.0,50,300,-1.282435340102835,-1.2167107122167706,2.921682659158216,-0.2349017424579271,-4.9750142466549265,0.40607848687105114,-2.3470299055665897,0.24568484110061933,-1.3441695504633602,r3030105.trees
0,100001.0,50,412,-0.21958597378473932,-1.0947682099957674,-0.056496390437251374,-0.1451173508472807,-0.6647912101414117,0.8462461544593997,-1.9168774311068153,0.208834426627794,-0.42304248100414665,r3030106.trees
0,100001.0,50,391,-0.9556020491535726,-1.8919094962047274,2.161842671890353,-0.29123569437822244,-5.091375049004165,1.1650172821562321,-2.169490089161661,0.2203653916656483,-1.0497229267092394,r3030107.trees
0,100001.0,50,340,-0.6020441112598958,-0.7686417413333247,0.8887639894415263,-0.13353816009566793,-1.9381868460202616,0.36327538333601395,-1.5180862500380918,0.17657285844274015,-0.6284635130038893,r3030108.trees
0,100001.0,50,351,-0.64345360041518,-1.8643026614949583,0.5473322200811951,-0.26661493169273554,-2.8632509591116038,1.301914413542909,-0.9475852354841026,0.1609472556145746,-0.9643579216146838,r3030109.trees
0,100001.0,50,372,-1.4467309962176509,-1.5822364288726802,1.60404535995268,-0.2890061681518248,-4.907770637929933,0.6404064226782898,-1.976962755242677,0.1975604034717335,-1.130699246572425,r3030110.trees
0,100001.0,50,337,-1.164295892833663,-1.549031528373089,1.891345242159815,-0.2657284362805932,-4.604110701307388,0.7573826260090442,-1.9352423937444105,0.18935038804254095,-1.0784746349646508,r3030111.trees
0,100001.0,50,371,-0.8290502902476451,-1.155357794432067,0.7396117807362265,-0.19515115422853488,-3.214008599862007,0.5849043439391902,-1.9897285184121454,0.2083641427585527,-0.5948620192353274,r3030112.trees
0,100001.0,50,300,-1.0699497938823175,-1.7966767806448045,1.2963793089284288,-0.2891843389986889,-4.5563278452172735,1.023328460869006,-2.3275197713208953,0.23375323580759735,-1.5954240203268637,r3030113.trees
0,100001.0,50,408,-0.8846443884195363,-2.6342552468677676,1.5722300686713648,-0.37411850505313304,-4.839246061970496,1.8522819958573211,-1.8092273637613596,0.19253663003663002,-1.4200286827056603,r3030114.trees
