#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3010175.trees ../Simulation/Slim(primary)/trees/r3010176.trees ../Simulation/Slim(primary)/trees/r3010177.trees ../Simulation/Slim(primary)/trees/r3010178.trees ../Simulation/Slim(primary)/trees/r3010179.trees ../Simulation/Slim(primary)/trees/r3010180.trees ../Simulation/Slim(primary)/trees/r3010181.trees ../Simulation/Slim(primary)/trees/r3010182.trees ../Simulation/Slim(primary)/trees/r3010183.trees ../Simulation/Slim(primary)/trees/r3010184.trees ../Simulation/Slim(primary)/trees/r3010185.trees ../Simulation/Slim(primary)/trees/r3010186.trees ../Simulation/Slim(primary)/trees/r3010187.trees ../Simulation/Slim(primary)/trees/r3010188.trees ../Simulation/Slim(primary)/trees/r3010189.trees ../Simulation/Slim(primary)/trees/r3010190.trees ../Simulation/Slim(primary)/trees/r3010191.trees ../Simulation/Slim(primary)/trees/r3010192.trees ../Simulation/Slim(primary)/trees/r3010193.trees ../Simulation/Slim(primary)/trees/r3010194.trees ../Simulation/Slim(primary)/trees/r3010195.trees ../Simulation/Slim(primary)/trees/r3010196.trees ../Simulation/Slim(primary)/trees/r3010197.trees ../Simulation/Slim(primary)/trees/r3010198.trees ../Simulation/Slim(primary)/trees/r3010199.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/907433782.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,TajD,FerL,ZngE,bsfs,FulD,FayH,Colless,Omega,btree,path
0,100001.0,50,501,0.9144315507844288,-0.47007759995719445,0.8853251702336439,1.0152909519609075,-0.5727018526846854,0.008208513643591809,0.11793960008245723,0.5267645460787194,0.515195695574689,r3010175.trees
0,100001.0,50,496,0.16100951170596836,-0.11600535140890196,0.1850201399773386,0.17339357318393578,-0.3658941703845835,-0.002484679392627197,0.12474616712356584,0.12301596015936805,0.15297361428876485,r3010176.trees
0,100001.0,50,485,0.26174608774597885,0.051407873585112,0.09030472547369375,0.287727165362648,-0.36055218761163615,0.024338758368059262,0.12813637082740073,0.008059690786712936,0.05618132253762756,r3010177.trees
0,100001.0,50,387,-0.4768135239364128,0.09592630721930412,-0.33012016138827793,-0.9753885367475857,0.8027158511668723,-0.02193105320191573,0.15861943735827663,-0.21352077258838173,-0.7522361037692565,r3010178.trees
0,100001.0,50,395,-0.006296129207504676,-0.172296988372281,0.14776564434132713,-0.4725763853230682,1.2071880903143168,-0.02087928285870427,0.16786300727187428,-0.21772071505619364,-0.8412033640471442,r3010179.trees
0,100001.0,50,524,0.35901193164230694,-0.04527131377175356,0.22552097768782564,0.6010485900088256,0.04343992610173308,0.01968414553685207,0.12131759483454398,0.07127942467742865,0.11187475090809151,r3010180.trees
0,100001.0,50,441,0.07272487396000984,-0.4341242688093049,0.4181745145523844,-0.3005942811188966,0.46975308517236086,-0.04633405693425376,0.13651147959183674,-0.08727190883441807,-0.2676748392820616,r3010181.trees
0,100001.0,50,504,0.2732497868996516,0.07335582407589018,0.07705426435122185,0.707590578887423,-0.11825055151365699,0.027727924773981224,0.11412414965986395,0.6144360006828529,0.43209458603306805,r3010182.trees
0,100001.0,50,411,0.10094664108091528,-0.23932495454941446,0.2619086816992041,-0.12069222580536297,-0.08465675010612281,-0.021322687039244562,0.13844936708860758,-0.04188397664605655,-0.2502255291537851,r3010183.trees
0,100001.0,50,424,0.1882281967885406,-0.33043675638481135,0.3868952468382129,0.1722082746317229,-0.46248940557944,-0.026012441016358273,0.15227162293488825,-0.5834462022815172,-0.43412105830890324,r3010184.trees
0,100001.0,50,483,-0.2611119361074089,-1.0108971771495654,0.7513579260646346,-0.8439778196011248,-0.6859786587508734,-0.13777357959906045,0.1552786860600594,-0.7477086106129563,-0.7458164707352926,r3010185.trees
0,100001.0,50,381,-0.6132365929445971,-0.5585327204491252,0.17311653322254866,-2.9696340606212064,1.2944393581082796,-0.10915041319206911,0.14438208616780046,-0.271791764961684,-0.62617171691923,r3010186.trees
0,100001.0,50,436,-0.6275828574768119,-0.4660126718772557,0.08427442821441648,-1.8815274554229995,1.0225442498718555,-0.09900645354880096,0.16578989108596806,-0.32267753506168184,-0.9126463142496919,r3010187.trees
0,100001.0,50,407,-0.3745949787241677,-0.51407827756792,0.2572026950160551,-1.2892772623393258,1.183928781177282,-0.08711740331645698,0.1765389082462253,-0.5800676052311553,-1.1336416446368438,r3010188.trees
0,100001.0,50,460,0.16714288101505015,-0.26446841308754443,0.31828496770268394,-0.04328987210289604,-0.877555895043962,-0.01963623074307142,0.10693671407957123,0.2693401476630028,0.49732604364601624,r3010189.trees
0,100001.0,50,435,0.2519426151279351,-0.13210150743527285,0.24598251335803958,0.3602448964988281,-0.7044054265061016,0.001940747606738136,0.12218733647305076,0.15340290589155214,0.3089911379069236,r3010190.trees
0,100001.0,50,423,0.2974145944140666,-0.0708189753042907,0.21570400360795017,0.40841432149399515,0.3145654406766366,0.012374375254903196,0.11842696848854485,0.5282878678867473,0.5098502475461281,r3010191.trees
0,100001.0,50,338,-0.5074755339802915,-0.8412102944977007,0.4755879010378002,-3.133140106378377,1.1759700846631798,-0.13556871046278227,0.1754897447700885,0.02265138791226474,-1.207107207632898,r3010192.trees
0,100001.0,50,428,0.04097532394607614,0.020206725658840373,0.003453517282552209,0.11596035178669707,0.13401178230879887,0.00525480534986477,0.11746704331450095,0.36896354585254854,0.5929145112064668,r3010193.trees
0,100001.0,50,422,0.2662331058770707,0.07239245141919161,0.0740533123393423,0.6379492452840362,0.5337001933788424,0.027168174049277433,0.1575337317247341,0.004634659308646265,-0.6525041942014045,r3010194.trees
0,100001.0,50,418,-0.13516419448789455,-0.24122263291893814,0.14164697300142912,-0.5108005324123703,0.428547029071992,-0.038028201282878885,0.15389747059044612,-0.11087861107230224,-0.6682489688300963,r3010195.trees
0,100001.0,50,412,-0.18102899060399086,0.3229261532313289,-0.37654626702031746,-0.14334779857711608,0.374848855192126,0.025639803064295884,0.11977084648292306,0.4329055570623076,0.22893975846747994,r3010196.trees
0,100001.0,50,406,-0.10036097138356122,-0.10938670579984525,0.04406516584165068,-0.4925259475786008,0.4654667784822641,-0.01998019080361185,0.13545867448775917,0.044344807338597574,-0.1554327663841735,r3010197.trees
0,100001.0,50,391,0.1193799549629339,-0.6865444834166897,0.6633402428511341,-0.5635044107174598,1.1395295005469153,-0.07311771963435809,0.13688463551100916,-0.049737218710644356,-0.5077524172334782,r3010198.trees
0,100001.0,50,352,0.06857824684891908,0.12062879971094997,-0.07035192163491812,0.25323597586847174,0.410362439141952,0.019134372600479732,0.11946266601878848,0.04049271986222464,0.11639489410989451,r3010199.trees
