#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3000450.trees ../Simulation/Slim(primary)/trees/r3000451.trees ../Simulation/Slim(primary)/trees/r3000452.trees ../Simulation/Slim(primary)/trees/r3000453.trees ../Simulation/Slim(primary)/trees/r3000454.trees ../Simulation/Slim(primary)/trees/r3000455.trees ../Simulation/Slim(primary)/trees/r3000456.trees ../Simulation/Slim(primary)/trees/r3000457.trees ../Simulation/Slim(primary)/trees/r3000458.trees ../Simulation/Slim(primary)/trees/r3000459.trees ../Simulation/Slim(primary)/trees/r3000460.trees ../Simulation/Slim(primary)/trees/r3000461.trees ../Simulation/Slim(primary)/trees/r3000462.trees ../Simulation/Slim(primary)/trees/r3000463.trees ../Simulation/Slim(primary)/trees/r3000464.trees ../Simulation/Slim(primary)/trees/r3000465.trees ../Simulation/Slim(primary)/trees/r3000466.trees ../Simulation/Slim(primary)/trees/r3000467.trees ../Simulation/Slim(primary)/trees/r3000468.trees ../Simulation/Slim(primary)/trees/r3000469.trees ../Simulation/Slim(primary)/trees/r3000470.trees ../Simulation/Slim(primary)/trees/r3000471.trees ../Simulation/Slim(primary)/trees/r3000472.trees ../Simulation/Slim(primary)/trees/r3000473.trees ../Simulation/Slim(primary)/trees/r3000474.trees ../Simulation/Slim(primary)/trees/r3000475.trees ../Simulation/Slim(primary)/trees/r3000476.trees ../Simulation/Slim(primary)/trees/r3000477.trees ../Simulation/Slim(primary)/trees/r3000478.trees ../Simulation/Slim(primary)/trees/r3000479.trees ../Simulation/Slim(primary)/trees/r3000480.trees ../Simulation/Slim(primary)/trees/r3000481.trees ../Simulation/Slim(primary)/trees/r3000482.trees ../Simulation/Slim(primary)/trees/r3000483.trees ../Simulation/Slim(primary)/trees/r3000484.trees ../Simulation/Slim(primary)/trees/r3000485.trees ../Simulation/Slim(primary)/trees/r3000486.trees ../Simulation/Slim(primary)/trees/r3000487.trees ../Simulation/Slim(primary)/trees/r3000488.trees ../Simulation/Slim(primary)/trees/r3000489.trees ../Simulation/Slim(primary)/trees/r3000490.trees ../Simulation/Slim(primary)/trees/r3000491.trees ../Simulation/Slim(primary)/trees/r3000492.trees ../Simulation/Slim(primary)/trees/r3000493.trees ../Simulation/Slim(primary)/trees/r3000494.trees ../Simulation/Slim(primary)/trees/r3000495.trees ../Simulation/Slim(primary)/trees/r3000496.trees ../Simulation/Slim(primary)/trees/r3000497.trees ../Simulation/Slim(primary)/trees/r3000498.trees ../Simulation/Slim(primary)/trees/r3000499.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/956922961.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,TajD,FayH,FerL,FulD,ZngE,bsfs,Colless,btree,Omega,path
0,100001.0,50,390,-0.0961367280143854,-0.049759363929457553,-0.36275728687218967,-0.25364708659114105,0.2683280857832636,-0.1781444311216732,0.12085769980506823,0.2815686496842155,0.07450002322495357,r3000450.trees
0,100001.0,50,463,0.02591585335824266,0.003201641900032313,0.011773300662479015,-0.38111872932141905,0.0030759002613853234,0.05254353341230064,0.1119832548403977,0.3677393705041355,0.17918585185705385,r3000451.trees
0,100001.0,50,398,0.3422082569084458,0.07035368727349824,0.3915970496707826,0.317700643923809,-0.16659083867803434,1.3417434227710232,0.10731859410430838,0.5271396639418195,0.7747194906529686,r3000452.trees
0,100001.0,50,456,0.09692525051623282,0.033819122120604346,0.22857272752076976,-0.8563199545470623,-0.15029897041854245,0.24189157744396164,0.11098769651401232,0.39348195292585325,0.39526134617240344,r3000453.trees
0,100001.0,50,405,-0.23222527787617372,-0.062481959877944096,-0.39013329853598033,-0.0005812039545271484,0.22206986019936006,-0.5438213005263186,0.15200562983814217,-0.49741037249804243,-0.6289628900481831,r3000454.trees
0,100001.0,50,378,0.27415647353150135,0.014162121181754358,-0.0420876992653639,-0.3529928130838508,0.17831752993568442,0.393003363698831,0.10928128647908868,0.53191220227702,0.2587789521851806,r3000455.trees
0,100001.0,50,428,-0.7730159915378042,-0.13395019583281426,-0.6750724131461555,1.2069117234944695,0.19246080002946075,-3.272300659327283,0.1563818264736062,-0.5393996698155675,-0.47766115006099136,r3000456.trees
0,100001.0,50,361,-0.3924320217683219,-0.059946583156785534,-0.2736376320731002,0.8920434860106049,0.03745044508960469,-1.008873784124773,0.1478097299525871,-0.49492555513967973,0.10621995737798272,r3000457.trees
0,100001.0,50,342,-0.4429815553267309,0.03972510775504474,0.5945097281578614,0.3021557831254609,-0.749137438645826,-0.43694977009116787,0.12734576589256394,-0.1666356370441724,0.14695912098303443,r3000458.trees
0,100001.0,50,362,-0.7283448539919745,-0.055124825363966255,-0.03542180225472469,0.34913112653453604,-0.3445045838291365,-1.525011929447268,0.12997637478636775,-0.014014012434242518,-0.1462769415448856,r3000459.trees
0,100001.0,50,373,-0.15106289552271793,-0.03659133709965841,-0.21923858764346874,-0.3929540894488319,0.1142146235160418,-0.14470618831689344,0.10429306857878287,0.6694891507421163,0.26419468936733753,r3000460.trees
0,100001.0,50,465,0.5255002726453709,0.020891719760512396,-0.13332372102741818,-0.10681793342443881,0.3885914177615398,0.7821318218687588,0.11826578972821356,0.3158136047810795,0.10755373428579902,r3000461.trees
0,100001.0,50,440,-0.3904471006462344,-0.02650066331277096,0.006366006191189774,1.3874217899875911,-0.20734013235578316,-1.004448966589782,0.13855542216886754,-0.287848375134433,-0.3379430354772208,r3000462.trees
