start,end,N,SS,bsfs,TajD,FerL,FulD,ZngE,FayH,btree,Colless,Omega,path
0,100001.0,50,454,-0.1608335365938169,0.024653110322796,-0.2144707486688047,0.8190135593825341,0.2007794642718264,-0.0236669615002046,-1.0158418149614046,0.1720061120895058,-0.4451185634627457,3040000
0,100001.0,50,480,0.3574155244807905,0.4824181930707898,-0.3974790690836438,-0.113809182206363,0.5980217544471406,-0.0133584771912307,0.2838752979443003,0.1135840809753853,0.6015164462842563,3040001
0,100001.0,50,489,-1.2531000543283046,-0.3178026886753401,-0.7162100268545372,0.3733009251950518,0.4636360315202569,-0.1068599749758923,-0.5880017554603806,0.1443292370711725,-0.1919260669099856,3040002
0,100001.0,50,409,0.9872041869120788,0.0940638985336071,0.5318954704343911,0.1482716313199881,-0.4176648017485612,0.0696318083502601,0.1842783417023999,0.1264667242558399,0.3647729116963546,3040003
0,100001.0,50,528,-0.493877552520543,-0.0771454068930676,-0.1197246013644222,0.4394393951100367,0.0650659365676627,-0.0195220984313845,-0.1440909235630695,0.1370489500147885,-0.1417835103655573,3040004
0,100001.0,50,488,0.3758512480019323,0.4596686504658368,-0.4180157616511439,-0.8950043523986391,0.6043115668529215,-0.0173668071687445,0.2692710040335517,0.1122535308539659,0.5309576942711217,3040005
0,100001.0,50,401,0.4199561475459104,0.1321051136730908,0.2306714601632933,-0.5954874123152942,-0.1339899715600402,0.0365851240287237,0.5337730611241378,0.111100209314495,0.6150187219648648,3040006
0,100001.0,50,482,-0.0120669248221078,0.2934116744012011,-0.5899828882120706,0.395786938285406,0.6690771778663211,-0.0493100388622173,-0.8587809537401576,0.1671639416000318,-0.2690606170560602,3040007
0,100001.0,50,451,-0.2899574572218112,-0.2349684293073842,0.3727848459795489,1.5034302789748974,-0.4482804269154468,0.0277329253641477,-0.0450550731480481,0.1345785440613026,0.0425776513788931,3040008
0,100001.0,50,385,0.1385235599775485,0.1234133851572786,-0.1796157515182775,-1.3292294465076318,0.2211009890815978,-0.0126937100937068,0.4281473592914587,0.113220608756323,0.2979024064558995,3040009
0,100001.0,50,379,-0.9135535435342248,-0.1786435424948849,-1.1480233199955263,0.5374998399423067,0.9139635741627552,-0.1487683608591912,-1.7909469021493367,0.2042101724410694,-1.1065418254066794,3040010
0,100001.0,50,409,0.1877055671528734,0.1175617979693612,-0.0610330000783898,0.0396492660037654,0.1142006218398265,0.0009743333790265,0.012061792333852,0.1378117913832199,-0.2306587490787143,3040011
