#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3030025.trees ../Simulation/Slim(primary)/trees/r3030026.trees ../Simulation/Slim(primary)/trees/r3030027.trees ../Simulation/Slim(primary)/trees/r3030028.trees ../Simulation/Slim(primary)/trees/r3030029.trees ../Simulation/Slim(primary)/trees/r3030030.trees ../Simulation/Slim(primary)/trees/r3030031.trees ../Simulation/Slim(primary)/trees/r3030032.trees ../Simulation/Slim(primary)/trees/r3030033.trees ../Simulation/Slim(primary)/trees/r3030034.trees ../Simulation/Slim(primary)/trees/r3030035.trees ../Simulation/Slim(primary)/trees/r3030036.trees ../Simulation/Slim(primary)/trees/r3030037.trees ../Simulation/Slim(primary)/trees/r3030038.trees ../Simulation/Slim(primary)/trees/r3030039.trees ../Simulation/Slim(primary)/trees/r3030040.trees ../Simulation/Slim(primary)/trees/r3030041.trees ../Simulation/Slim(primary)/trees/r3030042.trees ../Simulation/Slim(primary)/trees/r3030043.trees ../Simulation/Slim(primary)/trees/r3030044.trees ../Simulation/Slim(primary)/trees/r3030045.trees ../Simulation/Slim(primary)/trees/r3030046.trees ../Simulation/Slim(primary)/trees/r3030047.trees ../Simulation/Slim(primary)/trees/r3030048.trees ../Simulation/Slim(primary)/trees/r3030049.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/529016740.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,TajD,FerL,FulD,bsfs,FayH,ZngE,Colless,Omega,btree,path
0,100001.0,50,329,-1.274015272485742,-2.337194914988817,0.6236384487316068,-4.882637881602101,-0.36732028681025675,1.3914777066412092,0.18953880764904388,-1.3094262095180302,-1.9845702797895735,r3030025.trees
0,100001.0,50,316,-0.8425521134094366,-1.1496556682150287,1.8133616164894641,-3.9823705642406715,-0.19592059409726065,0.5734185400435252,0.20179225536368395,-0.9350628680303968,-2.2366166730316386,r3030026.trees
0,100001.0,50,380,-0.2806691075898669,-1.8082186017970334,0.4495329357807465,-2.454822411289303,-0.23426116873320768,1.4399281461924376,0.19507432602670696,-0.7726080441389147,-1.6290294787177755,r3030027.trees
0,100001.0,50,305,-1.9721479533130801,-2.670935396054345,2.674987501358856,-5.5455745656151745,-0.4564846331369772,1.3249031662169608,0.243613206152026,-1.308364712764865,-2.5361430668367855,r3030028.trees
0,100001.0,50,369,-1.0136908988576334,-1.9224269501841256,0.8416313367129645,-4.224747487585818,-0.29917580352411344,1.1619077295447275,0.16603218210361068,-0.7626258535885814,-1.0414155368191558,r3030029.trees
0,100001.0,50,386,-1.0756453418269873,-0.4841285506518025,1.5036178235036783,-3.158304383430407,-0.13261011681621768,-0.13073278668770452,0.163156462585034,-1.022858096060459,-0.869015969939448,r3030030.trees
0,100001.0,50,319,-0.258991066427676,-0.97228441449587,0.6996905524548238,-1.2607753598358107,-0.1339231799109209,0.7184081017669506,0.16365921368547418,-0.2369717056782696,-1.0763649382151796,r3030031.trees
0,100001.0,50,388,-0.31342200178535595,-1.4410578107824266,-0.5432198432930098,-1.105682588097656,-0.19290087579979653,1.101272555539191,0.18347445361123174,-0.6793242699936834,-1.3303255314457656,r3030032.trees
0,100001.0,50,396,-0.6568780933566607,-1.2677556588579078,0.7471878332597306,-2.1679778715760016,-0.1962739212023961,0.7721201979151816,0.18300405268490375,-1.25270615021969,-1.4684114816448952,r3030033.trees
0,100001.0,50,317,-0.43832400320031206,-0.786110539259523,-0.06793678194220218,-0.9658197488667869,-0.12431481276475098,0.46301119444006816,0.1449197922412208,-0.8655528076588487,-0.540832091321963,r3030034.trees
