#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3020075.trees ../Simulation/Slim(primary)/trees/r3020076.trees ../Simulation/Slim(primary)/trees/r3020077.trees ../Simulation/Slim(primary)/trees/r3020078.trees ../Simulation/Slim(primary)/trees/r3020079.trees ../Simulation/Slim(primary)/trees/r3020080.trees ../Simulation/Slim(primary)/trees/r3020081.trees ../Simulation/Slim(primary)/trees/r3020082.trees ../Simulation/Slim(primary)/trees/r3020083.trees ../Simulation/Slim(primary)/trees/r3020084.trees ../Simulation/Slim(primary)/trees/r3020085.trees ../Simulation/Slim(primary)/trees/r3020086.trees ../Simulation/Slim(primary)/trees/r3020087.trees ../Simulation/Slim(primary)/trees/r3020088.trees ../Simulation/Slim(primary)/trees/r3020089.trees ../Simulation/Slim(primary)/trees/r3020090.trees ../Simulation/Slim(primary)/trees/r3020091.trees ../Simulation/Slim(primary)/trees/r3020092.trees ../Simulation/Slim(primary)/trees/r3020093.trees ../Simulation/Slim(primary)/trees/r3020094.trees ../Simulation/Slim(primary)/trees/r3020095.trees ../Simulation/Slim(primary)/trees/r3020096.trees ../Simulation/Slim(primary)/trees/r3020097.trees ../Simulation/Slim(primary)/trees/r3020098.trees ../Simulation/Slim(primary)/trees/r3020099.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/261920883.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,TajD,FulD,ZngE,FayH,bsfs,FerL,Colless,btree,Omega,path
0,100001.0,50,410,-0.9633143823402208,0.9706371464263379,0.05387131209483167,-0.14183941270993272,-3.037042849387029,-0.6289198303900132,0.2134733781780869,-1.7469333473156785,-0.7828612674647994,r3020075.trees
0,100001.0,50,427,-0.18821707466311638,0.17672430614537654,0.46711382118377365,-0.08941459712205028,-1.0260034345075868,-0.6437610494983107,0.1553210958296362,-0.8428874641063961,0.006929118276403084,r3020076.trees
0,100001.0,50,436,0.5781352381904191,-0.948199744633579,1.105405522146949,-0.06862991354892634,0.34632548765501475,-0.9201707732984621,0.15561716015886123,-0.9943493487147181,-0.6744718414115926,r3020077.trees
0,100001.0,50,397,-0.5422312412660918,1.2964516995576436,-0.6023871555271684,0.00576771154471404,-1.059423419560986,0.36794680031761623,0.15017522160379304,-0.6492740143243234,-0.32965235102181134,r3020078.trees
0,100001.0,50,357,-0.42227025183265016,0.5658182663079244,0.24154191145505402,-0.09180391948945782,-1.285230604221379,-0.5240774479846219,0.1822062158196612,-1.5693709466554133,-0.7207644611920248,r3020079.trees
0,100001.0,50,476,0.1512771740189831,-0.27390691138507195,0.6138591591798803,-0.061707686685722934,0.039096528516915564,-0.6108708679024635,0.19082092296378012,-1.5560856023634841,-0.1749717445124738,r3020080.trees
0,100001.0,50,437,-0.416944718114551,0.9787820281701544,-0.0009186600977661005,-0.05808703646631618,-1.4119950977712432,-0.2446942560616822,0.16060483599380346,-0.7586195402030352,-0.19538120069681972,r3020081.trees
0,100001.0,50,363,0.008714428139501513,0.09453428532500162,0.3883237961947733,-0.0514276355260525,-0.1720849561662243,-0.4380095506008041,0.14314235010774495,-0.4324767055950634,-0.14389168970445138,r3020082.trees
0,100001.0,50,481,0.16006849174271914,-0.3361375074517056,0.1655707697355298,0.0,0.42552589647067157,-0.09441281660704175,0.1811473369835739,-1.3544195292939119,-0.18787234404749997,r3020083.trees
0,100001.0,50,400,-0.6772777020899323,1.2991247738306544,0.2906668745832872,-0.13394930892669824,-2.9421790049752543,-0.7304985860608941,0.1778667268012177,-1.5561824905735648,-0.941348987449156,r3020084.trees
