#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3020000.trees ../Simulation/Slim(primary)/trees/r3020001.trees ../Simulation/Slim(primary)/trees/r3020002.trees ../Simulation/Slim(primary)/trees/r3020003.trees ../Simulation/Slim(primary)/trees/r3020004.trees ../Simulation/Slim(primary)/trees/r3020005.trees ../Simulation/Slim(primary)/trees/r3020006.trees ../Simulation/Slim(primary)/trees/r3020007.trees ../Simulation/Slim(primary)/trees/r3020008.trees ../Simulation/Slim(primary)/trees/r3020009.trees ../Simulation/Slim(primary)/trees/r3020010.trees ../Simulation/Slim(primary)/trees/r3020011.trees ../Simulation/Slim(primary)/trees/r3020012.trees ../Simulation/Slim(primary)/trees/r3020013.trees ../Simulation/Slim(primary)/trees/r3020014.trees ../Simulation/Slim(primary)/trees/r3020015.trees ../Simulation/Slim(primary)/trees/r3020016.trees ../Simulation/Slim(primary)/trees/r3020017.trees ../Simulation/Slim(primary)/trees/r3020018.trees ../Simulation/Slim(primary)/trees/r3020019.trees ../Simulation/Slim(primary)/trees/r3020020.trees ../Simulation/Slim(primary)/trees/r3020021.trees ../Simulation/Slim(primary)/trees/r3020022.trees ../Simulation/Slim(primary)/trees/r3020023.trees ../Simulation/Slim(primary)/trees/r3020024.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/236238853.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,FayH,TajD,FulD,bsfs,FerL,ZngE,Omega,Colless,btree,path
0,100001.0,50,406,-0.020637324472839717,0.08623356178888314,0.24662685207130763,0.0359884251452652,-0.2248369235467231,0.2416003470018407,0.15962571982289417,0.14345060941043083,-0.45027021185149246,r3020000.trees
0,100001.0,50,442,-0.22457524723899597,-0.754084390745827,1.7014773207777647,-4.29812223284161,-1.4519522117059847,0.8832404258607952,-1.3426909927409973,0.2143140589569161,-1.8073401584826876,r3020001.trees
0,100001.0,50,502,-0.08077806035035888,0.2435102756210875,-0.07605707928922735,-0.10319983060492557,-0.8270276639128242,0.8512224444535946,-0.4628185899204562,0.17043245869776483,-1.1235103015007624,r3020002.trees
0,100001.0,50,394,0.05907686018077441,0.34768707179077696,-0.359650323445751,1.533528658157755,0.2932341341197734,-0.07756227736150066,0.43571569511063335,0.12494877469059912,-0.051707340244526036,r3020003.trees
0,100001.0,50,462,-0.08280911398092922,-0.699111576096506,0.04218726433973659,-1.2387166054129066,-0.28750930242065276,-0.10935174480310145,-0.8889894127788692,0.19900423937691017,-1.309963513958865,r3020004.trees
0,100001.0,50,420,-0.015807737193809616,-1.1726814431067663,1.2924654264129853,-2.841906139469319,0.5575512612683131,-1.094428044706298,-0.3557319761111115,0.15570222798113953,-0.7093086390352045,r3020005.trees
0,100001.0,50,450,-0.049571074532360565,0.1328207301105582,0.4603995785252841,-0.09364913305728378,-0.49701867945038347,0.5044001812318868,-0.49612798230513244,0.17118798739007798,-1.4522760281306328,r3020006.trees
0,100001.0,50,433,-0.13564604308293465,-1.0390519537269307,0.8813375852016044,-3.7435609635347498,-0.5327592291953076,-0.06978153079398891,-0.8110974232889968,0.21852195423623996,-1.5908865550088307,r3020007.trees
0,100001.0,50,434,-0.04767355809310898,-0.07995191826897867,-0.254690175636731,-0.20978395410043457,-0.3553520899125807,0.27021599396274615,-0.19798052787929346,0.15588591758542497,-0.5816272855795104,r3020008.trees
0,100001.0,50,409,-0.07019328860258046,-0.4990881088584841,1.1620803742713892,-1.4320596914493884,-0.2980476901118794,0.003554299859458857,-0.5043977927510654,0.1765782746219507,-1.1557431994101783,r3020009.trees
