#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3020225.trees ../Simulation/Slim(primary)/trees/r3020226.trees ../Simulation/Slim(primary)/trees/r3020227.trees ../Simulation/Slim(primary)/trees/r3020228.trees ../Simulation/Slim(primary)/trees/r3020229.trees ../Simulation/Slim(primary)/trees/r3020230.trees ../Simulation/Slim(primary)/trees/r3020231.trees ../Simulation/Slim(primary)/trees/r3020232.trees ../Simulation/Slim(primary)/trees/r3020233.trees ../Simulation/Slim(primary)/trees/r3020234.trees ../Simulation/Slim(primary)/trees/r3020235.trees ../Simulation/Slim(primary)/trees/r3020236.trees ../Simulation/Slim(primary)/trees/r3020237.trees ../Simulation/Slim(primary)/trees/r3020238.trees ../Simulation/Slim(primary)/trees/r3020239.trees ../Simulation/Slim(primary)/trees/r3020240.trees ../Simulation/Slim(primary)/trees/r3020241.trees ../Simulation/Slim(primary)/trees/r3020242.trees ../Simulation/Slim(primary)/trees/r3020243.trees ../Simulation/Slim(primary)/trees/r3020244.trees ../Simulation/Slim(primary)/trees/r3020245.trees ../Simulation/Slim(primary)/trees/r3020246.trees ../Simulation/Slim(primary)/trees/r3020247.trees ../Simulation/Slim(primary)/trees/r3020248.trees ../Simulation/Slim(primary)/trees/r3020249.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/981661714.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,ZngE,FayH,FulD,TajD,bsfs,FerL,Colless,btree,Omega,path
0,100001.0,50,391,-0.004233178290944744,0.010969817358019473,0.15507977999397415,0.0744074481056488,0.4223214307252713,0.04864281658138944,0.1891373570704878,-1.2842383966745075,-0.3321646649375073,r3020225.trees
0,100001.0,50,351,0.09072809463911777,-0.11211203588595449,1.853893662824619,-0.7136414962202249,-3.9338808065255733,-0.5233212195796398,0.2036277701264555,-1.7900213353050374,-0.480429050429853,r3020226.trees
0,100001.0,50,417,0.5244770256667196,-0.14783758177455159,1.4319404100504638,-0.5507817574942131,-3.5779605919326,-0.9228131741234477,0.1912539406006305,-1.4491464057980965,-0.5199864322660943,r3020227.trees
0,100001.0,50,459,0.6710869851741311,-0.128991614781572,0.28998496009382696,-0.27515059341830334,-0.9088863278623341,-0.9276466187553164,0.14255778842149103,-0.15184296695938515,-0.13403355052178897,r3020228.trees
0,100001.0,50,373,0.6755681321086611,-0.08667465447115327,1.8290244728612077,0.03479297897487696,-0.9710953858596133,-0.7503978478042025,0.1502267573696145,-1.0297514188065502,-0.3011146556343789,r3020229.trees
0,100001.0,50,408,0.17023109178726548,-0.12468961370238497,0.519656352867717,-0.7278175713119018,-1.633130112647253,-0.6229255503513341,0.240491224113955,-2.2603207081929657,-0.2790888258933754,r3020230.trees
0,100001.0,50,384,0.04621731269260046,-0.03753836697470995,0.6804530835351159,-0.22383011477016904,-0.5268221899970833,-0.1845089296015429,0.16442008902326363,-0.8567295412494484,-0.16103589896383425,r3020231.trees
0,100001.0,50,491,0.5970562067643675,-0.14096608790365775,0.8112468845492413,-0.43335269200647736,-1.4140404927515013,-0.9365299331555452,0.20679559248849239,-1.9272774893478675,-0.8172650395495171,r3020232.trees
0,100001.0,50,327,0.1802875983437374,-0.15357607987809396,1.5970695844525646,-0.9223941940556564,-3.970506539866741,-0.7479632574951784,0.18037254271787456,-1.1828858213795832,-1.09980001484943,r3020233.trees
0,100001.0,50,382,0.12053505329706216,0.0027673622800567185,-0.2675225608920393,0.1366118729625823,0.20033106142001547,-0.05710869084997229,0.17541183139922636,-0.9732498523549026,0.15749193359282812,r3020234.trees
