start,end,N,SS,ZngE,TajD,FerL,FulD,FayH,bsfs,btree,Colless,Omega,path
0,100001.0,50,360,1.8062372434079672,-0.2109838026395032,-2.185373386448628,0.1227219509654204,-0.274417747902076,-2.039115420982045,-0.7646215280799955,0.1385872206025267,-0.2976332964548006,3030000
0,100001.0,50,431,0.2812507287535904,-0.912213077704681,-0.8584103253886214,0.7975709083708805,-0.1653758201081376,-3.196269960292194,-1.0488949355570676,0.165748480243161,-0.528724886519573,3030001
0,100001.0,50,303,0.516139814395958,-1.3744988218283714,-1.3965100673229391,0.6659167654218474,-0.2627449057181447,-4.413970010105762,-2.1578236512152635,0.2187033349925336,-1.0267218396608544,3030002
0,100001.0,50,281,0.862603313052179,-0.6432750079502108,-1.3625172243094137,0.711789248248339,-0.2077995406314876,-2.788971034632403,-1.8191882621421471,0.2127233007023947,-0.9177109868421326,3030003
0,100001.0,50,320,0.9026919175402078,-0.9967971029956436,-1.616219571326123,-0.0057133230055727,-0.2622363071852484,-3.395880109411389,-2.269031891596077,0.2195304695304695,-1.613238193097441,3030004
0,100001.0,50,412,1.0439839623938525,-1.1131161829452951,-1.8467266865332117,1.5969937178086957,-0.29666104619661,-4.71535442597778,-2.5759984777212313,0.26872760938695,-0.9834191985943516,3030005
0,100001.0,50,326,0.570589142477628,-1.000646060234575,-1.2394602719697378,0.704928349128281,-0.2175695582113674,-3.572557978158112,-1.8113238543275283,0.2103031860226105,-1.2485334766785288,3030006
0,100001.0,50,398,0.5215833385082796,-1.2253679104285868,-1.316718787838493,1.2477448169777172,-0.2417787494251339,-4.505896991256424,-2.429215933726905,0.2315708101422387,-1.2980421926431236,3030007
0,100001.0,50,335,1.1477123713353703,-1.8070053237679335,-2.3723943224063686,1.8780298412957497,-0.4086796330118982,-5.344441137416001,-2.4646328697327955,0.2486507936507936,-1.157377163850723,3030008
0,100001.0,50,401,0.3009321207503764,-0.8136325407674416,-0.8225242693113326,0.2168673219372114,-0.1543834964480974,-2.048920089967111,-1.5199734452096114,0.2018279704519844,-0.8247963671516043,3030009
