start,end,N,SS,bsfs,TajD,FerL,ZngE,FulD,FayH,btree,Colless,Omega,path
0,100001.0,50,269,-2.980783225284624,-0.6587447980360178,-1.6411678569680792,1.0986958479678974,0.50548158729414,-0.2423861441040414,-0.5982682595047386,0.1568836272373026,-0.5159629739122887,3060000
0,100001.0,50,318,-0.7435247778401672,-0.3220610369618525,-0.7709247174488146,0.509550440577452,0.4332892573132758,-0.1143621302541409,-1.1703195147135768,0.1855040627362056,-0.6902877454921282,3060001
0,100001.0,50,465,-3.288764493761029,-0.875881715987951,-0.9642890959195076,0.3926268279661853,0.97679189552584,-0.1752232178731887,-2.022926739204301,0.227045566830084,-1.17629235754137,3060002
0,100001.0,50,364,-1.9955588315346515,-0.7679615629149729,-0.2885882842330605,-0.1431049060222784,1.1422031729042166,-0.0879668595008079,-1.4028051970990365,0.1905062024809923,-0.903495427248988,3060003
0,100001.0,50,348,-3.3591426777473834,-0.9872596227528796,-0.6163890862231746,0.0312931640893532,1.1754693439454988,-0.1423253176347656,-1.4597634620871045,0.1906537931628347,-1.0164095620862332,3060004
0,100001.0,50,379,-1.1724998090784182,-0.4628309667501108,-0.4539082816788423,0.1590310637157933,0.3422285842138747,-0.086227546404309,-0.8629307341742498,0.1652494331065759,-0.8267473386982874,3060005
0,100001.0,50,331,-4.677061557320421,-1.467849636260349,-2.221185589610115,1.189993424545453,-0.1594222473710039,-0.36703667373462,-1.556771558938267,0.1661590009137983,-1.4037267543564436,3060006
0,100001.0,50,417,-0.6792155561016249,0.030509413626694,-1.4438241658237712,1.2813971463283742,-0.3439129607488557,-0.1689988855914184,-1.8094711475358085,0.2199546485260771,-0.5175708652128999,3060007
0,100001.0,50,394,-2.950628554762627,-0.7443775714207944,-0.1484369851337349,-0.25409210655586,1.8198163460349417,-0.0696116049808573,-1.0284854253366926,0.1592305289462723,-0.6166401880844666,3060008
0,100001.0,50,369,-0.742460017240686,-0.0873066042095717,-0.90134318384053,0.7448573399278443,-0.2412129008289007,-0.1131531676048673,-0.1673128700376567,0.1378744480248239,-0.161748501712217,3060009
0,100001.0,50,382,-2.3812649694432957,-0.777688508701005,-1.8579235849266111,1.227066661631836,0.0424741087835462,-0.274870689855218,-1.8256197684952984,0.2088561776061776,-1.0392357791611049,3060010
0,100001.0,50,372,-1.768951519791392,-0.6750489433634694,-0.8958212974529816,0.436881548384229,0.6094423184704474,-0.1535597788932742,-1.5249954316929473,0.2039651477029168,-0.86953690738649,3060011
0,100001.0,50,391,-3.911927945462776,-0.9204276760926856,-1.35249914350407,0.7103973896222,0.2308066815749701,-0.224777604021843,-1.5369915934856495,0.182706933705159,-0.8229500341244839,3060012
0,100001.0,50,415,-1.652433398931309,-0.5119487001731085,-1.423469115633848,0.9834024026018572,0.3840472490518707,-0.2044802240750271,-1.3058178611601885,0.1876822157434402,-1.1216917238361803,3060013
0,100001.0,50,431,-4.859773497455751,-1.0428198230595729,-1.5777550602474488,0.8443900062680273,1.6224556158754595,-0.2597106319763319,-1.6560290628229752,0.1969831410825199,-0.637827936540268,3060014
0,100001.0,50,398,-0.915202202681881,-0.3934452956811989,-0.4780311804329781,0.2159023258628782,0.5781130123789027,-0.0841851322446479,-0.8646737472994938,0.1676850380870911,-0.6254992716201702,3060015
0,100001.0,50,355,-3.471413418837128,-0.8162628125793151,-1.4796583879906753,0.8757859525866096,0.004049936717784,-0.2329311184489082,-1.3438290135084523,0.1829898626117113,-1.120232800790345,3060016
0,100001.0,50,396,-0.3736398597103812,-0.222470112713418,-0.3370239770980395,0.1805679114122123,-0.150134911833457,-0.0555202584091248,0.3804906795890445,0.1196370593692022,-0.0011530705148725,3060017
0,100001.0,50,450,-1.2953853344485171,-0.3094254989012972,-0.7569422521887612,0.5037055438785307,1.5469979987407003,-0.1112084959990286,-1.1100172364247078,0.1683907079315242,-0.6643293635569762,3060018
