#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3050075.trees ../Simulation/Slim(primary)/trees/r3050076.trees ../Simulation/Slim(primary)/trees/r3050077.trees ../Simulation/Slim(primary)/trees/r3050078.trees ../Simulation/Slim(primary)/trees/r3050079.trees ../Simulation/Slim(primary)/trees/r3050080.trees ../Simulation/Slim(primary)/trees/r3050081.trees ../Simulation/Slim(primary)/trees/r3050082.trees ../Simulation/Slim(primary)/trees/r3050083.trees ../Simulation/Slim(primary)/trees/r3050084.trees ../Simulation/Slim(primary)/trees/r3050085.trees ../Simulation/Slim(primary)/trees/r3050086.trees ../Simulation/Slim(primary)/trees/r3050087.trees ../Simulation/Slim(primary)/trees/r3050088.trees ../Simulation/Slim(primary)/trees/r3050089.trees ../Simulation/Slim(primary)/trees/r3050090.trees ../Simulation/Slim(primary)/trees/r3050091.trees ../Simulation/Slim(primary)/trees/r3050092.trees ../Simulation/Slim(primary)/trees/r3050093.trees ../Simulation/Slim(primary)/trees/r3050094.trees ../Simulation/Slim(primary)/trees/r3050095.trees ../Simulation/Slim(primary)/trees/r3050096.trees ../Simulation/Slim(primary)/trees/r3050097.trees ../Simulation/Slim(primary)/trees/r3050098.trees ../Simulation/Slim(primary)/trees/r3050099.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/768892789.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,FayH,ZngE,TajD,bsfs,FulD,FerL,Colless,Omega,btree,path
0,100001.0,50,444,-0.10775418276390995,0.8646970805034141,0.06472307672153806,-0.4333205277232321,-0.2230457548108996,-0.9481506802486234,0.15496917517006803,-0.29163963573063134,-0.5596900380940675,r3050075.trees
0,100001.0,50,382,-0.08288824720617162,0.23069859837463916,-0.3695367710658933,-0.7321637264606223,-0.3062721446014877,-0.48077616742940665,0.19706755534583775,-0.9522776220416864,-1.5161058643050305,r3050076.trees
0,100001.0,50,482,-0.036497414756663224,0.09908544249104305,-0.16579586041240368,-0.4462065756037985,0.7648198904918341,-0.21079429677507364,0.17250774655411902,-0.6186145477306944,-1.3290931771779941,r3050077.trees
0,100001.0,50,371,-0.06719587000190408,0.5773464497577554,0.07899051871576244,-0.39422357773149,0.34070556198773255,-0.6123169644659782,0.20533089779121524,-0.33721879193135323,-1.6638634567496748,r3050078.trees
0,100001.0,50,464,-0.17166422687232868,0.6211972120763437,-0.629304208523045,-2.5931762373877008,0.5068965292614243,-1.0795756713686515,0.2192952310457862,-0.7972932940406325,-1.8446036819155698,r3050079.trees
0,100001.0,50,364,-0.0547844238916424,-0.04898824395332485,-0.43935747649937834,-0.7780173537204966,0.6950268383808736,-0.20262853245369197,0.19694616977225674,-0.8077481379844598,-1.5670842982381425,r3050080.trees
0,100001.0,50,463,-0.09458335717885874,0.5859715791161096,-0.11102523329114121,-0.9628617786374171,0.4190760385926027,-0.7337892624531918,0.1559585174275896,-0.16750726305307484,-0.7787239396619186,r3050081.trees
0,100001.0,50,319,-0.11804852810904909,0.33185882256089444,-0.5210377704762547,-1.6605458808223972,0.7460320007671541,-0.6850079824012713,0.1905625531462585,-0.696156051204325,-1.416235525585982,r3050082.trees
0,100001.0,50,410,-0.023466927224773417,-0.34882924931174664,-0.5057884504623326,-1.0054499361381164,0.3204826837139942,0.1000080701342946,0.17104280736684918,-0.37435978913244183,-1.0641157817183104,r3050083.trees
0,100001.0,50,454,-0.13244424369394875,0.5884679583389198,-0.37966767234579973,-0.9079538911076389,-0.42125875911652005,-0.8950356735066467,0.1882312925170068,-0.8520879157604305,-1.2288291071920905,r3050084.trees
0,100001.0,50,361,0.004809199897391563,-0.19803363362862408,-0.15764693650731657,-0.04306283489351996,0.5231528539737539,0.13323320622871593,0.17647828362114076,-0.31477701932364194,-1.165335144352477,r3050085.trees
0,100001.0,50,365,-0.031351700071102405,-0.33035462287706724,-0.544572604695901,-1.1594805067547782,0.6841250325234959,0.05652879440129896,0.14950201637541244,-0.13472279761624045,-0.5759506591528796,r3050086.trees
0,100001.0,50,413,-0.062480439409391575,0.06204814779487424,-0.3872658536076535,-0.959927225740318,1.1548734108691803,-0.2989270875542538,0.15205323702514714,-0.2513865225884913,-0.7091365897463641,r3050087.trees
0,100001.0,50,462,-0.027386209186808622,-0.015266918929703513,-0.2109960097039944,-0.4540962711387339,0.13841733281741972,-0.10700075950740019,0.12658185544960343,-0.06457426095301298,-0.01876264309087891,r3050088.trees
0,100001.0,50,496,-0.09499644088797968,0.37688349570934276,-0.3167295063691878,-0.8105119299692474,0.47100308804125174,-0.6166507505014266,0.17184115798785882,-0.5178906500211244,-1.0335678597613243,r3050089.trees
0,100001.0,50,450,-0.03673182104691263,-0.3173558077883124,-0.57015536101854,-1.0306248917185743,0.6908901525103722,0.025855071061611206,0.16218415937803693,-0.4613859130121492,-0.8212072981236401,r3050090.trees
0,100001.0,50,491,-0.0689736017207516,-0.005984991216456355,-0.5001940332797776,-1.3116878119971092,0.6602869969021316,-0.28824753218601845,0.1463727964304001,-0.189843743876841,-0.6649056969900159,r3050091.trees
0,100001.0,50,379,-0.09226953446364358,-0.09425783957142268,-0.7515454960361019,-2.0415407562850487,0.7718253468164274,-0.3348506435703405,0.18886895417507663,-0.7583749412253183,-1.2100017592196985,r3050092.trees
0,100001.0,50,327,0.03882274372271473,-0.9934075733638565,-0.6871576225621409,-1.0819856705362867,1.7327191059084976,0.7300374959304855,0.18491215383791312,-0.6869625609507589,-1.0874234572976873,r3050093.trees
0,100001.0,50,487,-0.1404333477641401,0.4640869752554237,-0.5579751595693488,-1.6024206610747498,0.7536205954366816,-0.8583960614344346,0.18921785886071602,-1.1595050748608806,-1.468577309286075,r3050094.trees
0,100001.0,50,483,0.01424713594595521,0.11385500802628876,0.21218142577597537,0.32777738536246825,-0.16425865762756822,-0.004690916224620853,0.13510745207173777,0.16568323407112567,-0.3649487410471249,r3050095.trees
