#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3030050.trees ../Simulation/Slim(primary)/trees/r3030051.trees ../Simulation/Slim(primary)/trees/r3030052.trees ../Simulation/Slim(primary)/trees/r3030053.trees ../Simulation/Slim(primary)/trees/r3030054.trees ../Simulation/Slim(primary)/trees/r3030055.trees ../Simulation/Slim(primary)/trees/r3030056.trees ../Simulation/Slim(primary)/trees/r3030057.trees ../Simulation/Slim(primary)/trees/r3030058.trees ../Simulation/Slim(primary)/trees/r3030059.trees ../Simulation/Slim(primary)/trees/r3030060.trees ../Simulation/Slim(primary)/trees/r3030061.trees ../Simulation/Slim(primary)/trees/r3030062.trees ../Simulation/Slim(primary)/trees/r3030063.trees ../Simulation/Slim(primary)/trees/r3030064.trees ../Simulation/Slim(primary)/trees/r3030065.trees ../Simulation/Slim(primary)/trees/r3030066.trees ../Simulation/Slim(primary)/trees/r3030067.trees ../Simulation/Slim(primary)/trees/r3030068.trees ../Simulation/Slim(primary)/trees/r3030069.trees ../Simulation/Slim(primary)/trees/r3030070.trees ../Simulation/Slim(primary)/trees/r3030071.trees ../Simulation/Slim(primary)/trees/r3030072.trees ../Simulation/Slim(primary)/trees/r3030073.trees ../Simulation/Slim(primary)/trees/r3030074.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/332662690.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,bsfs,FulD,FerL,FayH,ZngE,TajD,Colless,Omega,btree,path
0,100001.0,50,411,-2.748801449102084,2.1853815565277297,-0.09157387975980329,-0.049251709484867796,-0.20362072262119585,-0.5497829664041607,0.1958315240990013,-0.654348020470333,-1.6995294119756477,r3030050.trees
0,100001.0,50,405,-3.8737877207121514,1.1694288073492454,-1.5759584487104221,-0.24239798367702609,0.9709807088369324,-0.7949045822919574,0.22141622011933265,-1.0492327659666683,-2.119761329543781,r3030051.trees
0,100001.0,50,255,-5.061667046734292,2.564411293885797,-2.208142667272827,-0.3719750929909028,1.1458492199224226,-1.5344094559330306,0.22373904516761658,-1.294838126218956,-1.9743737333476024,r3030052.trees
0,100001.0,50,331,-3.8082269333243586,2.074291381300394,-0.6565490066092564,-0.141328101931849,0.11000924553143701,-0.9032397685200948,0.22252578450735133,-1.2748254704920075,-2.1471351408942927,r3030053.trees
0,100001.0,50,363,-1.364693185920006,0.9913334908888755,-1.818461713973828,-0.19426563678540332,1.7541289296451354,0.31146319148718726,0.18532222049124994,-0.43066409665104394,-1.528435995998918,r3030054.trees
0,100001.0,50,386,-3.2543289895790086,0.9283576409147872,-1.5985084894954267,-0.248473350313206,0.9669628679759255,-0.8411270273903406,0.16873177842565598,-0.4584844430860605,-0.9592621205866227,r3030055.trees
0,100001.0,50,299,-3.952605772789979,1.3116613302947806,-1.5335124753213345,-0.24576794461137666,0.8813369098074169,-0.8978925158018576,0.17679988662131518,-0.5086147818288459,-1.4818019964083202,r3030056.trees
0,100001.0,50,336,-5.213488046242848,3.2271493933112527,-1.3810334008304577,-0.2800223883928943,0.35785214556054706,-1.654184183833217,0.2706841014551516,-1.5380337051029855,-2.5859670250441185,r3030057.trees
0,100001.0,50,365,-4.036792768595537,1.9814624073820966,-0.7701968324137252,-0.15524088559410093,0.2046686579053805,-0.911963987305731,0.21380812599012208,-0.9337971167421208,-2.01176746258831,r3030058.trees
0,100001.0,50,342,-4.041365076306002,1.686093225905993,-1.121164582737211,-0.20244791985458774,0.47326437363858487,-0.9880128370013702,0.21864288350999314,-0.8867901623724224,-2.093498857091298,r3030059.trees
0,100001.0,50,371,-3.1098824610679507,0.18114307448833517,-1.4913205877726543,-0.22783414749595604,0.9325674762851968,-0.7258231299674226,0.19858712715855573,-0.859107130512808,-1.8123430335345618,r3030060.trees
0,100001.0,50,239,-2.054239740215937,0.6711492494452874,-0.8239560406003786,-0.14048802795056922,0.4168708803944148,-0.5937583736511365,0.2092572605965463,-0.6296361671851727,-1.8577735646338263,r3030061.trees
0,100001.0,50,261,-3.8701729099326627,1.921772532276343,-0.388945073246658,-0.1313432902970615,-0.2800990214800348,-1.2092838134289599,0.2434538470560638,-1.1702719068815368,-2.4699785779973316,r3030062.trees
0,100001.0,50,381,-4.296621372157973,1.9548997275231883,-1.4464604070273794,-0.23119002485577536,0.8284377048621375,-0.8513829033377088,0.2335997335997336,-1.071849495584878,-2.3696633965413056,r3030063.trees
0,100001.0,50,396,-4.874063702765052,2.3548910848850246,-1.401911294349394,-0.2526214399902743,0.5909523871353106,-1.2356817851235726,0.21349782850993504,-1.4491313804283918,-2.44975754602132,r3030064.trees
0,100001.0,50,368,-0.6914871912098489,0.1289962264047054,-1.240269350278386,-0.15692906177918142,1.0159319581468722,-0.13759513178617594,0.20800886143931258,-0.9330746132859989,-1.7234339724613614,r3030065.trees
0,100001.0,50,422,-3.2560018865426184,1.4813674584159209,-1.1223342281717796,-0.17876578500347823,0.6453033753680765,-0.6554467303047197,0.1927437641723356,-0.5740873768673892,-1.6602711280807212,r3030066.trees
0,100001.0,50,324,-4.249260290119466,2.4635423485376853,-1.1020035643292487,-0.19224361766779063,0.5162881510863563,-0.8722799748692999,0.1954027642803153,-0.7486062583034316,-1.709697914625016,r3030067.trees
0,100001.0,50,287,-4.7055388913955,2.5325359114240023,-1.044407857097504,-0.22486295876693005,0.17958159297692283,-1.4301031959632804,0.22105414746543778,-1.2129108695135375,-2.3134880874077637,r3030068.trees
0,100001.0,50,502,-3.186540332628945,1.1938946687229044,-0.6014241333073037,-0.13051609168182468,0.08657612468410224,-0.852011460110687,0.19214374061312836,-1.0062381323460787,-1.5879281309690054,r3030069.trees
0,100001.0,50,446,-1.1779916589962847,1.6899905809447133,-0.8947906751958555,-0.12390464779764823,0.6515035897596084,-0.2572935831169978,0.1683723785372137,-1.0355934913064033,-1.5395214379866886,r3030070.trees
0,100001.0,50,377,-0.8106440494632553,-1.2874377489589508,-1.7268024096642842,-0.21996598188316221,1.402957890985102,-0.2139881750837622,0.1552952541963531,-0.5578029076044646,-0.7171775684064814,r3030071.trees
0,100001.0,50,390,-0.48617057423686527,-0.3675267969530487,-1.1055294903516126,-0.12676254249902535,1.0015495317475236,0.06317091578712922,0.13974900304949567,-0.2767042133556649,-0.46025511884751014,r3030072.trees
0,100001.0,50,325,-2.0540186393489854,0.9446546342986712,-0.7802563452582102,-0.14921104697026752,0.26912430763002093,-0.8048604278065316,0.20090552777402354,-0.8892512174878255,-1.5325498644383373,r3030073.trees
0,100001.0,50,355,-1.0536872679430915,-0.4960577861864693,-1.2220177300682795,-0.17085674988713884,0.8819240550689113,-0.36640400850020344,0.2140196214540238,-0.4980292945243031,-2.0035539695604787,r3030074.trees
