start,end,N,SS,FayH,ZngE,FulD,FerL,TajD,bsfs,Omega,Colless,btree,path
0,100001.0,50,385,-0.0526170512384615,0.2291988189274898,1.3622448694160958,-0.3524324198881683,-0.1544283716305562,-1.0301683782869246,-0.3779721407156142,0.1523194384136633,-0.8591373216719344,3050000
0,100001.0,50,442,-0.014164398992383,0.087146828888356,-1.482899703721433,-0.1095078913375037,-0.0171422466099522,0.1372670692001728,-0.2924705418443247,0.1502939326019425,-0.5771501429787247,3050001
0,100001.0,50,391,-0.0748970758357376,-0.1326433584628382,0.7987584434324356,-0.2399539160852657,-0.6645325666277626,-2.1292622390237743,-0.4305717233943905,0.1776112130245356,-1.3612118442429582,3050002
0,100001.0,50,440,0.0311745422463004,0.0873815481707006,-0.7001950100563021,0.0817827821871042,0.3078531601189419,0.5499711744110736,0.2896839005732094,0.1141175571352136,0.3660323631515285,3050003
0,100001.0,50,455,-0.1250134636119487,0.7508046102745592,-0.688115888874603,-0.9562425166772872,-0.169429982129341,-0.5977748228034646,-0.6625617024504795,0.1454850012294074,-0.4552215463186774,3050004
0,100001.0,50,416,-0.0849706943866317,0.3357697535054723,0.5176244617096867,-0.5499583225267887,-0.2833170769378736,-0.723656783656558,-0.4609980484936125,0.191679677335415,-1.2851044192684011,3050005
0,100001.0,50,323,-0.1951197097813083,0.4590727225827167,0.6961722906844705,-1.0813774244954848,-0.9483339922898884,-3.129692846406463,-1.27304703604446,0.2425898931000971,-2.232721526678492,3050006
0,100001.0,50,395,-0.1079104950694948,0.6815656471608067,-0.2171466235902391,-0.843630028730562,-0.1121038508118431,-0.483452940273968,-0.1075884582301136,0.1462301587301587,-0.4177936965126095,3050007
0,100001.0,50,356,-0.0998992396457753,0.5700329637136676,0.992227483531959,-0.7455553971793607,-0.1615296573027991,-0.7970573190718551,-0.5190812136745354,0.1555777716492002,-0.8499841903809451,3050008
0,100001.0,50,507,-0.0601886218745663,0.5548499794135201,0.1846298510271208,-0.5709794101175204,0.1046326808949378,-0.2915207263534455,-0.0514706619934506,0.1288598388664221,-0.2225422483522244,3050009
0,100001.0,50,332,0.0047516709354453,-0.4922841801504234,-0.0797639403911905,0.3009154561892449,-0.4439435739947809,-0.3986535078964583,-0.3564910304060882,0.1493079990616936,-0.4290987129940417,3050010
0,100001.0,50,548,-0.0567350022834273,-0.1871425009933235,0.438491694969735,-0.1335559916029546,-0.5876596221186478,-1.0482677701564824,-0.980145528004988,0.1950589970501475,-1.3451850293548435,3050011
0,100001.0,50,409,-0.087401006923693,0.8375986441666438,-0.64829238099897,-0.8463694144360319,0.1853657996116503,-0.0688304014326821,-0.1327990150582272,0.158112976373345,-0.7460517177187521,3050012
0,100001.0,50,449,-0.0214489725267756,0.2367121347489471,-0.4552502036287341,-0.2255825362499917,0.0753382234273333,0.0670846831484189,-0.2353982646469785,0.1444482432148117,-0.2382582797044209,3050013
0,100001.0,50,417,-0.0548185478516537,0.4997704341911163,0.2953942527388996,-0.5163183520031043,0.0913378278623997,-0.5982156159280476,-0.1828797402034299,0.1593886001605611,-1.1324875686618363,3050014
0,100001.0,50,341,-0.0543242808446345,-0.2342068741013508,0.5729191957108646,-0.0947116972038886,-0.6156326551994704,-1.143397244042148,-0.5973735761778578,0.1820045182252005,-1.2881190481032585,3050015
0,100001.0,50,279,0.0248156200665012,-0.0771729269708406,0.2111208353965274,0.1479426186817458,0.1019439162225396,0.5094220950326274,-0.4919488061761017,0.1665953094524523,-0.9406539292102944,3050016
0,100001.0,50,430,-0.0501279897330788,0.2164371091102763,-0.1919683803146187,-0.3350126557081623,-0.149532031622386,-0.1407226055971742,-0.7145673929895098,0.1726922826546886,-0.8619964472332855,3050017
0,100001.0,50,385,-0.1175067358017994,0.213812942220295,1.0546478047390986,-0.6170348444378327,-0.633683430870666,-2.185501005185912,-1.10815032890169,0.1849376114081996,-1.1201192689839865,3050018
0,100001.0,50,347,-0.0356377731127054,0.0438371840118705,0.6341243132156733,-0.1748776012796971,-0.2122700511310319,-0.3005488886091207,-0.8338880993545286,0.1994729990761736,-1.4515381212762504,3050019
0,100001.0,50,413,-0.1434408936159595,0.6183263729974852,0.2942588864468176,-0.957711683725235,-0.4283060428335091,-2.086852535903868,-0.6159908911330894,0.1892085054880848,-1.3310133935347837,3050020
0,100001.0,50,454,-0.0050353654731736,0.223503656641656,-0.2580650329982233,-0.1487312400606945,0.1801201130820225,0.1105336683302349,-0.0545623743349619,0.1353174603174603,-0.1888651801876976,3050021
0,100001.0,50,405,0.0081802752756256,0.3399539752626818,-0.9146515252855986,-0.1594272639374631,0.387790486532328,0.7325706182908033,-0.0524492970987003,0.1434028835414763,-0.2448435741329867,3050022
0,100001.0,50,436,-0.0969075136355001,0.0140492722808107,1.838024523460312,-0.4171000683189875,-0.680505862987246,-2.731268416385462,-0.9830646212101288,0.2016198979591836,-1.660234859444194,3050023
0,100001.0,50,402,-0.1274853957297352,0.4927625917252631,1.276328838628384,-0.8185740573512875,-0.4353219295730079,-1.775519843896526,-0.9381173559835692,0.227183454026772,-2.185987796591536,3050024
0,100001.0,50,419,-0.1779597221268219,0.6771736442409587,2.399193462447925,-1.1370334617835187,-0.6187082927840545,-4.2210880406629,-0.5244285423317164,0.1954574179398535,-1.861286751465094,3050025
0,100001.0,50,447,-0.0700062858867262,0.4620535022581191,0.5518676777678102,-0.5591490061843802,-0.0544915721409128,-0.4202823657422701,-0.585823269444539,0.1636881009386995,-0.644994571896315,3050026
0,100001.0,50,409,-0.0872276086104764,-0.1780582838048688,1.1982878293767965,-0.2662901939963222,-0.7969055110152866,-2.3603356155622905,-0.6246862547475343,0.1928200767486481,-1.5658158982557373,3050027
0,100001.0,50,358,-0.0896695874157646,0.6801569739912177,-0.3128434068463608,-0.7653882127537192,0.0183612115757849,-0.2247809769591974,-0.6155435838202016,0.1438699683695134,-0.2661269931049301,3050028
0,100001.0,50,446,-0.0725559572163069,0.0313228400849049,1.2248986874323058,-0.3242566482343899,-0.4894598630213541,-1.138442271002747,-0.6015711413285347,0.1963960447567005,-1.5057525654959645,3050029
0,100001.0,50,474,-0.0237216357828809,0.0658370971818223,0.2078781857015857,-0.1378035175859749,-0.1063432394738244,-0.2975055985828471,0.2187915218653582,0.1289698736637512,-0.0506036835713823,3050030
0,100001.0,50,334,-0.0322935832361459,0.1651980210806953,1.0522057741700086,-0.2299783364185349,-0.0704542692905726,-0.336265008420843,-0.1913419345546501,0.1674621461487821,-0.9068282560548356,3050031
0,100001.0,50,392,-0.0364094814557199,0.3037539112176759,-0.8734296724996014,-0.3267227873807006,0.0336991205404949,0.0171194707414727,-0.1474437257772073,0.1594238197791679,-0.6193017760871544,3050032
0,100001.0,50,246,0.0577447350774809,-0.3238482165623916,0.499020482777578,0.4259604294087995,0.0955562901352328,1.9098817635667529,0.1218527235624701,0.1361287233339937,-0.5153411412063585,3050033
0,100001.0,50,362,-0.0264800701392918,0.1535755948016937,1.4118919570993802,-0.1990670982928938,-0.0404699867362676,-0.6337677460457626,-0.3181743342652247,0.1519206484989205,-0.9189710339499932,3050034
