start,end,N,SS,FayH,bsfs,TajD,ZngE,FulD,FerL,btree,Omega,Colless,path
0,100001.0,50,324,-0.1444277357595312,-2.4913333865277356,-0.565074843702284,0.4808062006725644,1.1402172261042882,-0.8809479026623169,-0.5873493892059148,-0.9450523932737648,0.1415364017947604,3120000
0,100001.0,50,377,-0.0307556394658451,-1.133037563654805,-0.4266333629580645,-0.2131398735508129,0.989644481405656,-0.0079250749091832,-0.202221122826915,-0.2486679977396154,0.1354396488325059,3120001
0,100001.0,50,354,-0.0124614417457629,-1.3292138195115082,-0.6557396599294427,-0.5841608082687695,1.183540911535704,0.2809079444544096,-0.0496966541996698,-0.1143960982410787,0.1279170608640807,3120002
0,100001.0,50,414,-0.0069907405497225,0.2137963619177936,0.1289602559923601,0.1848880810836873,-0.4298555458250014,-0.1349476570117185,0.6767840862717118,0.5251598474090301,0.1104032522099748,3120003
0,100001.0,50,449,0.064226586738662,0.8635152386307079,0.326785846200553,-0.1378220709155423,-0.0262483402621685,0.3498464120655329,0.0402599591228731,0.1031498695603708,0.124764799536836,3120004
0,100001.0,50,431,0.0121601019949699,-0.0091629299312705,-0.1871281968869655,-0.2833380707106908,0.2476477700344951,0.2129263808683151,0.3133095066351374,0.3534034254991628,0.1194564364207221,3120005
0,100001.0,50,525,0.0083538318107113,-0.1300231575271195,-0.1197617457400631,-0.1859882910936335,0.7149880982421593,0.141394058541934,-0.4357208594607853,0.034817724889482,0.1478333680410939,3120006
0,100001.0,50,445,-0.0588173192483241,-0.0391704588404559,0.3781427822202197,0.8263406853185099,0.1030031477738918,-0.7196422376616907,-0.2170295917930708,-0.1376080163762751,0.1328146258503401,3120007
0,100001.0,50,425,-0.0180609308282032,0.5319998206566664,0.4342800206984428,0.5822781915892081,-0.8525317569577094,-0.4083265214060027,0.1183921558953583,0.1415175110374419,0.1213770356627499,3120008
0,100001.0,50,418,0.0091455117595536,-0.6283019726535097,-0.3397188547072758,-0.4185456508443075,1.45609288657956,0.2773160685333203,0.1784675752196522,0.0999144633262217,0.1149509803921568,3120009
0,100001.0,50,563,-0.1309404070963326,-0.5071394885579315,-0.0029075772120979,0.9699370809424418,-0.2406449089233992,-1.1075756382155728,-0.8434939441530851,-0.3805315535033444,0.1599702380952381,3120010
0,100001.0,50,402,-0.0180369782294393,-0.4572187166665638,-0.2795369031338087,-0.1553094777134214,0.5028160408772939,0.0125500383270767,-0.0958627492380067,0.2342045038104344,0.1295616768875037,3120011
0,100001.0,50,345,-0.0805403312677145,-0.6266676067233476,-0.4527311886158514,0.1268526270319682,-0.4579111575157509,-0.4110358792331291,-0.5597271928529503,-0.6720270241954432,0.1591049171346391,3120012
0,100001.0,50,419,0.0286283031247496,0.7219837949269272,0.2177974583506196,0.0132265741052001,0.6671137869896898,0.1132338108502626,0.1081360159946462,0.0378123452610716,0.1226969954648526,3120013
