#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3020150.trees ../Simulation/Slim(primary)/trees/r3020151.trees ../Simulation/Slim(primary)/trees/r3020152.trees ../Simulation/Slim(primary)/trees/r3020153.trees ../Simulation/Slim(primary)/trees/r3020154.trees ../Simulation/Slim(primary)/trees/r3020155.trees ../Simulation/Slim(primary)/trees/r3020156.trees ../Simulation/Slim(primary)/trees/r3020157.trees ../Simulation/Slim(primary)/trees/r3020158.trees ../Simulation/Slim(primary)/trees/r3020159.trees ../Simulation/Slim(primary)/trees/r3020160.trees ../Simulation/Slim(primary)/trees/r3020161.trees ../Simulation/Slim(primary)/trees/r3020162.trees ../Simulation/Slim(primary)/trees/r3020163.trees ../Simulation/Slim(primary)/trees/r3020164.trees ../Simulation/Slim(primary)/trees/r3020165.trees ../Simulation/Slim(primary)/trees/r3020166.trees ../Simulation/Slim(primary)/trees/r3020167.trees ../Simulation/Slim(primary)/trees/r3020168.trees ../Simulation/Slim(primary)/trees/r3020169.trees ../Simulation/Slim(primary)/trees/r3020170.trees ../Simulation/Slim(primary)/trees/r3020171.trees ../Simulation/Slim(primary)/trees/r3020172.trees ../Simulation/Slim(primary)/trees/r3020173.trees ../Simulation/Slim(primary)/trees/r3020174.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/526350272.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,FulD,ZngE,FerL,TajD,bsfs,FayH,Colless,Omega,btree,path
0,100001.0,50,455,-0.1670372742048375,0.036885035063530976,-0.17226080334182287,-0.22082003121896643,-0.529386822057887,-0.03580082804773171,0.1744431643625192,-0.4152445891651464,-1.054368096456604,r3020150.trees
0,100001.0,50,385,0.17030624379273013,0.8179110487238318,-1.064007638977066,-0.222131113315075,-1.0596634740229636,-0.14179760190371676,0.1687538651824366,-0.7548489173271687,-1.078015122229139,r3020151.trees
0,100001.0,50,417,0.7215990617307357,-0.5446445690957373,0.31312103437742766,-0.5231219351963756,-0.6447227338305042,0.0005830898870319279,0.17790889361879722,-0.6541792738825767,-1.198418735535875,r3020152.trees
0,100001.0,50,377,-0.3451968260494588,0.2547431621153397,-0.2526031085125818,0.06467797541617118,0.11816242674258735,-0.02546993387748259,0.20713346688368597,-0.22040588156562832,-1.8527239725318911,r3020153.trees
0,100001.0,50,399,0.271552426026446,0.35775595875719424,-0.32279287060385164,0.14495730058032844,0.14002675133730563,-0.028160580848136784,0.1434441518542901,0.18725566726385437,-0.5292158245992179,r3020154.trees
0,100001.0,50,426,-0.40624528060188503,0.8522710795870606,-0.6702940090765812,0.5123670121870837,0.45684547993228586,-0.043647068085208296,0.14616670531849102,-0.02808949510983617,-0.6015262353551076,r3020155.trees
0,100001.0,50,425,1.3780292408145673,0.6851535672801772,-0.8360311665150528,-0.09240550469390929,-0.926595825885712,-0.10551302264307562,0.18364493448386066,-0.9129465762882245,-1.2995193763299933,r3020156.trees
0,100001.0,50,364,2.1178606300460543,-0.13283763379657398,-0.2111815472831704,-0.6165023576634304,-2.074492361390083,-0.06818359531771484,0.18076763079332453,-0.8923459778007464,-1.1558431022186828,r3020157.trees
0,100001.0,50,356,0.45195512209366423,0.20450999992939847,-0.4912806364636319,-0.43836623308531014,-0.9971332430827771,-0.08903547011453657,0.15557246290329,-0.45542611046822584,-0.737148666906793,r3020158.trees
0,100001.0,50,445,-1.0956195805757145,1.1023521023214813,-1.3815147793935514,-0.21059569666369918,-1.0705761299729002,-0.17828075066702703,0.18505412917855313,-0.8116061528764208,-1.3922356064554016,r3020159.trees
