#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3050225.trees ../Simulation/Slim(primary)/trees/r3050226.trees ../Simulation/Slim(primary)/trees/r3050227.trees ../Simulation/Slim(primary)/trees/r3050228.trees ../Simulation/Slim(primary)/trees/r3050229.trees ../Simulation/Slim(primary)/trees/r3050230.trees ../Simulation/Slim(primary)/trees/r3050231.trees ../Simulation/Slim(primary)/trees/r3050232.trees ../Simulation/Slim(primary)/trees/r3050233.trees ../Simulation/Slim(primary)/trees/r3050234.trees ../Simulation/Slim(primary)/trees/r3050235.trees ../Simulation/Slim(primary)/trees/r3050236.trees ../Simulation/Slim(primary)/trees/r3050237.trees ../Simulation/Slim(primary)/trees/r3050238.trees ../Simulation/Slim(primary)/trees/r3050239.trees ../Simulation/Slim(primary)/trees/r3050240.trees ../Simulation/Slim(primary)/trees/r3050241.trees ../Simulation/Slim(primary)/trees/r3050242.trees ../Simulation/Slim(primary)/trees/r3050243.trees ../Simulation/Slim(primary)/trees/r3050244.trees ../Simulation/Slim(primary)/trees/r3050245.trees ../Simulation/Slim(primary)/trees/r3050246.trees ../Simulation/Slim(primary)/trees/r3050247.trees ../Simulation/Slim(primary)/trees/r3050248.trees ../Simulation/Slim(primary)/trees/r3050249.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/357883282.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,ZngE,FayH,TajD,FulD,FerL,bsfs,btree,Omega,Colless,path
0,100001.0,50,336,-0.10301234858138691,-0.09819332450484325,-0.801847922519612,1.9507289530799978,-0.3538750490938929,-2.9248001244417465,-1.5356293852431715,-0.7840115709548201,0.18955013512254215,r3050225.trees
0,100001.0,50,310,1.0472204939161385,-0.2366085572840874,-0.6723575870219765,-0.37668951966159164,-1.5905151181589696,-2.1763023315181225,-1.316504857866007,-0.6874268890678134,0.18404509952129,r3050226.trees
0,100001.0,50,326,0.24935615458028237,-0.00540918791133233,0.2034782915944603,0.6142200915265483,-0.16503571362871106,0.36090218487536424,-0.07441608406995708,-0.016680036681029218,0.1291203981592637,r3050227.trees
0,100001.0,50,390,0.5689728662440722,-0.17203611622391293,-0.679944549298287,-0.10180747277526456,-1.0495328337774312,-2.0648924435244926,-1.683329672844515,-0.797692109094004,0.2165079365079365,r3050228.trees
0,100001.0,50,452,0.589497081797089,-0.03504509315308284,0.3191749343242186,-0.7691455766631091,-0.48420702406605687,0.14121822070541135,-0.5349964193489071,0.036349842867577115,0.14965986394557823,r3050229.trees
0,100001.0,50,322,0.14969686682533803,-0.006662005657612486,0.09778411897943307,0.15756484431024184,-0.11341430425842129,-0.13135491003652108,-0.4149572072659006,0.13617857210175016,0.12986724540562494,r3050230.trees
0,100001.0,50,471,0.5647931622950355,-0.13563812489465182,-0.42587958387572694,0.23017684079923625,-0.895301946606636,-1.033336720417535,-1.2519451500670362,-0.8080117787626343,0.19180253623188404,r3050231.trees
0,100001.0,50,421,-0.08160951491093694,-0.02055894435718377,-0.22621939616987827,0.8594146321253265,-0.0401927510339661,-0.30739642312634013,-0.7606584784484653,-0.3150739455094051,0.16167899908501412,r3050232.trees
0,100001.0,50,345,0.03847860781434323,-0.09586316355971228,-0.6480300160580009,1.4285775161637921,-0.42503297272050083,-3.3500279878202543,-0.6209720681787645,-0.12223361889244294,0.14131843213475864,r3050233.trees
0,100001.0,50,383,0.9244822344352643,-0.15617208172728583,-0.221625695905084,0.4589136414672133,-1.185313607121625,-0.969619155725694,-0.9632895181352944,-0.3488491319815952,0.17716629334660694,r3050234.trees
0,100001.0,50,461,0.5503412234493913,-0.056290373741130245,0.12893492660463324,-0.7542240754704941,-0.5516651131629252,-0.018284218644845415,-0.2705912856383629,0.007700965313317664,0.1422918599257885,r3050235.trees
0,100001.0,50,376,0.5901552995960936,-0.022348908396209236,0.41212610165177754,-0.534178389150404,-0.43081756059990545,0.6262364005426303,0.32556731358239616,0.13128661003602063,0.11313388991960421,r3050236.trees
0,100001.0,50,484,0.9432170669465807,-0.12493132579284237,0.016380051252537844,-1.5182869941499364,-1.0660198872729791,-0.3985612787326412,-0.1563602462701154,-0.02955248834925251,0.13995653817082387,r3050237.trees
0,100001.0,50,443,0.842556091580823,-0.10266183068764761,0.07980972361505298,0.9878900833861203,-0.9140082104293045,-1.1046235376176987,-1.0250448781689252,-0.017928929012581463,0.15974429972994222,r3050238.trees
0,100001.0,50,385,-0.05665457463249475,-0.06638099811961301,-0.5299165027255482,0.5932522077236021,-0.24734170207170467,-1.210996287886515,-2.2427249285075708,-0.49277105087988915,0.21002909834454014,r3050239.trees
0,100001.0,50,474,0.057257258936245295,-0.007657885425404518,0.00048183480392484645,0.8019889631961169,-0.06501686694242138,-0.19531585827863063,0.08797042070401044,-0.016832642834644394,0.12308771434841219,r3050240.trees
0,100001.0,50,476,0.7545118322526978,-0.06713433116377536,0.24837786190345065,-0.11821536340277804,-0.7140136006386955,0.009073132821467366,-1.082087792289827,-0.3352054841496483,0.18099754025904147,r3050241.trees
