#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3020025.trees ../Simulation/Slim(primary)/trees/r3020026.trees ../Simulation/Slim(primary)/trees/r3020027.trees ../Simulation/Slim(primary)/trees/r3020028.trees ../Simulation/Slim(primary)/trees/r3020029.trees ../Simulation/Slim(primary)/trees/r3020030.trees ../Simulation/Slim(primary)/trees/r3020031.trees ../Simulation/Slim(primary)/trees/r3020032.trees ../Simulation/Slim(primary)/trees/r3020033.trees ../Simulation/Slim(primary)/trees/r3020034.trees ../Simulation/Slim(primary)/trees/r3020035.trees ../Simulation/Slim(primary)/trees/r3020036.trees ../Simulation/Slim(primary)/trees/r3020037.trees ../Simulation/Slim(primary)/trees/r3020038.trees ../Simulation/Slim(primary)/trees/r3020039.trees ../Simulation/Slim(primary)/trees/r3020040.trees ../Simulation/Slim(primary)/trees/r3020041.trees ../Simulation/Slim(primary)/trees/r3020042.trees ../Simulation/Slim(primary)/trees/r3020043.trees ../Simulation/Slim(primary)/trees/r3020044.trees ../Simulation/Slim(primary)/trees/r3020045.trees ../Simulation/Slim(primary)/trees/r3020046.trees ../Simulation/Slim(primary)/trees/r3020047.trees ../Simulation/Slim(primary)/trees/r3020048.trees ../Simulation/Slim(primary)/trees/r3020049.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/109655144.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,FerL,FulD,ZngE,bsfs,TajD,FayH,Omega,btree,Colless,path
0,100001.0,50,461,-0.1404854593837553,0.3065901470488055,-0.05064598155798192,-0.7476691132558152,-0.3362225974121162,-0.040088121728719034,-0.5650491077666583,-1.0350641769516493,0.17223084886128365,r3020025.trees
0,100001.0,50,312,-0.08646073252791922,1.2626922027106566,0.012006720944552875,-0.4274242322362941,-0.1238394036504925,-0.018970880659830887,-0.10043686580409959,-0.05452722682818538,0.125960456124896,r3020026.trees
0,100001.0,50,331,-0.5879881588325888,0.912760294391266,0.5006817833312901,-0.9039406592932919,-0.028061651608157136,-0.0719397595694399,-0.15062127679417284,-0.5639109776457644,0.13442302847064752,r3020027.trees
0,100001.0,50,434,-0.6982613640181028,0.8034640778380567,0.2651771694348353,-1.8354645035120947,-0.6715430428383858,-0.12959084544487193,-0.3032941654147707,-1.9420769839291918,0.2044637475243262,r3020028.trees
0,100001.0,50,459,-0.16465577130355072,0.16084425160110505,-0.12185949786095306,-0.9269170237900534,-0.5149833377619304,-0.05542504994663871,-0.4324093706446835,-1.6357791279721348,0.21302018459966146,r3020029.trees
0,100001.0,50,404,-0.5958172129122139,-0.17569986492374282,0.6087049428165492,-0.20196391994588594,0.1674595890263373,-0.05895867729171795,-0.17883407659161474,-0.25911920888601325,0.13469601677148849,r3020030.trees
0,100001.0,50,384,-0.45805231970586635,0.5648057855892675,0.1704308878890845,-0.9633953815557923,-0.4477295773238338,-0.08564869203367512,-0.7629119267864327,-1.5116336362913985,0.18431533903884134,r3020031.trees
0,100001.0,50,420,-1.4473859128656297,1.2572005147542396,0.9462764827625344,-4.345756285535114,-0.6244200206244737,-0.21513317210456268,-0.6059149816233644,-1.2636738086366839,0.16429441094619668,r3020032.trees
0,100001.0,50,407,-0.692004306744699,0.3470906561372926,0.5271033978253654,-0.6320413008469371,-0.15391326553704737,-0.09280131809612867,-0.4218473059985365,-0.44469996412596713,0.14047052154195014,r3020033.trees
0,100001.0,50,414,-1.2956142556967392,0.03519157185588669,0.87858469185176,-1.2783471337384353,-0.49789697654377535,-0.18835029089042424,-1.0271521232753176,-1.8020996139724246,0.2193165224204865,r3020034.trees
