#/opt/anaconda3/envs/sweep312/bin/bim ../Simulation/Slim(primary)/trees/r3030000.trees ../Simulation/Slim(primary)/trees/r3030001.trees ../Simulation/Slim(primary)/trees/r3030002.trees ../Simulation/Slim(primary)/trees/r3030003.trees ../Simulation/Slim(primary)/trees/r3030004.trees ../Simulation/Slim(primary)/trees/r3030005.trees ../Simulation/Slim(primary)/trees/r3030006.trees ../Simulation/Slim(primary)/trees/r3030007.trees ../Simulation/Slim(primary)/trees/r3030008.trees ../Simulation/Slim(primary)/trees/r3030009.trees ../Simulation/Slim(primary)/trees/r3030010.trees ../Simulation/Slim(primary)/trees/r3030011.trees ../Simulation/Slim(primary)/trees/r3030012.trees ../Simulation/Slim(primary)/trees/r3030013.trees ../Simulation/Slim(primary)/trees/r3030014.trees ../Simulation/Slim(primary)/trees/r3030015.trees ../Simulation/Slim(primary)/trees/r3030016.trees ../Simulation/Slim(primary)/trees/r3030017.trees ../Simulation/Slim(primary)/trees/r3030018.trees ../Simulation/Slim(primary)/trees/r3030019.trees ../Simulation/Slim(primary)/trees/r3030020.trees ../Simulation/Slim(primary)/trees/r3030021.trees ../Simulation/Slim(primary)/trees/r3030022.trees ../Simulation/Slim(primary)/trees/r3030023.trees ../Simulation/Slim(primary)/trees/r3030024.trees 50 --stat=all --eta=../Simulation/Slim(primary)/etas/Fn.json --out=outs/906620970.csv --r2t=0.005 --r2s=0.001 --weights=split
start,end,N,SS,TajD,FerL,FayH,FulD,ZngE,bsfs,btree,Colless,Omega,path
0,100001.0,50,360,-0.21098380263950328,-2.185373386448628,-0.27441774790207607,0.12272195096542048,1.8062372434079674,-2.039115420982045,-0.7646215280799955,0.13858722060252673,-0.29763329645480063,r3030000.trees
0,100001.0,50,431,-0.912213077704681,-0.8584103253886214,-0.1653758201081376,0.7975709083708805,0.2812507287535904,-3.196269960292194,-1.0488949355570676,0.16574848024316108,-0.528724886519573,r3030001.trees
0,100001.0,50,303,-1.3744988218283714,-1.3965100673229391,-0.2627449057181447,0.6659167654218474,0.516139814395958,-4.413970010105762,-2.1578236512152635,0.2187033349925336,-1.0267218396608544,r3030002.trees
0,100001.0,50,281,-0.6432750079502108,-1.3625172243094135,-0.20779954063148762,0.711789248248339,0.862603313052179,-2.788971034632403,-1.8191882621421471,0.21272330070239476,-0.9177109868421326,r3030003.trees
0,100001.0,50,320,-0.9967971029956435,-1.616219571326123,-0.2622363071852484,-0.005713323005572769,0.9026919175402078,-3.395880109411389,-2.269031891596077,0.21953046953046954,-1.613238193097441,r3030004.trees
0,100001.0,50,412,-1.1131161829452951,-1.8467266865332115,-0.29666104619661,1.5969937178086957,1.0439839623938523,-4.71535442597778,-2.5759984777212313,0.26872760938695006,-0.9834191985943515,r3030005.trees
0,100001.0,50,326,-1.000646060234575,-1.2394602719697378,-0.21756955821136742,0.704928349128281,0.570589142477628,-3.572557978158112,-1.8113238543275285,0.2103031860226105,-1.2485334766785288,r3030006.trees
0,100001.0,50,398,-1.2253679104285868,-1.316718787838493,-0.24177874942513394,1.2477448169777172,0.5215833385082796,-4.505896991256424,-2.429215933726905,0.23157081014223874,-1.2980421926431236,r3030007.trees
0,100001.0,50,335,-1.8070053237679335,-2.3723943224063686,-0.4086796330118982,1.8780298412957495,1.1477123713353705,-5.344441137416001,-2.4646328697327955,0.24865079365079368,-1.1573771638507233,r3030008.trees
0,100001.0,50,401,-0.8136325407674416,-0.8225242693113326,-0.15438349644809748,0.2168673219372114,0.3009321207503764,-2.048920089967111,-1.5199734452096114,0.20182797045198447,-0.8247963671516043,r3030009.trees
