start,end,N,SS,ZngE,FerL,FulD,bsfs,TajD,FayH,Colless,btree,Omega,path
45000,55000,50.0,4.857142857142857,0.7731980315509352,-0.6435956741544036,-0.10159718040772946,0.02758118676889611,0.6353794796494361,-0.36396606962929184,0.16683336032825824,-0.8248584626674735,-0.537565502740593,3050000
45000,55000,50.0,3.4285714285714284,0.09337176300674752,-0.023880788133991335,-0.025633879200032995,0.015552859541850641,0.19897677243895756,0.05046144576991114,0.1403054475758557,-0.16153271672170716,-0.13904263013424248,3050001
45000,55000,50.0,3.380952380952381,-0.20891559084410863,0.32443798367199655,0.8042818128936664,0.012705641088675876,0.17847886379357542,0.161368862584633,0.11033307880975517,0.292684793775228,0.22466339840878485,3050002
45000,55000,50.0,4.0476190476190474,-0.3680340542175224,0.3217801100632948,1.406497476374213,-0.0014348822391940556,-0.2748373313182487,0.027717172243578704,0.1191461505237015,0.1438478959099926,0.4769795955834403,3050003
45000,55000,50.0,3.761904761904762,0.8115098802506339,-0.7556571830352937,-1.425170154282342,0.003521501092258632,0.49672487592770337,-0.21876788243462503,0.14209453622718926,-0.22498536935928654,-0.14183037161673312,3050004
45000,55000,50.0,4.619047619047619,-0.06727417750350644,0.2109792566786886,-0.12613878767557443,0.030107608681019228,0.2807371402100233,0.1150553338875183,0.14071846992765355,-0.5622922563716052,1.1648284360347825,3050005
45000,55000,50.0,2.8095238095238093,0.4809364036588928,-0.7405186433500159,1.8282194415954538,-0.04910407145783053,-0.3692701573172357,-0.29337812136361446,0.2515555825504805,-1.5181540704883791,-1.5158675385035079,3050006
45000,55000,50.0,5.714285714285714,0.2324419683233429,-0.40350512108175784,0.019035521492676045,-0.026747341012951054,-0.26667454402740115,-0.14781533598013036,0.17890852769679297,-0.8420334235031878,-0.10887608923864318,3050007
45000,55000,50.0,3.8095238095238093,-0.4319629482653382,0.35618189669579975,-0.8201294355763233,0.001061965517374153,-0.37422152573710965,0.0741501557285382,0.293415262930569,-1.5033065239258172,-1.7412166318868425,3050008
45000,55000,50.0,1.8095238095238095,-0.5414387916044768,0.25532523687954156,1.884690087623913,-0.02940837695315624,-0.9649438684625893,0.07013600581991103,0.2268113594644207,-1.1900622764199886,-1.9969744932013755,3050009
45000,55000,50.0,3.238095238095238,0.8003130751448215,-0.4854809543090428,-0.31911774884610294,0.04752766316389884,1.0410204986161884,-0.02842044420764306,0.10870586329769998,0.21669019009267138,0.8198075587562179,3050010
45000,55000,50.0,6.380952380952381,-0.07415561284826881,-0.049702261040744086,-0.5548881882969597,-0.008801714907568502,-0.31364926947432686,-0.029491104758055033,0.13507315624662558,-0.14718388186411083,0.40825860210573867,3050011
45000,55000,50.0,5.761904761904762,0.719369588029207,-0.8051086164894736,0.14301231495313113,-0.011412342151570087,0.12009596905189229,-0.17767669485807622,0.205122624446604,-0.9516413729085862,-0.8620983021776036,3050012
