start,end,N,SS,FerL,TajD,FulD,FayH,bsfs,ZngE,btree,Colless,Omega,path
45000,55000,50.0,2.857142857142857,-0.2702034275750135,-0.3343288506062985,0.5163262266199355,0.013587192835218411,-0.032544955023030564,0.10266454449151638,-0.4094401918043798,0.14393356548968786,-1.0288730388518192,3120000
45000,55000,50.0,2.7142857142857144,0.02720179893672274,-0.4158278161564212,-0.0325224672707713,-0.17033360780621265,-0.010490016701610098,-0.17306747166131467,0.31564007301810665,0.12563100637080224,-0.3618810203897026,3120001
45000,55000,50.0,2.8095238095238093,0.2835288029420401,-0.8722067112595677,1.942683340162843,-0.09190108671213823,-0.031647592183443374,-0.5435100715386052,-0.7210097412196765,0.16992292948925597,-1.3845584354828315,3120002
45000,55000,50.0,3.1904761904761907,-0.22309463401276505,-0.2492017757938791,-0.9428166456702212,-0.07596532084449886,-0.010579948969150252,0.09488834992377289,-0.08473888154985317,0.14706160241874522,-0.26104623378497327,3120003
45000,55000,50.0,4.142857142857143,0.022085222756421875,-0.051694255826636955,0.006025141218533946,0.05878559036642393,0.004614601467848022,-0.03810017135620805,0.018832230371836838,0.1210249973005075,-0.4931425817240286,3120004
45000,55000,50.0,5.428571428571429,-0.07897477465667813,-0.47119970833299984,0.3952223171986081,-0.030571503235607873,-0.02662143343609151,-0.10209311896872648,-0.4135347071285178,0.14130291005291,0.17562535052140266,3120005
45000,55000,50.0,4.714285714285714,0.1565337273293762,-0.03562788434028533,1.2710518869296938,0.039152836866358565,0.0026859416833782657,-0.14735683553557644,-0.32956773944052986,0.1423138699924414,-0.04044145506721236,3120006
45000,55000,50.0,3.619047619047619,-0.30675208186038416,0.08812701269780325,-0.6733371153009845,-0.40007671924983307,-8.648848374541507e-05,0.2803523147142686,-0.04936238669790592,0.12285930245113914,-0.2771764960994507,3120007
45000,55000,50.0,4.571428571428571,-0.3929416095427537,-0.13961101440164342,-0.5492767446569677,-0.1053282379689848,-0.008059967983069377,0.27902133990280836,-0.3840418463662539,0.1562169312169312,-0.5087073671400367,3120008
45000,55000,50.0,5.285714285714286,0.28649710403325446,-0.16868904021472705,1.0333292186220697,0.07166191745874399,-0.001029236666355128,-0.3035087512866423,0.10206585053799679,0.10817203865673249,-0.30066767276095274,3120009
