start,end,N,SS,FerL,ZngE,FayH,bsfs,FulD,TajD,Colless,Omega,btree,path
45000,55000,50.0,2.9523809523809526,0.4042998107493534,-0.41609136731621044,0.14677206797929776,0.0079353208021793,0.4701062050695718,-0.23952870853590572,0.1028209696577043,0.4641245084146243,0.4413737194373911,3110000
45000,55000,50.0,4.190476190476191,-0.5848219996183451,0.45242265809861576,-0.15659119167112773,-0.013930484477357213,0.11038486427326341,-0.09842970695957713,0.13106980887593128,-0.6838523177803789,-0.09730664248750873,3110001
45000,55000,50.0,5.142857142857143,0.3505449441207234,-0.2452092170581956,0.13812599441632525,0.025659188741083538,0.21084086944057262,0.12256881034769915,0.14820956160241872,0.16502822744566012,-0.19547107209780312,3110002
45000,55000,50.0,3.4285714285714284,-0.007612736767468658,0.009748553979993862,-0.04149054193038338,0.0089000012974081,1.692779603045309,-0.042763219233824944,0.11667004103228587,0.3391858811299864,0.3024939714748502,3110003
45000,55000,50.0,4.619047619047619,0.23140500024565516,-0.22003380393785849,0.053680050097668915,0.008636643518439272,0.8515683184142189,-0.09144965299608135,0.14017587193607597,0.2197030716839965,-0.274934336257045,3110004
45000,55000,50.0,5.904761904761905,-0.5337480880729623,0.36312049676922586,-0.1928299495753315,-0.02274646916545416,0.5599283408913516,-0.21371926601072921,0.11406406666975176,-0.1504051521835491,0.11987745985528575,3110005
45000,55000,50.0,4.0476190476190474,0.2794654184063372,-0.1766805818639423,0.15066850739628157,0.024328852906077406,-1.2246145853033508,0.14126860312024336,0.1082860922146636,0.45528551316655325,0.6337916732351533,3110006
45000,55000,50.0,6.857142857142857,0.11857963557174818,-0.06206248177223694,0.06879275320863433,0.02928394959083028,-0.048508460603088346,0.03219517819054383,0.10019166396717412,0.6542262356355018,0.3125519796455965,3110007
45000,55000,50.0,3.857142857142857,-0.24439691394005428,0.4539629896007171,-0.04412986319268005,0.030846195402062834,0.26056494453568696,0.688233030194013,0.12439058956916096,0.46054927094264725,0.34273133089583274,3110008
45000,55000,50.0,4.904761904761905,0.23747252940721214,-0.1491903149299334,0.07619892383942586,0.0182176784959227,0.42364770246787664,0.12618115253400633,0.11369134388449254,0.20107427635065583,0.28051912817369873,3110009
