"scenario","file","tree_index","left","right","mid","distance"
"s=0.02F=0.5","r3020000",74,39537,39842,39689.5,4600375.47739239
"s=0.02F=0.5","r3020000",75,39842,40038,39940,4239813.73539343
"s=0.02F=0.5","r3020000",76,40038,40529,40283.5,4043128.21239013
"s=0.02F=0.5","r3020000",77,40529,41470,40999.5,3991280.31549642
"s=0.02F=0.5","r3020000",78,41470,41540,41505,4280364.24667229
"s=0.02F=0.5","r3020000",79,41540,41612,41576,4477939.49937967
"s=0.02F=0.5","r3020000",80,41612,41624,41618,4476239.44774312
"s=0.02F=0.5","r3020000",81,41624,43445,42534.5,4346502.43541239
"s=0.02F=0.5","r3020000",82,43445,43495,43470,4029333.8839013
"s=0.02F=0.5","r3020000",83,43495,44034,43764.5,3863147.11655563
"s=0.02F=0.5","r3020000",84,44034,44141,44087.5,4189015.20307041
"s=0.02F=0.5","r3020000",85,44141,45005,44573,4208054.39064947
"s=0.02F=0.5","r3020000",86,45005,45572,45288.5,4112266.01494285
"s=0.02F=0.5","r3020000",87,45572,45969,45770.5,5707286.67500266
"s=0.02F=0.5","r3020000",88,45969,46361,46165,6434858.45277439
"s=0.02F=0.5","r3020000",89,46361,46554,46457.5,6407358.03019197
"s=0.02F=0.5","r3020000",90,46554,46934,46744,4954826.6884893
"s=0.02F=0.5","r3020000",91,46934,47990,47462,4892256.68725515
"s=0.02F=0.5","r3020000",92,47990,48593,48291.5,5430093.0323303
"s=0.02F=0.5","r3020000",93,48593,49332,48962.5,5137516.14573641
"s=0.02F=0.5","r3020000",94,49332,49658,49495,5025012.55881315
"s=0.02F=0.5","r3020000",95,49658,50445,50051.5,5263696.24608955
"s=0.02F=0.5","r3020000",96,50445,50470,50457.5,5070696.46577874
"s=0.02F=0.5","r3020000",97,50470,51678,51074,4961608.75443963
"s=0.02F=0.5","r3020000",98,51678,51976,51827,5301622.63992662
"s=0.02F=0.5","r3020000",99,51976,52518,52247,5230714.46771675
"s=0.02F=0.5","r3020000",100,52518,52895,52706.5,5244423.82076925
"s=0.02F=0.5","r3020000",101,52895,52944,52919.5,5276536.56199036
"s=0.02F=0.5","r3020000",102,52944,53099,53021.5,5330664.02087168
"s=0.02F=0.5","r3020000",103,53099,53402,53250.5,5657807.99515327
"s=0.02F=0.5","r3020000",104,53402,53671,53536.5,7345420.16966261
"s=0.02F=0.5","r3020000",105,53671,54061,53866,7283743.13387842
"s=0.02F=0.5","r3020000",106,54061,55205,54633,7295670.57666602
"s=0.02F=0.5","r3020000",107,55205,55337,55271,6736172.98361662
"s=0.02F=0.5","r3020000",108,55337,55617,55477,7295670.57666602
"s=0.02F=0.5","r3020000",109,55617,55788,55702.5,6935299.82489905
"s=0.02F=0.5","r3020000",110,55788,55923,55855.5,7275417.15434799
"s=0.02F=0.5","r3020000",111,55923,55944,55933.5,7243142.33065329
"s=0.02F=0.5","r3020000",112,55944,56054,55999,7773405.87874603
"s=0.02F=0.5","r3020000",113,56054,56100,56077,8593476.41887453
"s=0.02F=0.5","r3020000",114,56100,56213,56156.5,6588381.16699201
"s=0.02F=0.5","r3020000",115,56213,56436,56324.5,6918165.90405961
"s=0.02F=0.5","r3020000",116,56436,56732,56584,6330876.29945371
"s=0.02F=0.5","r3020000",117,56732,56862,56797,5073422.86494554
"s=0.02F=0.5","r3020000",118,56862,57553,57207.5,4941780.24673194
"s=0.02F=0.5","r3020000",119,57553,58255,57904,4878326.36322141
"s=0.02F=0.5","r3020000",120,58255,60057,59156,4918963.0330785
"s=0.02F=0.5","r3020000",121,60057,60236,60146.5,4625689.33358786
"s=0.02F=0.5","r3020000",122,60236,60744,60490,4633245.35059318
"s=0.02F=0.5","r3020000",123,60744,60757,60750.5,4951416.65748726
"s=0.02F=0.5","r3020000",124,60757,61973,61365,4743457.45699626
"s=0.02F=0.5","r3020000",125,61973,63171,62572,4535681.39672189
"s=0.02F=0.5","r3020000",126,63171,63574,63372.5,4281168.18387063
"s=0.02F=0.5","r3020000",127,63574,64726,64150,4285190.59924786
"s=0.02F=0.5","r3020000",128,64726,64903,64814.5,4739323.39148869
"s=0.02F=0.5","r3020000",129,64903,66029,65466,3778279.79965125
"s=0.02F=0.5","r3020000",130,66029,66906,66467.5,3964073.92696532
"s=0.02F=0.5","r3020000",131,66906,69022,67964,3797945.89664528
"s=0.02F=0.5","r3020000",132,69022,69996,69509,3873134.5534613
"s=0.02F=0.5","r3020000",133,69996,70643,70319.5,3867111.08131853
"s=0.02F=0.5","r3020000",134,70643,71926,71284.5,3887341.84416476
"s=0.02F=0.5","r3020000",135,71926,72404,72165,3891359.83073364
"s=0.02F=0.5","r3020000",136,72404,73304,72854,3856840.75771531
"s=0.02F=0.5","r3020000",137,73304,74174,73739,3856647.51677125
"s=0.02F=0.5","r3020000",138,74174,74809,74491.5,4102226.88811527
"s=0.02F=0.5","r3020000",139,74809,75341,75075,4133819.00876241
"s=0.02F=0.5","r3020000",140,75341,75345,75343,4374478.41274311
"s=0.02F=0.5","r3020000",141,75345,77134,76239.5,4439488.92530561
"s=0.02F=0.5","r3020000",142,77134,77322,77228,4546259.01212888
"s=0.02F=0.5","r3020000",143,77322,77939,77630.5,4450321.41654278
"s=0.02F=0.5","r3020000",144,77939,79470,78704.5,4624910.86212049
"s=0.02F=0.5","r3020000",145,79470,80401,79935.5,4331599.16957884
"s=0.02F=0.5","r3020000",146,80401,81332,80866.5,4653111.55052929
"s=0.02F=0.5","r3020000",147,81332,83136,82234,4541484.81694784
"s=0.02F=0.5","r3020000",148,83136,84137,83636.5,4354655.89098078
"s=0.02F=0.5","r3020000",149,84137,84538,84337.5,4174720.44857406
"s=0.02F=0.5","r3020000",150,84538,85021,84779.5,4489933.85490347
"s=0.02F=0.5","r3020000",151,85021,85222,85121.5,4661675.32125466
"s=0.02F=0.5","r3020000",152,85222,85421,85321.5,4597762.19620449
"s=0.02F=0.5","r3020000",153,85421,85583,85502,4710327.62445603
"s=0.02F=0.5","r3020000",154,85583,85873,85728,4519503.77295471
"s=0.02F=0.5","r3020000",155,85873,86084,85978.5,4136610.48277241
"s=0.02F=0.5","r3020000",156,86084,86354,86219,3940866.99392781
"s=0.02F=0.5","r3020000",157,86354,87536,86945,3976997.62720278
"s=0.02F=0.5","r3020000",158,87536,89407,88471.5,3863234.6594727
"s=0.02F=0.5","r3020000",159,89407,89629,89518,3855267.60938454
"s=0.02F=0.5","r3020000",160,89629,89960,89794.5,4514625.3337269
"s=0.02F=0.5","r3020000",161,89960,91153,90556.5,3945171.78771164
"s=0.02F=0.5","r3020000",162,91153,91684,91418.5,3919388.50917794
"s=0.02F=0.5","r3020000",163,91684,92103,91893.5,4178349.26986353
"s=0.02F=0.5","r3020000",164,92103,92117,92110,3964896.74481609
"s=0.02F=0.5","r3020000",165,92117,92273,92195,4019951.42713694
"s=0.02F=0.5","r3020000",166,92273,92430,92351.5,4033719.06964857
"s=0.02F=0.5","r3020000",167,92430,93922,93176,3956073.04354223
"s=0.02F=0.5","r3020000",168,93922,94067,93994.5,3958052.22189013
"s=0.02F=0.5","r3020000",169,94067,94605,94336,3922291.74260933
"s=0.02F=0.5","r3020000",170,94605,94682,94643.5,3832470.17455825
"s=0.02F=0.5","r3020000",171,94682,95097,94889.5,4097269.9506366
"s=0.02F=0.5","r3020000",172,95097,95739,95418,4232442.62129909
"s=0.02F=0.5","r3020000",173,95739,95801,95770,4380701.12479663
