"scenario","file","tree_index","left","right","mid","distance"
"Neutral_latter_half_FW","r3000250",72,31541,33121,32331,2630122.79035374
"Neutral_latter_half_FW","r3000250",73,33121,33358,33239.5,2766565.02285253
"Neutral_latter_half_FW","r3000250",74,33358,33432,33395,2766013.53446826
"Neutral_latter_half_FW","r3000250",75,33432,33569,33500.5,2974857.86905492
"Neutral_latter_half_FW","r3000250",76,33569,34469,34019,3003087.5713688
"Neutral_latter_half_FW","r3000250",77,34469,35118,34793.5,3003520.74452533
"Neutral_latter_half_FW","r3000250",78,35118,37478,36298,2999604.26286345
"Neutral_latter_half_FW","r3000250",79,37478,37605,37541.5,2959870.89393635
"Neutral_latter_half_FW","r3000250",80,37605,37877,37741,2839706.54569843
"Neutral_latter_half_FW","r3000250",81,37877,38312,38094.5,2665018.74083527
"Neutral_latter_half_FW","r3000250",82,38312,38786,38549,2668935.22249715
"Neutral_latter_half_FW","r3000250",83,38786,39906,39346,2485168.42082851
"Neutral_latter_half_FW","r3000250",84,39906,41890,40898,2453669.18109598
"Neutral_latter_half_FW","r3000250",85,41890,42605,42247.5,2480032.53698688
"Neutral_latter_half_FW","r3000250",86,42605,43083,42844,2774439.19882525
"Neutral_latter_half_FW","r3000250",87,43083,43362,43222.5,2764455.24325736
"Neutral_latter_half_FW","r3000250",88,43362,44270,43816,3108576.76922374
"Neutral_latter_half_FW","r3000250",89,44270,48179,46224.5,3086503.4495514
"Neutral_latter_half_FW","r3000250",90,48179,49691,48935,2873173.17633406
"Neutral_latter_half_FW","r3000250",91,49691,50503,50097,2910793.97993093
"Neutral_latter_half_FW","r3000250",92,50503,51140,50821.5,2888236.4499428
"Neutral_latter_half_FW","r3000250",93,51140,51422,51281,2874518.22055056
"Neutral_latter_half_FW","r3000250",94,51422,52061,51741.5,2956070.66291516
"Neutral_latter_half_FW","r3000250",95,52061,53723,52892,2992146.84521901
"Neutral_latter_half_FW","r3000250",96,53723,54105,53914,3029385.04914741
"Neutral_latter_half_FW","r3000250",97,54105,54500,54302.5,3071402.23658906
"Neutral_latter_half_FW","r3000250",98,54500,55779,55139.5,3034242.05428521
"Neutral_latter_half_FW","r3000250",99,55779,56866,56322.5,3072367.24592825
"Neutral_latter_half_FW","r3000250",100,56866,58422,57644,3430353.7172071
"Neutral_latter_half_FW","r3000250",101,58422,58481,58451.5,3179277.92384482
"Neutral_latter_half_FW","r3000250",102,58481,59687,59084,2741125.04191344
"Neutral_latter_half_FW","r3000250",103,59687,61396,60541.5,2688294.07548025
"Neutral_latter_half_FW","r3000250",104,61396,62960,62178,3513594.15991696
"Neutral_latter_half_FW","r3000250",105,62960,62984,62972,3530113.33683643
"Neutral_latter_half_FW","r3000250",106,62984,63392,63188,3557322.72099204
"Neutral_latter_half_FW","r3000250",107,63392,63917,63654.5,3677646.76846562
"Neutral_latter_half_FW","r3000250",108,63917,65121,64519,3656782.16775269
"Neutral_latter_half_FW","r3000250",109,65121,66108,65614.5,3691144.17082853
"Neutral_latter_half_FW","r3000250",110,66108,66349,66228.5,3747893.82577868
"Neutral_latter_half_FW","r3000250",111,66349,66683,66516,3838750.87548719
"Neutral_latter_half_FW","r3000250",112,66683,67202,66942.5,4097649.89634592
