"scenario","file","tree_index","left","right","mid","distance"
"s=0.01F=0.75","r3060000",0,0,1076,538,658.474231697684
"s=0.01F=0.75","r3060000",1,1076,1481,1278.5,817.122961450386
"s=0.01F=0.75","r3060000",2,1481,1494,1487.5,817.021783902162
"s=0.01F=0.75","r3060000",3,1494,1623,1558.5,902.260803751963
"s=0.01F=0.75","r3060000",4,1623,2916,2269.5,944.288955310448
"s=0.01F=0.75","r3060000",5,2916,3408,3162,944.288955310448
"s=0.01F=0.75","r3060000",6,3408,4229,3818.5,950.517060309398
"s=0.01F=0.75","r3060000",7,4229,4546,4387.5,950.517060309398
"s=0.01F=0.75","r3060000",8,4546,4666,4606,950.517060309398
"s=0.01F=0.75","r3060000",9,4666,5009,4837.5,908.194029459706
"s=0.01F=0.75","r3060000",10,5009,5456,5232.5,895.040052199479
"s=0.01F=0.75","r3060000",11,5456,5863,5659.5,975.577660743393
"s=0.01F=0.75","r3060000",12,5863,6228,6045.5,917.401608343917
"s=0.01F=0.75","r3060000",13,6228,6262,6245,917.401608343917
"s=0.01F=0.75","r3060000",14,6262,6512,6387,917.401608343917
"s=0.01F=0.75","r3060000",15,6512,8760,7636,908.843671523286
"s=0.01F=0.75","r3060000",16,8760,9226,8993,908.843671523286
"s=0.01F=0.75","r3060000",17,9226,10027,9626.5,989.736215877842
"s=0.01F=0.75","r3060000",18,10027,10478,10252.5,1020.87056709433
"s=0.01F=0.75","r3060000",19,10478,10513,10495.5,1020.87056709433
"s=0.01F=0.75","r3060000",20,10513,13222,11867.5,1021.64435815642
"s=0.01F=0.75","r3060000",21,13222,14028,13625,1126.47723358766
"s=0.01F=0.75","r3060000",22,14028,15080,14554,1126.47723358766
"s=0.01F=0.75","r3060000",23,15080,16457,15768.5,1007.35235827642
"s=0.01F=0.75","r3060000",24,16457,18243,17350,1007.35235827642
"s=0.01F=0.75","r3060000",25,18243,19021,18632,1017.60013795862
"s=0.01F=0.75","r3060000",26,19021,19664,19342.5,1050.36912954871
"s=0.01F=0.75","r3060000",27,19664,20030,19847,1060.19359298407
"s=0.01F=0.75","r3060000",28,20030,20508,20269,1055.51198572014
"s=0.01F=0.75","r3060000",29,20508,20654,20581,1055.51198572014
"s=0.01F=0.75","r3060000",30,20654,20770,20712,1126.72974682253
"s=0.01F=0.75","r3060000",31,20770,20948,20859,1083.04492287077
"s=0.01F=0.75","r3060000",32,20948,21550,21249,1083.04492287077
"s=0.01F=0.75","r3060000",33,21550,21669,21609.5,1083.04492287077
"s=0.01F=0.75","r3060000",34,21669,21860,21764.5,1079.74967510325
"s=0.01F=0.75","r3060000",35,21860,23574,22717,1070.10758240418
"s=0.01F=0.75","r3060000",36,23574,25440,24507,1029.67362082379
"s=0.01F=0.75","r3060000",37,25440,25575,25507.5,986.187164888352
"s=0.01F=0.75","r3060000",38,25575,25951,25763,986.187164888352
"s=0.01F=0.75","r3060000",39,25951,27101,26526,1068.1092295877
"s=0.01F=0.75","r3060000",40,27101,28417,27759,1068.1092295877
"s=0.01F=0.75","r3060000",41,28417,28565,28491,1068.1092295877
"s=0.01F=0.75","r3060000",42,28565,29823,29194,1068.1092295877
"s=0.01F=0.75","r3060000",43,29823,30087,29955,1068.1092295877
"s=0.01F=0.75","r3060000",44,30087,30675,30381,1235.62033495665
"s=0.01F=0.75","r3060000",45,30675,34784,32729.5,1271.01364230358
"s=0.01F=0.75","r3060000",46,34784,35290,35037,1235.51915740843
"s=0.01F=0.75","r3060000",47,35290,35849,35569.5,1140.90748216518
"s=0.01F=0.75","r3060000",48,35849,37054,36451.5,1101.64461455386
"s=0.01F=0.75","r3060000",49,37054,39349,38201.5,1063.04337776622
"s=0.01F=0.75","r3060000",50,39349,41763,40556,1034.85671483285
"s=0.01F=0.75","r3060000",51,41763,42934,42348.5,1034.85671483285
"s=0.01F=0.75","r3060000",52,42934,42954,42944,1023.31811693883
"s=0.01F=0.75","r3060000",53,42954,46133,44543.5,972.664396356037
"s=0.01F=0.75","r3060000",54,46133,49351,47742,972.987761442386
"s=0.01F=0.75","r3060000",55,49351,50283,49817,913.922329696704
"s=0.01F=0.75","r3060000",56,50283,56850,53566.5,949.31563704363
"s=0.01F=0.75","r3060000",57,56850,57000,56925,949.31563704363
"s=0.01F=0.75","r3060000",58,57000,58383,57691.5,949.31563704363
"s=0.01F=0.75","r3060000",59,58383,59123,58753,949.31563704363
"s=0.01F=0.75","r3060000",60,59123,59247,59185,1246.00505070949
"s=0.01F=0.75","r3060000",61,59247,59905,59576,1283.05518076819
"s=0.01F=0.75","r3060000",62,59905,59943,59924,1346.62641793582
"s=0.01F=0.75","r3060000",63,59943,61235,60589,1255.5437700423
"s=0.01F=0.75","r3060000",64,61235,61237,61236,1255.5437700423
"s=0.01F=0.75","r3060000",65,61237,62288,61762.5,1247.58428363716
"s=0.01F=0.75","r3060000",66,62288,63257,62772.5,1248.14521434786
"s=0.01F=0.75","r3060000",67,63257,64163,63710,1341.44070427296
"s=0.01F=0.75","r3060000",68,64163,64246,64204.5,1341.44070427296
"s=0.01F=0.75","r3060000",69,64246,64306,64276,1354.12922818772
"s=0.01F=0.75","r3060000",70,64306,65062,64684,1498.87530344697
"s=0.01F=0.75","r3060000",71,65062,73141,69101.5,1201.81361406386
"s=0.01F=0.75","r3060000",72,73141,73981,73561,1199.61023513765
"s=0.01F=0.75","r3060000",73,73981,76255,75118,1199.61023513765
"s=0.01F=0.75","r3060000",74,76255,76919,76587,999.581027669724
"s=0.01F=0.75","r3060000",75,76919,78004,77461.5,999.581027669724
"s=0.01F=0.75","r3060000",76,78004,78035,78019.5,999.581027669724
"s=0.01F=0.75","r3060000",77,78035,80201,79118,999.581027669724
"s=0.01F=0.75","r3060000",78,80201,80275,80238,955.71990508095
"s=0.01F=0.75","r3060000",79,80275,80623,80449,947.524606393937
"s=0.01F=0.75","r3060000",80,80623,80715,80669,1079.51700534995
"s=0.01F=0.75","r3060000",81,80715,81268,80991.5,1079.51700534995
"s=0.01F=0.75","r3060000",82,81268,81474,81371,1114.52538470615
"s=0.01F=0.75","r3060000",83,81474,83096,82285,1169.72103554964
"s=0.01F=0.75","r3060000",84,83096,83927,83511.5,970.986850651494
"s=0.01F=0.75","r3060000",85,83927,87118,85522.5,970.770598974011
"s=0.01F=0.75","r3060000",86,87118,87854,87486,1350.77134200658
"s=0.01F=0.75","r3060000",87,87854,88131,87992.5,1229.55714590854
"s=0.01F=0.75","r3060000",88,88131,88771,88451,934.151821161789
"s=0.01F=0.75","r3060000",89,88771,89114,88942.5,810.973891901081
"s=0.01F=0.75","r3060000",90,89114,91159,90136.5,809.167551324487
"s=0.01F=0.75","r3060000",91,91159,91344,91251.5,803.83896701033
"s=0.01F=0.75","r3060000",92,91344,92770,92057,869.599918440816
"s=0.01F=0.75","r3060000",93,92770,93252,93011,875.994310576895
"s=0.01F=0.75","r3060000",94,93252,94409,93830.5,874.1879700003
"s=0.01F=0.75","r3060000",95,94409,95205,94807,892.508479515205
"s=0.01F=0.75","r3060000",96,95205,95293,95249,947.429727662724
"s=0.01F=0.75","r3060000",97,95293,95826,95559.5,947.429727662724
"s=0.01F=0.75","r3060000",98,95826,96027,95926.5,947.429727662724
"s=0.01F=0.75","r3060000",99,96027,96643,96335,947.429727662724
"s=0.01F=0.75","r3060000",100,96643,99116,97879.5,965.384599634004
"s=0.01F=0.75","r3060000",101,99116,99865,99490.5,967.514717932821
"s=0.01F=0.75","r3060000",102,99865,100001,99933,948.870430695693
"s=0.01F=0.75","r3060001",0,0,60,30,1699.48161122389
"s=0.01F=0.75","r3060001",1,60,85,72.5,1681.02231893681
"s=0.01F=0.75","r3060001",2,85,92,88.5,1713.79521776782
"s=0.01F=0.75","r3060001",3,92,462,277,1713.79521776782
"s=0.01F=0.75","r3060001",4,462,603,532.5,1719.9177899021
"s=0.01F=0.75","r3060001",5,603,2085,1344,1730.34689137109
"s=0.01F=0.75","r3060001",6,2085,2500,2292.5,1711.9061600984
"s=0.01F=0.75","r3060001",7,2500,2690,2595,1718.98681849182
"s=0.01F=0.75","r3060001",8,2690,3350,3020,1601.84955570444
"s=0.01F=0.75","r3060001",9,3350,3555,3452.5,1700.44241441586
"s=0.01F=0.75","r3060001",10,3555,5848,4701.5,1704.67694255057
"s=0.01F=0.75","r3060001",11,5848,6270,6059,1708.9583299767
"s=0.01F=0.75","r3060001",12,6270,9634,7952,1708.34778496215
"s=0.01F=0.75","r3060001",13,9634,10207,9920.5,1707.12134578654
"s=0.01F=0.75","r3060001",14,10207,10964,10585.5,1703.51707462925
"s=0.01F=0.75","r3060001",15,10964,11016,10990,1858.97289951101
"s=0.01F=0.75","r3060001",16,11016,11151,11083.5,1972.67650295497
"s=0.01F=0.75","r3060001",17,11151,12470,11810.5,1968.37214423856
"s=0.01F=0.75","r3060001",18,12470,12850,12660,2131.81307942921
"s=0.01F=0.75","r3060001",19,12850,13408,13129,2113.00624821752
"s=0.01F=0.75","r3060001",20,13408,14016,13712,2113.00624821752
"s=0.01F=0.75","r3060001",21,14016,14304,14160,2114.69677915221
"s=0.01F=0.75","r3060001",22,14304,15955,15129.5,2114.69677915221
"s=0.01F=0.75","r3060001",23,15955,16071,16013,2047.91535536645
"s=0.01F=0.75","r3060001",24,16071,17210,16640.5,2047.91535536645
"s=0.01F=0.75","r3060001",25,17210,17871,17540.5,1898.99223795762
"s=0.01F=0.75","r3060001",26,17871,18592,18231.5,1870.59281731183
"s=0.01F=0.75","r3060001",27,18592,19391,18991.5,1870.59281731183
"s=0.01F=0.75","r3060001",28,19391,19790,19590.5,1870.59281731183
"s=0.01F=0.75","r3060001",29,19790,20012,19901,1870.20340144599
"s=0.01F=0.75","r3060001",30,20012,20178,20095,1860.34526186738
"s=0.01F=0.75","r3060001",31,20178,20699,20438.5,1860.34526186738
"s=0.01F=0.75","r3060001",32,20699,20765,20732,1862.75729646704
"s=0.01F=0.75","r3060001",33,20765,21702,21233.5,1861.37738538615
"s=0.01F=0.75","r3060001",34,21702,21750,21726,1803.50220869791
"s=0.01F=0.75","r3060001",35,21750,21796,21773,1782.75659119409
"s=0.01F=0.75","r3060001",36,21796,22178,21987,1778.38115478845
"s=0.01F=0.75","r3060001",37,22178,22650,22414,1822.16895515045
"s=0.01F=0.75","r3060001",38,22650,23159,22904.5,1822.16895515045
"s=0.01F=0.75","r3060001",39,23159,24081,23620,1827.30102406976
"s=0.01F=0.75","r3060001",40,24081,24467,24274,1655.15741846582
"s=0.01F=0.75","r3060001",41,24467,25680,25073.5,1655.15741846582
"s=0.01F=0.75","r3060001",42,25680,26020,25850,1655.15741846582
"s=0.01F=0.75","r3060001",43,26020,26348,26184,1628.49109952901
"s=0.01F=0.75","r3060001",44,26348,27299,26823.5,1655.67552224478
"s=0.01F=0.75","r3060001",45,27299,27788,27543.5,1655.98572946271
"s=0.01F=0.75","r3060001",46,27788,27940,27864,1688.63166252338
"s=0.01F=0.75","r3060001",47,27940,28252,28096,1660.52643437566
"s=0.01F=0.75","r3060001",48,28252,28655,28453.5,1661.41081457185
"s=0.01F=0.75","r3060001",49,28655,28807,28731,1666.51213179868
"s=0.01F=0.75","r3060001",50,28807,29913,29360,1666.51213179868
"s=0.01F=0.75","r3060001",51,29913,31584,30748.5,1735.91381706183
"s=0.01F=0.75","r3060001",52,31584,32107,31845.5,1762.52326856731
"s=0.01F=0.75","r3060001",53,32107,33300,32703.5,1768.70632337677
"s=0.01F=0.75","r3060001",54,33300,33393,33346.5,1685.44770660293
"s=0.01F=0.75","r3060001",55,33393,33587,33490,1690.55766470335
"s=0.01F=0.75","r3060001",56,33587,34545,34066,1729.57558388416
"s=0.01F=0.75","r3060001",57,34545,34888,34716.5,1688.98871847282
"s=0.01F=0.75","r3060001",58,34888,34974,34931,1688.98871847282
"s=0.01F=0.75","r3060001",59,34974,34986,34980,1688.98871847282
"s=0.01F=0.75","r3060001",60,34986,35353,35169.5,1689.31208355916
"s=0.01F=0.75","r3060001",61,35353,36005,35679,1847.95662215378
"s=0.01F=0.75","r3060001",62,36005,36428,36216.5,1839.47334506655
"s=0.01F=0.75","r3060001",63,36428,37913,37170.5,1848.54508634914
"s=0.01F=0.75","r3060001",64,37913,38158,38035.5,1846.53098521015
"s=0.01F=0.75","r3060001",65,38158,45065,41611.5,1815.14119814802
"s=0.01F=0.75","r3060001",66,45065,48841,46953,1822.07524744753
"s=0.01F=0.75","r3060001",67,48841,49629,49235,1822.25621203788
"s=0.01F=0.75","r3060001",68,49629,51109,50369,1822.25621203788
"s=0.01F=0.75","r3060001",69,51109,52276,51692.5,1822.5799897601
"s=0.01F=0.75","r3060001",70,52276,53229,52752.5,1614.44031315687
"s=0.01F=0.75","r3060001",71,53229,54186,53707.5,1614.44031315687
"s=0.01F=0.75","r3060001",72,54186,55237,54711.5,1614.44031315687
"s=0.01F=0.75","r3060001",73,55237,55845,55541,1633.03977580224
"s=0.01F=0.75","r3060001",74,55845,58017,56931,1633.03977580224
"s=0.01F=0.75","r3060001",75,58017,58902,58459.5,2028.42741224588
"s=0.01F=0.75","r3060001",76,58902,60494,59698,2030.7608897111
"s=0.01F=0.75","r3060001",77,60494,60553,60523.5,1983.66577818222
"s=0.01F=0.75","r3060001",78,60553,61880,61216.5,1979.65428581714
"s=0.01F=0.75","r3060001",79,61880,62522,62201,1979.65428581714
"s=0.01F=0.75","r3060001",80,62522,62927,62724.5,1980.64587758122
"s=0.01F=0.75","r3060001",81,62927,65350,64138.5,1980.4435903241
"s=0.01F=0.75","r3060001",82,65350,68202,66776,2016.73556908431
"s=0.01F=0.75","r3060001",83,68202,69804,69003,1981.24108418916
"s=0.01F=0.75","r3060001",84,69804,70867,70335.5,1832.49698795012
"s=0.01F=0.75","r3060001",85,70867,70876,70871.5,1904.44849243508
"s=0.01F=0.75","r3060001",86,70876,71405,71140.5,2040.82447491525
