"scenario","file","tree_index","left","right","mid","distance"
"s=0.001F=0.25","r3100000",76,34049,35368,34708.5,805.63828309717
"s=0.001F=0.25","r3100000",77,35368,35795,35581.5,805.63828309717
"s=0.001F=0.25","r3100000",78,35795,36442,36118.5,805.63828309717
"s=0.001F=0.25","r3100000",79,36442,36784,36613,861.398883971161
"s=0.001F=0.25","r3100000",80,36784,37305,37044.5,915.715844321557
"s=0.001F=0.25","r3100000",81,37305,37518,37411.5,861.398883971161
"s=0.001F=0.25","r3100000",82,37518,38673,38095.5,861.398883971161
"s=0.001F=0.25","r3100000",83,38673,39526,39099.5,917.303895881042
"s=0.001F=0.25","r3100000",84,39526,42115,40820.5,738.225503704963
"s=0.001F=0.25","r3100000",85,42115,42159,42137,748.80177202228
"s=0.001F=0.25","r3100000",86,42159,43263,42711,737.255905880942
"s=0.001F=0.25","r3100000",87,43263,43826,43544.5,744.543708442916
"s=0.001F=0.25","r3100000",88,43826,43922,43874,742.209721862782
"s=0.001F=0.25","r3100000",89,43922,44973,44447.5,744.543708442916
"s=0.001F=0.25","r3100000",90,44973,44991,44982,744.543708442916
"s=0.001F=0.25","r3100000",91,44991,45249,45120,735.380477675224
"s=0.001F=0.25","r3100000",92,45249,45412,45330.5,735.056699953001
"s=0.001F=0.25","r3100000",93,45412,46308,45860,735.056699953001
"s=0.001F=0.25","r3100000",94,46308,46340,46324,735.056699953001
"s=0.001F=0.25","r3100000",95,46340,46633,46486.5,740.077562864372
"s=0.001F=0.25","r3100000",96,46633,46925,46779,728.894047419526
"s=0.001F=0.25","r3100000",97,46925,47709,47317,746.422067659324
"s=0.001F=0.25","r3100000",98,47709,48509,48109,763.829201107989
"s=0.001F=0.25","r3100000",99,48509,48689,48599,779.619945280548
"s=0.001F=0.25","r3100000",100,48689,48955,48822,732.202679933201
"s=0.001F=0.25","r3100000",101,48955,49605,49280,745.58579306207
"s=0.001F=0.25","r3100000",102,49605,50175,49890,752.011113368867
"s=0.001F=0.25","r3100000",103,50175,50265,50220,752.71139908601
"s=0.001F=0.25","r3100000",104,50265,50359,50312,730.432170678294
"s=0.001F=0.25","r3100000",105,50359,50704,50531.5,800.755333446666
"s=0.001F=0.25","r3100000",106,50704,50714,50709,789.485072389277
"s=0.001F=0.25","r3100000",107,50714,50898,50806,789.035510164899
"s=0.001F=0.25","r3100000",108,50898,52526,51712,788.509569424306
"s=0.001F=0.25","r3100000",109,52526,52636,52581,799.878617173829
"s=0.001F=0.25","r3100000",110,52636,53319,52977.5,767.861812861872
"s=0.001F=0.25","r3100000",111,53319,55139,54229,815.94426411736
"s=0.001F=0.25","r3100000",112,55139,55152,55145.5,807.755321926781
"s=0.001F=0.25","r3100000",113,55152,55844,55498,795.495844841552
"s=0.001F=0.25","r3100000",114,55844,55852,55848,848.023889321107
"s=0.001F=0.25","r3100000",115,55852,56143,55997.5,848.023889321107
"s=0.001F=0.25","r3100000",116,56143,57085,56614,845.32718308817
"s=0.001F=0.25","r3100000",117,57085,57306,57195.5,805.714702892972
"s=0.001F=0.25","r3100000",118,57306,57509,57407.5,844.387441765583
"s=0.001F=0.25","r3100000",119,57509,58431,57970,844.387441765583
"s=0.001F=0.25","r3100000",120,58431,58505,58468,844.568794432056
"s=0.001F=0.25","r3100000",121,58505,58631,58568,774.224405875942
"s=0.001F=0.25","r3100000",122,58631,59124,58877.5,666.255867481326
"s=0.001F=0.25","r3100000",123,59124,60074,59599,657.663385886142
"s=0.001F=0.25","r3100000",124,60074,61892,60983,627.39603503965
"s=0.001F=0.25","r3100000",125,61892,62030,61961,609.780135358647
"s=0.001F=0.25","r3100000",126,62030,62405,62217.5,617.076238557615
"s=0.001F=0.25","r3100000",127,62405,64515,63460,610.823238447616
"s=0.001F=0.25","r3100000",128,64515,64765,64640,608.823238447616
"s=0.001F=0.25","r3100000",129,64765,66251,65508,664.624924990751
"s=0.001F=0.25","r3100000",130,66251,66517,66384,668.213389186109
"s=0.001F=0.25","r3100000",131,66517,66742,66629.5,668.213389186109
"s=0.001F=0.25","r3100000",132,66742,67998,67370,668.213389186109
"s=0.001F=0.25","r3100000",133,67998,68328,68163,668.213389186109
"s=0.001F=0.25","r3100000",134,68328,68857,68592.5,668.213389186109
"s=0.001F=0.25","r3100000",135,68857,68916,68886.5,668.213389186109
"s=0.001F=0.25","r3100000",136,68916,69001,68958.5,632.820081839182
"s=0.001F=0.25","r3100000",137,69001,69379,69190,651.338738732613
"s=0.001F=0.25","r3100000",138,69379,69784,69581.5,651.627642963571
"s=0.001F=0.25","r3100000",139,69784,70047,69915.5,651.575321966781
"s=0.001F=0.25","r3100000",140,70047,70782,70414.5,633.643285287148
"s=0.001F=0.25","r3100000",141,70782,71254,71018,641.029848621514
"s=0.001F=0.25","r3100000",142,71254,72464,71859,641.029848621514
"s=0.001F=0.25","r3100000",143,72464,73036,72750,641.029848621514
"s=0.001F=0.25","r3100000",144,73036,73983,73509.5,640.706483535165
"s=0.001F=0.25","r3100000",145,73983,74183,74083,641.030261257388
"s=0.001F=0.25","r3100000",146,74183,74476,74329.5,709.156414395856
"s=0.001F=0.25","r3100000",147,74476,74556,74516,709.156414395856
"s=0.001F=0.25","r3100000",148,74556,75764,75160,708.832636673634
"s=0.001F=0.25","r3100000",149,75764,75936,75850,708.832636673634
"s=0.001F=0.25","r3100000",150,75936,76472,76204,706.237800541995
"s=0.001F=0.25","r3100000",151,76472,76760,76616,706.237800541995
"s=0.001F=0.25","r3100000",152,76760,76861,76810.5,706.237800541995
"s=0.001F=0.25","r3100000",153,76861,76931,76896,724.462867651324
"s=0.001F=0.25","r3100000",154,76931,76967,76949,731.427014249858
"s=0.001F=0.25","r3100000",155,76967,78832,77899.5,731.427014249858
"s=0.001F=0.25","r3100000",156,78832,79091,78961.5,647.464038679614
"s=0.001F=0.25","r3100000",157,79091,79855,79473,682.85734602654
"s=0.001F=0.25","r3100000",158,79855,80535,80195,719.549076229238
"s=0.001F=0.25","r3100000",159,80535,81432,80983.5,735.498333776663
"s=0.001F=0.25","r3100000",160,81432,81497,81464.5,745.248490835092
"s=0.001F=0.25","r3100000",161,81497,81780,81638.5,729.912894671054
"s=0.001F=0.25","r3100000",162,81780,81836,81808,801.893511584885
"s=0.001F=0.25","r3100000",163,81836,82684,82260,683.970658973411
"s=0.001F=0.25","r3100000",164,82684,83423,83053.5,672.846442775573
"s=0.001F=0.25","r3100000",165,83423,83736,83579.5,672.846442775573
"s=0.001F=0.25","r3100000",166,83736,83921,83828.5,569.878057579425
"s=0.001F=0.25","r3100000",167,83921,84963,84442,632.99639303607
"s=0.001F=0.25","r3100000",168,84963,85797,85380,608.845491585085
"s=0.001F=0.25","r3100000",169,85797,85971,85884,608.521713862862
"s=0.001F=0.25","r3100000",170,85971,87056,86513.5,608.985348106519
"s=0.001F=0.25","r3100000",171,87056,87184,87120,624.903631243688
"s=0.001F=0.25","r3100000",172,87184,87590,87387,634.822812771873
"s=0.001F=0.25","r3100000",173,87590,88469,88029.5,644.254207417926
"s=0.001F=0.25","r3100000",174,88469,88688,88578.5,603.852849511505
"s=0.001F=0.25","r3100000",175,88688,88696,88692,633.124155998441
"s=0.001F=0.25","r3100000",176,88696,89526,89111,630.239236127639
"s=0.001F=0.25","r3100000",177,89526,89831,89678.5,629.929028909712
"s=0.001F=0.25","r3100000",178,89831,90590,90210.5,700.154010419896
"s=0.001F=0.25","r3100000",179,90590,90664,90627,700.154010419896
"s=0.001F=0.25","r3100000",180,90664,90980,90822,700.154010419896
"s=0.001F=0.25","r3100000",181,90980,91163,91071.5,700.154010419896
"s=0.001F=0.25","r3100000",182,91163,91285,91224,700.154010419896
"s=0.001F=0.25","r3100000",183,91285,91482,91383.5,712.833236827632
"s=0.001F=0.25","r3100000",184,91482,92213,91847.5,713.14344404556
"s=0.001F=0.25","r3100000",185,92213,92528,92370.5,694.513535384647
"s=0.001F=0.25","r3100000",186,92528,93312,92920,683.156746232538
"s=0.001F=0.25","r3100000",187,93312,93613,93462.5,714.233504984951
"s=0.001F=0.25","r3100000",188,93613,93852,93732.5,714.233504984951
"s=0.001F=0.25","r3100000",189,93852,93892,93872,710.956232717673
"s=0.001F=0.25","r3100000",190,93892,94719,94305.5,747.503469725303
"s=0.001F=0.25","r3100000",191,94719,94741,94730,817.459136808632
"s=0.001F=0.25","r3100000",192,94741,96316,95528.5,827.603006649934
"s=0.001F=0.25","r3100000",193,96316,96872,96594,828.538819611804
"s=0.001F=0.25","r3100000",194,96872,96964,96918,815.119311726883
"s=0.001F=0.25","r3100000",195,96964,97753,97358.5,1001.44496295037
"s=0.001F=0.25","r3100000",196,97753,98102,97927.5,1001.44496295037
"s=0.001F=0.25","r3100000",197,98102,98711,98406.5,1012.16484231158
"s=0.001F=0.25","r3100000",198,98711,99266,98988.5,1015.12166682333
"s=0.001F=0.25","r3100000",199,99266,99433,99349.5,1053.1070104899
