"label","score"
0,2721834.49207967
0,5392775.9908857
0,4967264.69027916
0,2723101.06805263
0,3442541.83131801
0,2936867.53810744
0,2925189.77931437
0,3027490.06521218
0,3293550.24254537
0,3586092.81937798
0,3042816.54496399
0,2266060.53866571
0,3872834.95456547
0,2618267.38624393
0,4965270.86922446
0,2912686.5959906
0,2413174.11550339
0,5784260.24169172
0,6054527.52511859
0,2990501.9739154
0,3275154.74691381
0,4558107.99846711
0,4310158.23281075
0,4906013.0345173
0,2808498.98149284
0,2931590.40659011
0,4315381.51128591
0,2640962.4215991
0,4439765.32886743
0,2717976.70641431
0,2815988.7857859
0,3988834.93922419
0,3637996.78352863
0,3755623.08154199
0,3389608.49364828
0,3520627.40972735
0,3179593.32044798
0,4046503.62513551
0,2800909.04336671
0,3285800.50359027
0,5294199.45528049
0,3090176.46716926
0,3657554.83870504
0,3067607.29177254
0,2378606.56887544
0,2898974.46319638
0,3020447.5081899
0,2597916.95636296
0,4433959.83091433
0,3664984.8575541
0,3024052.23351888
0,2210564.98601468
0,5041642.49363876
0,2608467.33399622
0,3558389.81078946
0,3316807.68835816
0,3241523.68128562
0,3105040.72480611
0,4621486.89018242
0,2201153.51569649
0,3425889.33387365
0,3057012.86150567
0,3079751.26913996
0,2552088.30285881
0,3286308.6813418
0,3458571.44631496
0,2817569.24688455
0,2680793.217465
0,2698587.94777368
0,2811655.45424398
0,2408990.80907653
0,3305449.17894026
0,5911270.71373564
0,3167051.75589106
0,3270105.91847854
0,3005856.26615204
0,3847324.06873985
0,2531327.0475607
0,5346408.71249558
0,2913386.30966696
0,3102961.05864399
0,3402177.9765935
0,3931550.82768036
0,2962488.31381584
0,3837929.37420806
0,3345753.08795603
0,3737472.87486256
0,3322349.67089976
0,2949976.28444027
0,3193415.07088069
0,4944856.94202684
0,2459895.93241223
0,3106556.58001809
0,2619815.05541368
0,5520376.93298651
0,2923225.24333708
0,3707420.03552484
0,2902132.36492046
0,2220226.02701495
0,2727308.54996679
0,3404157.80898682
0,2539736.27935326
0,2716200.37214581
0,3202268.82173324
0,3963214.12366741
0,4229051.53398758
0,2543841.92187989
0,3727208.26826872
0,3490113.48837855
